Michael Rubinstein,Asha de Vos,Daniele Quercia,Aziz Abu Sarah,Iraola,isPartial
14,0,0,0,28,False
14,0,0,0,37,False
17,0,17,0,17,False
0,0,0,0,31,False
17,0,0,0,27,False
11,0,0,0,35,False
24,0,0,0,28,False
11,0,0,0,39,False
0,0,10,0,31,False
10,0,0,0,21,False
11,0,0,0,14,False
10,0,10,0,33,False
17,0,0,0,26,False
14,0,0,0,23,False
10,0,0,0,18,False
0,0,0,0,17,False
7,0,0,0,17,False
8,0,0,0,15,False
12,0,0,0,15,False
0,0,0,0,15,False
26,0,7,0,29,False
0,0,0,0,31,False
6,0,0,0,27,False
6,0,6,0,23,False
13,0,0,0,16,False
17,0,0,0,20,False
5,0,0,0,38,False
0,0,0,0,19,False
5,0,5,0,25,False
5,0,5,0,26,False
5,0,5,0,29,False
5,0,5,0,24,False
13,0,4,0,20,False
12,0,0,0,20,False
4,0,0,0,21,False
4,0,0,0,32,False
5,0,0,0,23,False
7,0,0,0,30,False
3,0,0,0,34,False
10,0,0,0,21,False
6,0,0,0,22,False
0,0,0,0,28,False
4,0,3,0,16,False
0,0,0,0,21,False
8,0,0,0,30,False
5,0,0,0,27,False
2,0,0,0,16,False
4,0,0,0,26,False
4,0,0,0,22,False
2,0,0,0,27,False
3,0,0,0,26,False
4,0,2,0,32,False
5,0,2,0,29,False
3,0,0,2,18,False
2,0,0,0,21,False
4,0,0,0,34,False
5,0,2,0,33,False
3,2,0,0,29,False
5,0,0,2,28,False
2,0,0,0,27,False
3,0,0,0,28,False
2,0,0,0,29,False
2,0,2,0,23,False
9,0,2,0,29,False
2,0,0,2,28,False
7,0,0,2,23,False
3,0,0,0,25,False
2,0,2,0,26,False
4,0,0,0,37,False
7,1,1,0,32,False
3,0,0,1,32,False
2,0,0,0,32,False
5,0,1,0,35,False
3,0,1,1,23,False
2,0,1,0,25,False
2,0,1,2,26,False
3,1,1,0,26,False
3,1,2,0,27,False
2,1,1,0,18,False
3,0,0,0,23,False
3,1,0,1,33,False
3,0,0,0,33,False
2,0,1,0,41,False
4,0,1,0,29,False
2,0,0,1,26,False
2,0,0,0,31,False
2,0,0,1,39,False
2,3,0,1,29,False
1,1,0,0,31,False
1,1,1,1,28,False
3,0,0,0,24,False
2,0,1,2,34,False
2,1,1,0,32,False
2,1,1,1,25,False
3,1,0,0,27,False
3,1,2,1,23,False
4,1,1,1,24,False
2,1,1,1,25,False
3,1,1,1,55,False
5,1,1,0,27,False
5,1,1,0,39,False
5,1,1,0,26,False
2,1,1,0,24,False
3,1,1,1,24,False
4,0,1,0,25,False
1,2,2,1,25,False
4,0,1,1,20,False
2,1,1,1,24,False
2,0,1,1,25,False
3,1,1,1,25,False
2,1,1,1,21,False
2,1,0,1,25,False
2,1,1,0,21,False
2,1,0,2,22,False
2,1,1,0,23,False
2,0,2,1,23,False
2,1,0,1,25,False
2,1,1,0,24,False
2,2,1,1,24,False
2,1,0,1,24,False
3,0,0,0,24,False
2,1,1,1,23,False
1,1,0,1,26,False
2,0,1,1,18,False
2,1,0,0,21,False
1,1,1,0,19,False
2,1,1,1,20,False
2,1,1,1,29,False
2,0,1,1,30,False
3,0,0,0,26,False
2,1,1,0,26,False
7,1,1,0,19,False
6,2,4,2,22,False
3,1,1,1,25,False
3,1,1,0,31,False
3,1,1,0,36,False
3,1,1,1,100,False
3,0,1,1,40,False
3,1,1,1,48,False
2,0,0,1,33,False
2,0,1,1,27,False
1,0,1,0,22,False
3,0,1,1,20,False
2,0,0,0,22,False
2,1,2,1,24,False
3,0,1,1,18,False
2,0,1,1,21,False
2,0,0,1,20,False
2,1,1,1,26,False
3,1,1,0,24,False
2,1,1,0,27,False
2,0,0,0,16,False
2,0,0,1,22,False
1,0,0,1,22,False
2,1,0,1,27,False
1,0,0,0,20,False
2,1,0,1,17,False
2,1,0,1,19,False
1,1,1,0,18,False
1,1,1,1,17,False
1,1,1,0,19,False
2,1,1,1,18,False
2,1,0,1,17,False
1,0,1,1,15,False
2,1,0,0,14,False
2,1,0,0,14,False
2,1,1,0,15,False
2,1,1,0,11,False
2,0,1,1,16,False
2,0,0,1,18,False
2,0,0,1,17,False
1,0,1,1,12,False
1,1,1,1,16,False
1,1,0,0,17,False
1,1,1,0,15,False
1,0,0,0,16,False
1,1,0,1,17,False
1,1,1,0,19,False
2,3,1,0,15,False
2,1,0,1,15,False
1,0,1,0,15,False
2,1,0,0,18,False
2,1,0,1,15,False
1,1,0,1,16,False
1,1,0,0,19,False
1,0,0,0,15,False
1,1,0,0,19,False
1,1,0,0,19,False
1,1,0,0,15,False
2,1,0,0,16,False
1,1,1,0,17,False
2,1,0,0,15,False
2,1,0,0,25,False
2,1,0,0,46,False
1,1,0,0,20,False
1,0,0,0,13,False
2,1,0,0,13,False
1,0,0,1,16,False
1,1,0,1,28,False
1,1,0,0,26,False
1,1,0,0,19,False
1,1,0,0,16,True
