Brian Greene,Brian Cox,They Might Be Giants,Hector Ruiz,Iraola,isPartial
8,11,36,1,2,False
11,10,26,2,3,False
13,9,29,2,2,False
11,9,37,2,2,False
9,16,38,3,2,False
7,9,35,2,2,False
7,8,74,3,2,False
7,7,56,2,4,False
7,4,39,1,2,False
7,6,41,2,2,False
4,7,28,1,1,False
14,8,30,2,1,False
10,9,29,1,2,False
11,4,41,3,2,False
14,5,35,2,2,False
8,5,29,2,2,False
7,5,32,2,1,False
6,6,32,2,2,False
3,8,29,1,2,False
7,8,29,2,1,False
7,6,26,1,2,False
8,5,27,2,2,False
9,4,28,2,2,False
6,10,27,2,2,False
6,8,25,1,1,False
5,8,22,2,2,False
6,7,20,2,3,False
5,6,25,1,2,False
4,7,25,2,3,False
5,8,19,1,3,False
5,10,19,1,2,False
3,8,24,1,2,False
2,5,18,2,2,False
5,6,16,1,2,False
5,6,17,2,2,False
4,4,19,1,2,False
4,6,14,2,2,False
4,8,15,1,2,False
4,7,12,1,2,False
4,6,15,1,2,False
4,6,19,1,2,False
3,6,17,2,2,False
4,6,19,2,2,False
4,7,17,1,2,False
4,6,19,3,2,False
2,6,17,1,2,False
3,4,16,2,2,False
3,8,13,2,2,False
3,9,17,2,2,False
4,8,20,1,2,False
2,6,17,1,2,False
3,6,16,1,2,False
4,6,14,2,2,False
4,8,13,2,1,False
3,7,14,2,1,False
4,5,11,1,3,False
5,18,10,1,3,False
9,5,10,1,2,False
3,6,10,1,3,False
3,12,10,2,2,False
3,7,11,1,2,False
4,11,13,1,2,False
3,9,11,1,2,False
3,7,10,1,3,False
3,6,12,2,2,False
4,6,12,2,2,False
2,8,12,2,2,False
3,7,13,1,3,False
3,6,18,1,3,False
3,9,18,2,2,False
3,9,16,2,3,False
2,9,13,1,3,False
3,7,12,1,3,False
3,11,12,1,2,False
3,56,11,1,2,False
3,30,10,1,2,False
3,15,10,1,2,False
5,12,12,1,2,False
4,11,9,1,2,False
3,17,13,2,2,False
3,16,10,1,2,False
3,19,9,1,2,False
3,13,9,1,3,False
3,16,9,1,3,False
7,31,9,1,2,False
7,26,8,1,3,False
5,100,9,1,3,False
8,33,10,1,3,False
5,21,10,1,3,False
4,21,10,1,2,False
4,28,16,1,2,False
4,21,12,1,3,False
3,20,14,1,3,False
4,28,13,1,2,False
10,23,12,1,2,False
5,50,9,1,2,False
4,50,11,1,2,False
4,26,10,1,3,False
4,22,10,1,4,False
5,18,7,1,2,False
5,16,6,1,4,False
5,19,5,1,2,False
6,25,6,1,2,False
5,16,7,1,2,False
4,22,7,1,2,False
4,16,7,1,2,False
5,20,7,1,2,False
4,21,6,1,2,False
4,43,8,1,2,False
4,62,9,1,2,False
4,21,11,1,1,False
4,20,8,1,2,False
4,16,9,1,2,False
3,19,8,1,2,False
4,23,6,1,2,False
4,24,7,1,2,False
4,23,8,1,2,False
3,18,7,1,2,False
3,27,7,1,2,False
3,19,6,1,2,False
3,20,5,1,2,False
5,12,5,1,2,False
5,15,5,1,2,False
3,12,5,1,2,False
3,13,5,1,2,False
3,11,5,1,2,False
3,14,5,1,2,False
3,15,5,1,2,False
3,19,5,1,3,False
3,36,5,1,2,False
4,29,5,1,2,False
3,16,5,1,2,False
3,19,5,1,2,False
4,19,6,1,2,False
3,20,5,1,3,False
3,14,7,1,3,False
3,13,7,1,7,False
3,14,5,1,3,False
3,15,5,1,4,False
3,12,5,1,3,False
2,16,5,1,2,False
3,11,5,1,2,False
3,13,6,1,2,False
2,18,5,1,2,False
2,20,5,1,2,False
4,15,5,1,1,False
4,12,5,1,2,False
2,10,5,1,1,False
2,11,4,1,2,False
2,18,4,1,2,False
2,33,4,1,2,False
2,28,3,1,1,False
2,15,3,1,2,False
2,16,4,1,2,False
2,15,4,1,2,False
2,22,3,1,2,False
2,16,4,1,1,False
2,14,3,1,1,False
3,21,4,1,1,False
2,18,4,1,1,False
2,19,3,1,2,False
3,15,3,1,1,False
2,12,3,1,1,False
2,13,4,1,1,False
2,14,4,1,1,False
2,13,4,1,1,False
2,17,5,1,1,False
2,13,4,1,1,False
2,14,7,1,1,False
2,11,6,1,1,False
2,14,6,1,1,False
2,16,5,0,1,False
2,15,4,1,1,False
2,11,3,1,1,False
2,11,3,1,1,False
2,13,3,1,1,False
2,10,4,1,1,False
2,14,4,1,2,False
2,17,3,1,1,False
2,13,3,1,1,False
2,20,3,1,1,False
2,32,5,1,1,False
2,13,5,1,1,False
2,11,4,1,1,False
2,18,3,1,1,False
2,31,3,1,1,False
2,20,3,1,2,False
3,15,3,1,1,False
2,18,3,1,1,False
2,16,3,1,1,False
2,13,4,1,1,False
2,16,3,1,1,False
2,30,4,1,2,False
9,14,4,1,4,False
4,16,4,1,2,False
3,17,4,1,1,False
3,14,4,1,1,False
3,14,3,1,1,False
3,12,3,1,2,False
3,13,4,1,2,False
2,14,3,1,2,False
2,12,3,1,1,True
