Mac Barnett,Avi Reichental,Antonio Donato Nobre,Lord Nicholas Stern,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
12,0,0,0,27,False
0,0,0,0,35,False
12,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
10,0,0,0,33,False
0,0,0,0,26,False
0,0,0,0,23,False
0,0,0,0,18,False
9,0,0,0,17,False
0,0,0,0,17,False
0,0,0,0,15,False
8,0,0,0,15,False
7,0,0,0,15,False
7,0,0,0,29,False
9,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,23,False
11,0,0,0,16,False
6,0,0,0,20,False
0,0,0,0,38,False
5,0,0,0,19,False
9,0,0,0,25,False
0,0,0,0,26,False
0,0,0,0,29,False
0,0,0,0,24,False
4,0,0,0,20,False
4,0,0,0,20,False
4,0,0,0,21,False
0,0,0,4,32,False
0,0,0,0,23,False
7,0,4,4,30,False
0,0,0,0,34,False
0,0,0,0,21,False
3,0,0,0,22,False
4,0,0,0,28,False
3,0,0,0,16,False
3,0,0,0,21,False
3,0,0,0,30,False
2,0,0,2,27,False
2,0,0,0,16,False
0,0,0,3,26,False
0,0,0,2,22,False
5,0,2,2,27,False
2,0,0,0,26,False
4,0,0,2,32,False
2,0,2,0,29,False
4,0,0,2,18,False
2,0,0,4,21,False
0,0,0,0,34,False
2,0,0,0,33,False
2,0,0,2,29,False
2,0,0,3,28,False
2,0,0,2,27,False
2,0,0,3,28,False
2,0,0,4,29,False
2,0,0,2,23,False
2,0,0,2,29,False
2,0,0,2,28,False
2,0,0,2,23,False
2,0,0,3,25,False
2,0,2,2,26,False
3,0,0,1,37,False
5,0,0,2,32,False
3,0,0,2,32,False
2,0,0,2,32,False
1,0,0,1,35,False
2,0,0,1,23,False
1,0,0,2,25,False
2,0,0,0,26,False
3,0,0,1,26,False
2,0,0,0,27,False
2,0,1,1,18,False
1,0,0,2,23,False
4,0,1,2,33,False
2,0,0,1,33,False
2,0,0,1,41,False
2,0,0,1,29,False
3,0,0,1,26,False
1,0,0,1,31,False
1,0,0,0,39,False
3,0,0,0,29,False
2,0,0,0,31,False
3,0,0,1,28,False
1,0,1,1,24,False
2,0,0,1,34,False
2,0,0,0,32,False
3,0,0,0,25,False
2,0,0,0,27,False
2,0,0,0,23,False
3,0,0,1,24,False
3,0,1,1,25,False
3,0,0,1,55,False
3,0,0,1,27,False
2,0,0,0,39,False
2,0,0,1,26,False
1,0,0,0,24,False
2,0,0,1,24,False
2,0,0,0,25,False
2,0,1,1,25,False
2,0,1,1,20,False
1,0,0,1,24,False
3,1,0,1,25,False
2,1,0,1,25,False
2,1,0,1,21,False
3,2,1,1,25,False
1,1,0,1,21,False
2,1,0,1,22,False
2,1,0,1,23,False
2,0,1,1,23,False
3,1,1,1,25,False
3,1,0,1,24,False
2,1,0,1,24,False
4,2,0,0,24,False
3,1,0,0,24,False
2,2,0,1,23,False
2,1,0,0,26,False
2,1,0,0,18,False
2,0,0,0,21,False
3,1,0,1,19,False
2,1,1,0,20,False
2,1,1,1,29,False
14,2,1,2,30,False
8,3,1,0,26,False
5,1,2,2,26,False
5,1,1,1,19,False
5,1,1,1,22,False
7,1,2,1,25,False
8,1,0,0,31,False
6,0,0,0,36,False
4,1,0,0,100,False
5,1,0,0,40,False
3,0,0,0,48,False
5,1,0,0,33,False
4,0,0,0,27,False
3,0,0,1,22,False
5,1,1,0,20,False
4,0,0,0,22,False
4,1,0,0,24,False
4,1,0,1,18,False
3,1,0,0,21,False
3,1,0,0,20,False
2,0,0,0,26,False
2,0,0,0,24,False
2,1,0,0,27,False
3,0,0,0,16,False
5,1,0,0,22,False
3,1,0,0,22,False
4,0,1,0,27,False
3,0,0,0,20,False
3,0,1,0,17,False
3,1,0,0,19,False
3,0,0,0,18,False
4,1,1,0,17,False
3,0,0,0,19,False
4,1,0,1,18,False
3,0,0,0,17,False
3,0,0,0,15,False
5,1,0,0,14,False
4,0,0,1,14,False
3,1,0,1,15,False
4,1,0,0,11,False
4,1,0,0,16,False
3,0,0,0,18,False
4,0,0,0,17,False
4,0,0,0,12,False
4,0,0,0,16,False
3,0,0,0,17,False
2,1,0,0,15,False
3,0,0,0,16,False
6,0,0,0,17,False
4,0,0,1,19,False
4,1,0,1,15,False
4,0,0,0,15,False
6,1,1,1,15,False
4,0,0,0,18,False
4,0,0,0,15,False
4,1,0,0,16,False
4,0,0,0,19,False
4,0,0,0,15,False
2,0,0,1,19,False
3,0,1,0,19,False
5,0,1,0,15,False
5,0,0,0,16,False
5,0,1,0,17,False
3,0,0,0,15,False
3,0,0,1,25,False
5,0,0,0,46,False
10,0,0,0,20,False
7,0,0,0,13,False
6,0,0,1,13,False
3,0,0,0,16,False
3,0,0,0,28,False
3,0,0,1,26,False
4,0,0,0,19,False
4,1,0,0,16,True
