Nora York,Paul Bennett,Vik Muniz,Nick Bostrom,Iraola,isPartial
53,18,21,11,16,False
21,42,28,11,31,False
17,43,39,13,19,False
25,34,17,13,20,False
9,12,20,17,20,False
12,23,14,17,17,False
14,42,15,9,18,False
21,56,28,8,33,False
15,28,13,8,18,False
32,26,34,8,16,False
12,44,28,16,8,False
12,29,22,7,11,False
22,39,15,9,15,False
27,32,27,7,20,False
8,23,19,9,15,False
6,30,19,6,19,False
8,22,15,6,13,False
23,26,25,11,19,False
13,29,11,6,17,False
6,28,11,7,11,False
12,22,25,15,20,False
12,38,22,5,19,False
11,28,17,9,14,False
20,19,14,7,18,False
8,19,11,4,12,False
4,24,18,4,14,False
8,33,13,7,24,False
4,19,18,4,14,False
8,18,14,6,24,False
11,25,11,4,24,False
9,12,11,6,22,False
9,24,14,10,15,False
3,34,21,3,16,False
9,21,15,4,15,False
8,31,19,7,17,False
9,22,20,5,17,False
4,22,22,4,15,False
6,23,21,6,17,False
11,26,21,4,18,False
10,28,19,4,17,False
5,22,27,6,21,False
7,19,17,5,17,False
9,21,8,4,19,False
7,21,17,14,17,False
8,29,22,5,22,False
7,29,31,5,14,False
5,24,34,6,18,False
8,22,22,4,18,False
9,24,17,6,16,False
8,26,12,3,14,False
10,26,14,5,18,False
8,22,24,5,18,False
5,22,18,4,20,False
6,21,16,4,13,False
4,22,12,4,11,False
4,19,23,3,23,False
7,25,32,3,24,False
7,18,25,4,21,False
2,16,21,5,24,False
7,21,12,2,22,False
6,21,31,5,18,False
7,17,34,4,18,False
7,20,40,5,18,False
6,18,40,6,23,False
7,20,49,5,20,False
6,18,38,5,22,False
3,27,26,2,20,False
7,20,25,2,23,False
5,20,38,4,27,False
7,19,30,7,22,False
9,22,33,5,26,False
8,20,18,8,24,False
8,17,13,4,24,False
7,19,20,3,16,False
9,26,26,3,21,False
5,20,29,2,18,False
7,21,32,5,17,False
4,21,28,1,22,False
8,23,20,3,14,False
3,19,30,3,17,False
6,17,31,3,19,False
7,19,27,3,22,False
5,20,37,2,31,False
7,20,20,3,25,False
6,20,34,2,22,False
6,18,47,3,30,False
3,22,67,3,28,False
3,18,66,4,24,False
5,23,50,5,26,False
7,16,48,4,23,False
6,19,29,3,18,False
7,17,53,2,25,False
3,17,52,3,25,False
6,14,55,2,21,False
5,18,53,3,18,False
5,21,35,3,16,False
4,22,40,3,20,False
4,48,30,2,23,False
4,19,43,4,35,False
6,17,40,3,22,False
9,14,46,2,35,False
16,29,58,2,16,False
8,18,26,3,17,False
6,20,41,3,18,False
6,17,44,5,19,False
3,21,40,5,16,False
5,19,40,2,18,False
4,16,24,9,18,False
4,17,21,5,17,False
5,18,26,3,17,False
5,18,31,3,14,False
4,17,38,4,16,False
6,19,41,3,16,False
4,19,36,4,16,False
5,17,16,3,16,False
4,17,30,3,19,False
4,18,42,4,19,False
3,15,36,4,17,False
4,23,36,4,18,False
4,24,18,4,17,False
4,20,21,2,17,False
3,18,27,3,20,False
3,16,33,4,19,False
5,17,30,2,16,False
4,18,46,3,18,False
3,13,31,3,16,False
4,15,31,5,18,False
3,20,38,12,23,False
4,19,33,5,25,False
4,16,27,6,19,False
5,17,33,7,19,False
4,20,18,10,15,False
3,20,11,7,18,False
4,31,18,6,18,False
3,16,24,7,24,False
4,18,25,10,31,False
3,18,36,14,67,False
3,20,30,12,31,False
4,15,15,9,34,False
3,13,24,10,26,False
4,16,31,10,18,False
3,20,26,7,17,False
3,17,34,11,17,False
2,15,13,8,15,False
4,17,13,7,17,False
3,14,18,10,13,False
4,14,29,9,16,False
4,16,27,10,13,False
4,14,30,8,20,False
3,13,26,17,19,False
3,15,13,8,19,False
3,18,19,8,14,False
5,16,28,9,14,False
3,17,18,14,20,False
3,14,23,9,21,False
3,20,12,11,18,False
3,19,10,8,12,False
4,16,13,11,13,False
4,16,23,13,12,False
2,17,21,13,13,False
2,14,26,10,15,False
3,12,21,7,13,False
2,18,11,12,12,False
3,14,21,11,13,False
2,14,21,9,11,False
3,13,21,13,12,False
3,15,25,13,12,False
3,15,10,11,8,False
4,17,8,13,12,False
2,14,14,12,13,False
3,16,17,10,11,False
4,13,20,14,10,False
3,14,19,10,13,False
3,25,16,9,12,False
2,22,8,10,11,False
3,20,17,9,13,False
2,14,19,8,14,False
3,15,21,10,14,False
2,13,20,9,14,False
3,13,10,9,13,False
3,12,8,7,11,False
3,12,12,9,12,False
2,11,17,15,11,False
2,12,20,13,12,False
2,12,21,9,11,False
2,11,16,8,12,False
4,13,12,10,15,False
5,13,15,14,13,False
2,12,18,52,13,False
3,13,100,13,11,False
2,10,19,10,12,False
2,10,11,11,11,False
4,13,7,9,19,False
3,13,11,10,35,False
3,11,17,10,14,False
3,10,18,10,11,False
2,11,24,10,11,False
3,14,23,9,10,False
2,13,19,9,23,False
2,14,18,9,20,False
2,10,21,7,15,False
2,10,21,8,13,True
