Jack Horner,Janet Echelman,Alice Dreger,JD Schramm,Iraola,isPartial
33,14,0,0,28,False
42,14,0,0,37,False
23,0,0,0,17,False
40,0,13,0,31,False
31,0,0,0,27,False
38,0,11,0,35,False
24,0,0,0,28,False
41,0,11,0,39,False
31,0,0,0,31,False
53,0,0,0,21,False
39,0,11,0,14,False
26,10,0,0,33,False
46,0,0,0,26,False
42,9,9,0,23,False
43,0,0,0,18,False
54,0,0,0,17,False
45,0,0,0,17,False
38,0,0,0,15,False
59,0,0,0,15,False
25,7,0,0,15,False
29,0,7,0,29,False
19,6,0,0,31,False
40,6,6,0,27,False
14,0,6,0,23,False
43,5,0,0,16,False
39,6,6,0,20,False
22,5,0,0,38,False
24,0,0,5,19,False
41,5,5,0,25,False
16,0,7,0,26,False
18,0,0,0,29,False
32,5,5,0,24,False
29,0,4,0,20,False
28,0,4,0,20,False
23,8,4,0,21,False
43,4,0,0,32,False
37,7,3,0,23,False
37,0,0,0,30,False
37,3,3,0,34,False
40,3,7,0,21,False
25,3,3,3,22,False
22,3,3,0,28,False
23,0,0,0,16,False
20,3,5,0,21,False
24,0,5,0,30,False
35,2,0,0,27,False
32,0,2,0,16,False
35,6,3,0,26,False
23,2,2,0,22,False
28,0,2,0,27,False
24,3,0,0,26,False
21,3,2,0,32,False
25,2,2,0,29,False
19,2,0,0,18,False
26,4,4,0,21,False
25,0,2,0,34,False
30,2,4,0,33,False
23,2,3,0,29,False
33,4,2,0,28,False
23,2,2,0,27,False
26,2,2,0,28,False
24,2,2,0,29,False
25,2,2,0,23,False
22,2,2,0,29,False
20,0,2,2,28,False
20,4,2,0,23,False
24,3,0,0,25,False
25,0,2,0,26,False
26,1,1,0,37,False
35,2,3,0,32,False
36,4,1,0,32,False
31,1,1,0,32,False
23,1,2,0,35,False
22,3,1,0,23,False
20,1,5,0,25,False
16,4,2,0,26,False
21,1,1,0,26,False
18,1,2,0,27,False
31,1,1,1,18,False
25,2,1,0,23,False
25,1,3,0,33,False
23,1,2,0,33,False
32,1,0,0,41,False
29,2,3,0,29,False
26,1,1,1,26,False
25,1,1,0,31,False
24,4,2,0,39,False
35,1,2,1,29,False
27,1,1,0,31,False
24,11,3,3,28,False
19,10,2,1,24,False
24,4,1,2,34,False
28,4,1,1,32,False
29,3,1,0,25,False
25,3,2,0,27,False
25,2,1,1,23,False
33,5,1,1,24,False
33,3,1,1,25,False
28,3,1,0,55,False
31,3,1,1,27,False
25,2,1,1,39,False
26,2,1,1,26,False
24,3,1,1,24,False
30,3,1,1,24,False
31,3,0,1,25,False
25,3,1,0,25,False
35,3,1,1,20,False
24,6,2,2,24,False
25,2,1,1,25,False
26,3,1,1,25,False
23,3,1,1,21,False
28,2,2,1,25,False
21,3,1,1,21,False
23,2,1,0,22,False
27,3,1,1,23,False
27,2,0,1,23,False
26,4,1,1,25,False
27,3,0,1,24,False
27,3,1,0,24,False
25,1,1,1,24,False
22,2,1,0,24,False
25,4,1,1,23,False
22,11,1,0,26,False
24,4,2,0,18,False
26,3,3,1,21,False
22,3,1,1,19,False
20,2,2,1,20,False
25,3,1,1,29,False
21,3,1,1,30,False
20,4,0,1,26,False
27,3,1,0,26,False
26,2,1,1,19,False
23,3,1,0,22,False
23,3,1,1,25,False
27,3,3,1,31,False
23,3,23,0,36,False
24,12,2,1,100,False
54,5,2,1,40,False
27,3,2,0,48,False
24,6,5,0,33,False
27,7,3,0,27,False
27,3,2,0,22,False
29,10,2,1,20,False
23,5,2,0,22,False
19,8,2,0,24,False
23,3,3,0,18,False
23,4,3,0,21,False
24,4,2,0,20,False
19,5,2,1,26,False
18,3,2,0,24,False
16,1,1,0,27,False
20,3,2,0,16,False
21,5,2,0,22,False
21,5,2,1,22,False
23,9,1,0,27,False
23,2,1,0,20,False
25,3,1,1,17,False
19,3,1,1,19,False
19,3,1,0,18,False
22,3,2,0,17,False
20,3,1,1,19,False
18,2,1,0,18,False
17,2,1,0,17,False
19,2,1,0,15,False
19,3,0,0,14,False
24,3,2,0,14,False
19,3,1,0,15,False
22,2,1,1,11,False
22,3,1,0,16,False
23,13,3,1,18,False
22,6,2,1,17,False
20,3,2,0,12,False
16,3,4,0,16,False
19,2,2,0,17,False
19,2,4,0,15,False
17,4,5,0,16,False
30,2,1,0,17,False
18,3,1,1,19,False
23,3,2,0,15,False
22,1,1,0,15,False
19,3,1,0,15,False
22,3,1,0,18,False
18,2,1,1,15,False
20,4,1,0,16,False
18,2,1,0,19,False
18,2,1,0,15,False
15,2,1,0,19,False
19,1,1,0,19,False
17,2,1,0,15,False
19,2,2,1,16,False
19,2,2,0,17,False
19,1,1,0,15,False
17,4,1,0,25,False
17,2,0,0,46,False
16,2,1,0,20,False
21,1,1,0,13,False
27,1,1,0,13,False
27,2,1,0,16,False
37,1,2,0,28,False
29,2,0,0,26,False
47,2,1,0,19,False
40,2,1,0,16,True
