George Ayittey,William Kamkwamba,Euvin Naidoo,Patrick Awuah,Iraola,isPartial
0,0,0,0,16,False
0,0,0,0,32,False
0,0,0,0,20,False
10,0,0,0,21,False
0,0,0,0,21,False
9,0,0,0,18,False
0,0,0,0,19,False
9,0,0,0,34,False
0,0,0,0,19,False
0,0,0,0,16,False
0,0,0,0,8,False
0,0,0,0,11,False
7,0,0,0,16,False
7,0,0,0,21,False
6,0,0,0,16,False
0,0,0,7,20,False
0,0,0,0,13,False
6,0,0,0,19,False
15,0,0,0,18,False
0,0,0,0,11,False
5,0,0,0,21,False
5,0,0,0,19,False
0,0,0,0,15,False
0,0,0,10,19,False
4,0,0,4,13,False
4,0,0,4,14,False
4,0,0,4,25,False
4,0,4,0,15,False
4,0,0,0,24,False
4,0,0,0,24,False
4,0,0,4,23,False
0,0,0,0,15,False
3,0,0,3,17,False
3,0,0,0,15,False
0,0,0,3,18,False
6,0,0,0,18,False
3,0,0,0,15,False
3,0,0,6,18,False
0,0,0,0,19,False
0,0,3,3,17,False
4,0,0,0,22,False
0,2,0,2,18,False
2,5,0,2,20,False
4,3,2,2,17,False
4,2,0,2,22,False
8,4,2,2,14,False
2,0,0,3,18,False
0,0,2,2,18,False
2,0,0,0,17,False
4,0,2,2,15,False
2,0,0,0,18,False
2,2,2,0,19,False
3,0,2,3,20,False
2,2,2,2,13,False
2,2,0,2,11,False
2,2,2,0,24,False
1,2,0,0,24,False
1,0,0,3,22,False
1,1,0,0,25,False
0,0,0,0,22,False
1,0,0,1,19,False
1,1,0,3,19,False
2,1,1,2,18,False
0,3,1,2,24,False
2,0,1,1,21,False
0,2,0,1,22,False
1,2,1,1,21,False
2,1,0,1,24,False
0,4,1,1,28,False
1,60,1,2,23,False
2,10,2,1,27,False
2,8,0,1,25,False
1,4,1,0,25,False
1,6,0,2,16,False
2,5,0,1,21,False
1,4,1,0,19,False
2,6,1,1,18,False
1,4,1,2,22,False
1,5,0,1,14,False
1,4,0,1,17,False
1,6,0,1,19,False
2,6,0,0,23,False
1,4,0,0,32,False
0,3,0,1,25,False
1,6,0,1,23,False
1,5,0,0,31,False
1,5,1,1,29,False
1,6,0,1,25,False
1,4,1,1,27,False
1,3,1,1,24,False
1,3,0,1,18,False
1,4,0,1,26,False
1,5,1,1,26,False
1,4,1,1,22,False
1,4,1,1,19,False
1,3,0,1,17,False
1,4,0,1,20,False
1,5,1,0,24,False
1,6,1,1,36,False
1,4,0,1,23,False
1,3,1,1,36,False
2,3,1,1,16,False
1,3,0,1,17,False
1,3,1,1,18,False
1,2,1,1,20,False
1,2,0,1,16,False
1,2,0,1,18,False
1,2,0,0,18,False
1,2,0,0,18,False
1,4,1,0,17,False
1,5,0,1,14,False
1,3,0,2,16,False
1,4,1,2,16,False
1,6,0,1,16,False
0,4,0,1,16,False
1,4,1,1,20,False
0,4,0,0,20,False
1,3,1,1,17,False
1,6,0,1,18,False
1,3,0,1,18,False
0,3,0,1,18,False
1,3,1,1,20,False
1,4,0,1,20,False
1,3,0,0,17,False
1,3,0,1,19,False
1,4,0,1,17,False
0,4,0,1,18,False
0,3,0,1,23,False
1,4,1,1,26,False
1,2,0,1,20,False
0,5,0,0,20,False
1,2,0,1,16,False
0,3,0,0,18,False
1,3,0,1,18,False
1,7,0,1,25,False
0,5,0,1,32,False
0,3,1,1,69,False
0,5,1,1,32,False
1,3,0,1,35,False
0,4,0,1,27,False
0,5,0,2,18,False
0,4,0,1,17,False
0,2,0,1,17,False
0,3,1,1,16,False
0,4,1,1,17,False
0,5,0,1,13,False
1,5,0,1,16,False
0,6,0,1,14,False
1,4,0,1,20,False
0,5,0,1,20,False
0,3,0,0,20,False
0,28,0,1,14,False
1,13,0,1,15,False
1,7,0,1,20,False
1,5,0,1,22,False
0,4,0,1,19,False
0,7,0,1,12,False
0,5,0,0,14,False
0,9,0,0,13,False
1,5,0,1,13,False
0,5,0,0,15,False
1,5,0,1,13,False
0,3,0,1,12,False
0,2,0,0,13,False
0,6,0,0,12,False
1,3,0,1,13,False
1,4,0,2,12,False
0,2,0,1,8,False
0,4,0,1,12,False
0,5,0,1,13,False
0,5,0,0,12,False
0,5,0,1,10,False
0,4,0,0,13,False
0,2,0,1,12,False
0,3,0,1,12,False
0,4,0,0,14,False
0,4,0,0,14,False
0,4,0,0,14,False
0,4,0,0,14,False
1,3,0,0,13,False
0,6,0,1,11,False
0,9,0,1,13,False
0,100,1,1,11,False
0,35,0,0,13,False
1,23,0,0,12,False
1,20,0,0,12,False
0,13,0,0,16,False
0,12,0,0,13,False
0,12,0,0,14,False
0,24,0,1,11,False
0,13,0,1,13,False
0,9,0,0,12,False
1,14,0,0,20,False
0,14,0,1,36,False
0,15,0,1,15,False
0,23,0,1,11,False
0,20,0,0,12,False
0,16,0,0,10,False
0,10,0,0,23,False
0,14,0,0,20,False
1,15,0,0,15,False
1,12,0,0,13,True
