Thulasiraj Ravilla,Shereen El Feki,Loretta Napoleoni,Ryan Lobo,Iraola,isPartial
0,0,0,0,15,False
0,0,15,0,44,False
0,0,18,0,18,False
0,0,42,14,42,False
0,0,0,0,30,False
0,0,24,0,42,False
0,0,0,0,25,False
0,12,12,0,58,False
0,0,27,0,32,False
0,0,22,0,11,False
0,0,11,0,11,False
0,0,0,0,36,False
0,0,18,0,22,False
0,0,0,0,23,False
0,0,16,0,12,False
0,9,9,0,18,False
0,0,8,8,23,False
0,0,0,8,16,False
0,0,8,0,20,False
0,0,8,15,8,False
0,0,7,7,28,False
0,0,7,0,39,False
0,0,6,0,39,False
0,0,6,0,22,False
0,0,8,0,14,False
0,0,6,6,20,False
0,0,12,0,40,False
0,0,11,0,19,False
0,5,5,0,32,False
0,0,8,5,21,False
0,0,0,5,28,False
0,0,5,0,21,False
0,0,9,9,18,False
0,0,0,0,16,False
0,0,4,0,24,False
0,4,4,4,39,False
0,0,4,0,29,False
0,4,4,4,38,False
0,0,3,3,35,False
0,0,0,0,17,False
0,0,3,0,24,False
0,0,0,3,25,False
0,0,6,0,12,False
0,0,3,3,23,False
0,3,0,3,28,False
0,0,0,4,33,False
0,0,2,2,17,False
0,0,0,0,29,False
0,0,5,2,22,False
0,0,12,0,30,False
0,0,3,3,23,False
0,0,10,0,36,False
0,0,6,0,26,False
0,0,9,2,18,False
0,0,3,0,22,False
0,0,2,0,41,False
0,0,8,3,35,False
0,0,6,4,33,False
0,2,9,0,31,False
0,0,5,0,31,False
0,0,2,4,29,False
0,0,6,2,30,False
0,0,6,2,29,False
0,0,8,3,31,False
0,0,4,0,32,False
0,2,6,2,23,False
0,2,6,5,27,False
0,0,4,5,29,False
0,0,6,1,39,False
0,0,4,1,36,False
0,0,6,3,33,False
0,1,12,3,33,False
0,0,17,3,39,False
0,0,7,2,24,False
0,0,4,4,21,False
0,1,10,4,28,False
0,0,14,1,30,False
0,1,4,3,28,False
0,1,3,2,18,False
0,0,6,2,26,False
0,0,3,2,31,False
0,0,3,3,32,False
0,0,3,2,41,False
0,1,5,3,31,False
0,1,2,2,26,False
0,0,6,2,31,False
0,0,3,1,36,False
0,1,3,2,28,False
0,0,2,3,33,False
0,1,2,5,28,False
0,0,3,2,25,False
0,0,2,5,33,False
0,0,20,3,32,False
0,0,8,4,25,False
0,0,16,4,28,False
0,0,15,2,25,False
0,0,9,4,22,False
0,0,10,2,27,False
0,0,6,2,52,False
0,0,5,6,28,False
0,1,9,4,37,False
0,1,15,1,26,False
0,0,4,2,24,False
0,1,4,2,23,False
0,1,5,3,23,False
0,1,5,3,23,False
0,0,5,1,21,False
0,1,2,4,24,False
0,1,8,4,28,False
0,3,25,3,29,False
0,8,9,2,20,False
0,6,13,1,24,False
0,3,5,1,23,False
0,2,4,2,24,False
0,2,3,1,22,False
0,2,2,3,23,False
0,1,3,1,24,False
0,1,2,2,24,False
0,3,3,1,25,False
0,1,3,2,26,False
0,2,4,2,22,False
0,2,2,6,24,False
0,1,4,3,27,False
0,2,2,2,20,False
0,2,2,4,20,False
0,1,1,2,21,False
0,1,1,3,22,False
0,0,1,1,30,False
0,1,1,2,33,False
0,1,3,2,28,False
0,2,4,1,29,False
0,1,5,3,19,False
0,0,5,2,22,False
0,2,8,1,27,False
0,1,8,2,33,False
0,0,10,1,36,False
0,0,4,1,100,False
0,1,4,2,40,False
0,1,3,1,49,False
0,1,1,2,35,False
0,0,4,2,28,False
0,1,4,2,23,False
0,1,12,1,19,False
0,0,3,1,19,False
0,2,4,1,24,False
0,2,3,1,19,False
0,1,3,2,22,False
0,2,1,1,20,False
0,1,0,2,24,False
0,1,1,2,25,False
0,0,0,1,27,False
0,0,0,2,16,False
0,0,1,1,22,False
0,1,8,2,24,False
0,0,4,2,29,False
0,1,1,1,19,False
0,0,5,1,19,False
0,1,2,2,21,False
0,0,2,2,21,False
0,0,2,3,19,False
0,1,1,1,17,False
0,1,1,1,19,False
0,0,1,1,17,False
0,0,2,1,14,False
0,1,0,2,15,False
0,0,1,1,14,False
0,2,1,1,15,False
0,0,2,1,12,False
0,1,2,2,16,False
0,0,3,2,20,False
0,0,2,1,17,False
0,0,1,1,14,False
0,0,1,1,18,False
0,1,2,2,16,False
0,0,1,1,17,False
0,0,1,1,17,False
0,0,1,2,17,False
0,0,1,1,19,False
0,0,2,2,16,False
0,0,1,1,17,False
0,0,1,0,15,False
0,0,1,1,17,False
0,1,1,1,15,False
0,0,1,1,15,False
0,0,1,1,21,False
0,1,0,2,15,False
0,0,1,1,19,False
0,0,0,1,18,False
0,0,1,1,16,False
0,1,1,1,16,False
0,1,3,1,17,False
0,0,1,1,17,False
0,0,2,0,25,False
0,0,1,1,50,False
0,0,1,1,21,False
0,0,2,2,13,False
0,1,1,1,12,False
0,0,0,2,18,False
0,0,0,1,31,False
0,0,0,1,26,False
0,1,1,1,19,False
0,0,0,1,16,True
