Shigeru Ban,Russell Foster,Steve Ramirez and Xu Liu,May El-Khalil,Iraola,isPartial
29,29,0,0,10,False
76,14,0,0,29,False
35,18,0,0,12,False
55,32,0,0,27,False
24,8,0,0,20,False
27,8,0,0,27,False
42,8,0,0,17,False
42,15,0,0,38,False
25,11,0,0,21,False
50,18,0,0,7,False
68,18,0,0,7,False
37,17,0,0,23,False
32,18,0,0,15,False
37,18,0,0,15,False
80,18,0,0,8,False
69,17,0,0,12,False
53,31,0,0,15,False
23,21,0,0,10,False
32,8,0,0,13,False
40,10,0,0,5,False
23,14,0,0,18,False
56,13,0,0,26,False
49,13,0,0,26,False
19,8,0,0,15,False
29,20,0,0,9,False
44,11,0,0,13,False
32,15,0,0,26,False
51,24,0,0,12,False
43,24,0,0,21,False
27,13,0,0,13,False
22,8,0,0,18,False
28,12,0,0,14,False
25,28,0,0,12,False
38,16,0,0,11,False
35,15,0,0,16,False
27,15,0,0,26,False
24,18,0,0,19,False
29,14,0,0,25,False
38,13,0,0,23,False
41,11,0,0,11,False
36,12,0,0,16,False
23,9,0,0,16,False
25,13,0,0,8,False
22,12,0,0,15,False
36,31,0,0,19,False
53,17,0,0,22,False
37,15,0,0,11,False
23,14,0,0,19,False
27,19,0,0,14,False
28,20,0,0,20,False
24,15,0,0,15,False
34,17,0,0,24,False
28,19,0,0,17,False
16,6,0,0,12,False
28,12,0,0,14,False
19,13,0,0,27,False
32,22,0,0,23,False
21,18,0,0,21,False
24,21,0,0,21,False
18,10,0,0,20,False
15,18,0,1,19,False
19,24,0,0,20,False
23,24,0,0,19,False
23,27,0,0,20,False
21,18,0,0,21,False
19,13,0,0,15,False
17,11,0,0,18,False
17,18,0,0,19,False
24,21,0,0,26,False
21,28,0,0,24,False
21,14,0,0,22,False
22,18,0,0,22,False
21,16,0,0,26,False
28,23,0,0,16,False
24,19,0,0,14,False
26,23,0,0,19,False
24,24,0,0,20,False
18,9,0,0,18,False
13,16,0,0,12,False
13,9,0,0,17,False
17,31,0,0,20,False
20,21,0,0,21,False
21,23,0,0,27,False
14,6,0,0,20,False
11,20,0,0,17,False
15,19,0,1,20,False
23,25,0,0,24,False
23,24,0,1,18,False
15,25,0,0,22,False
12,18,0,0,19,False
11,16,0,0,16,False
14,13,0,0,22,False
20,25,0,0,21,False
15,21,0,0,16,False
20,22,0,0,18,False
15,14,0,0,16,False
16,15,0,0,14,False
18,15,0,0,18,False
17,15,0,0,34,False
24,18,0,0,18,False
21,19,0,0,25,False
15,18,0,0,17,False
8,15,0,0,16,False
9,11,0,0,15,False
13,22,0,0,15,False
15,21,0,0,15,False
14,16,0,0,14,False
12,12,0,0,16,False
13,19,0,0,18,False
15,19,0,0,19,False
16,16,0,0,13,False
13,16,0,0,16,False
13,16,0,0,15,False
14,10,0,0,16,False
11,9,0,0,14,False
19,17,0,1,15,False
16,22,0,1,16,False
17,14,0,1,16,False
17,17,0,0,17,False
9,11,0,0,17,False
13,13,0,0,14,False
15,14,0,0,16,False
100,14,0,0,18,False
43,18,0,0,13,False
29,15,0,0,13,False
25,10,0,0,14,False
11,8,0,0,14,False
24,8,0,0,20,False
20,16,0,0,21,False
23,13,0,0,19,False
18,13,0,0,19,False
15,8,0,0,13,False
16,11,0,0,14,False
17,12,0,0,18,False
23,13,0,0,22,False
17,12,0,0,24,False
19,8,0,0,66,False
14,10,0,0,26,False
11,7,0,0,32,False
12,8,0,0,23,False
15,18,0,0,19,False
17,13,0,0,15,False
15,11,0,0,13,False
13,10,0,0,12,False
13,10,0,0,16,False
13,13,0,0,13,False
16,9,0,0,15,False
18,18,0,0,13,False
19,21,0,0,16,False
12,9,0,0,17,False
9,8,0,0,18,False
11,7,0,0,10,False
13,14,0,0,15,False
17,12,0,0,16,False
14,13,0,0,19,False
13,9,0,0,12,False
12,12,0,0,13,False
15,9,0,0,14,False
18,9,0,0,14,False
18,12,0,0,12,False
15,8,0,0,12,False
10,7,0,0,13,False
7,4,0,0,11,False
11,5,0,0,9,False
12,12,0,0,10,False
13,12,0,0,9,False
15,14,0,0,10,False
10,8,0,0,8,False
10,9,0,0,10,False
12,7,0,0,13,False
15,9,0,0,11,False
12,11,0,0,9,False
13,8,0,0,12,False
9,7,0,0,11,False
7,5,0,0,11,False
8,6,0,0,11,False
10,12,0,0,11,False
11,14,0,0,12,False
11,11,0,0,11,False
7,8,0,0,11,False
9,11,0,0,10,False
10,11,0,0,11,False
10,10,0,0,10,False
12,11,0,0,10,False
11,9,0,0,14,False
8,7,0,0,10,False
6,8,0,0,13,False
8,5,0,0,12,False
11,16,0,0,10,False
13,14,0,0,11,False
12,13,0,0,11,False
7,15,0,0,11,False
7,16,0,0,17,False
9,13,0,0,33,False
5,10,0,0,14,False
10,4,0,0,9,False
8,5,0,0,8,False
7,5,0,0,12,False
6,6,0,0,21,False
8,7,0,0,17,False
8,13,0,0,12,False
7,11,0,0,11,True
