Matt Weinstein,Kartick Satyanarayan,Kiran Sethi,Lalitesh Katragadda,Iraola,isPartial
0,11,0,0,11,False
0,0,0,0,31,False
13,0,0,0,13,False
0,0,0,0,30,False
0,0,0,0,22,False
9,0,0,0,30,False
0,0,0,0,18,False
8,0,0,0,42,False
8,0,0,0,23,False
0,0,8,8,8,False
8,0,0,0,8,False
7,0,0,0,26,False
6,0,0,0,16,False
0,0,0,0,17,False
0,0,0,0,8,False
0,0,0,0,13,False
0,0,6,6,17,False
6,0,0,0,11,False
6,0,0,0,14,False
0,0,0,0,6,False
0,0,0,0,20,False
5,0,0,5,28,False
5,0,0,0,28,False
9,0,0,0,16,False
4,4,0,0,10,False
0,0,0,0,15,False
4,0,0,0,29,False
0,0,0,0,13,False
0,0,0,0,23,False
4,0,0,0,15,False
0,0,0,0,20,False
0,0,0,0,15,False
0,0,0,0,13,False
3,3,0,0,12,False
0,0,0,0,17,False
0,0,0,0,28,False
3,0,0,0,21,False
3,0,0,0,27,False
0,2,5,0,25,False
2,0,0,0,12,False
4,0,0,0,17,False
7,0,2,2,18,False
2,0,0,0,9,False
0,2,2,0,17,False
0,0,0,0,20,False
2,0,2,0,24,False
3,2,0,0,12,False
2,0,0,0,21,False
0,0,2,0,16,False
2,0,2,0,22,False
2,0,2,0,17,False
0,2,0,0,26,False
2,0,2,0,19,False
3,0,0,0,13,False
2,0,0,0,16,False
2,0,2,2,30,False
1,0,0,0,25,False
1,0,1,1,23,False
1,0,0,3,23,False
1,0,1,0,22,False
1,1,0,0,21,False
3,0,1,0,22,False
2,0,0,0,21,False
1,0,1,0,22,False
2,0,0,0,23,False
0,1,1,1,16,False
2,0,1,0,19,False
1,0,2,1,21,False
0,0,1,1,28,False
2,0,1,0,26,False
0,0,2,0,24,False
1,0,1,0,24,False
2,1,7,0,28,False
1,0,1,1,17,False
3,0,2,0,15,False
1,0,4,0,20,False
1,0,3,0,21,False
1,0,3,0,20,False
2,0,2,0,13,False
2,0,3,0,19,False
0,0,4,0,22,False
1,1,1,0,23,False
1,1,2,1,29,False
1,0,2,0,22,False
1,0,1,0,19,False
1,0,2,1,22,False
1,0,1,0,26,False
1,0,2,1,20,False
1,0,2,0,24,False
1,0,5,0,20,False
1,0,2,0,18,False
1,0,1,0,24,False
1,1,2,0,23,False
1,1,1,1,18,False
1,0,1,0,20,False
0,0,1,0,18,False
1,0,1,0,16,False
1,0,1,0,20,False
1,0,2,0,37,False
1,0,1,1,20,False
1,0,2,0,27,False
1,0,3,0,18,False
0,0,1,1,17,False
1,0,1,1,16,False
2,0,2,1,16,False
2,0,1,1,17,False
0,0,1,0,15,False
0,0,1,0,17,False
2,1,1,0,20,False
1,0,1,0,21,False
0,0,1,2,14,False
1,0,1,1,18,False
1,0,1,0,17,False
0,0,1,0,17,False
1,0,1,0,16,False
1,0,1,0,16,False
0,0,1,1,18,False
0,0,1,0,17,False
1,0,1,0,18,False
1,0,2,0,19,False
2,0,1,1,16,False
1,0,2,0,17,False
0,0,1,0,19,False
0,0,3,0,14,False
1,0,1,1,14,False
1,0,1,0,15,False
1,1,1,1,16,False
1,0,2,0,22,False
1,0,1,0,23,False
1,0,0,0,20,False
1,1,1,0,21,False
1,0,2,0,14,False
1,0,2,0,16,False
1,0,1,2,20,False
1,0,2,0,24,False
2,0,2,0,26,False
0,0,1,1,72,False
1,0,1,0,29,False
1,0,1,1,36,False
1,0,1,1,25,False
1,0,0,0,21,False
1,0,2,0,16,False
1,0,1,0,14,False
0,0,2,0,14,False
1,0,1,0,18,False
2,0,2,0,14,False
1,0,2,0,16,False
2,0,2,0,14,False
0,0,2,0,17,False
0,0,1,0,18,False
0,0,1,0,20,False
1,0,1,0,11,False
1,0,1,0,16,False
1,0,1,0,17,False
1,0,1,0,21,False
1,0,1,0,14,False
1,0,1,0,14,False
1,0,0,0,15,False
1,0,1,0,15,False
1,0,1,0,14,False
1,0,1,0,13,False
0,0,1,0,14,False
2,0,0,0,12,False
1,0,0,0,10,False
1,0,0,0,11,False
100,0,1,0,10,False
26,0,1,0,11,False
43,1,1,0,9,False
18,0,3,0,11,False
8,0,1,1,15,False
6,0,1,0,12,False
4,0,2,0,10,False
7,0,1,0,13,False
6,0,1,0,12,False
2,0,1,0,12,False
4,0,2,0,12,False
6,0,1,0,12,False
8,1,1,1,14,False
4,0,1,0,12,False
4,0,0,0,12,False
2,0,1,0,11,False
2,0,0,0,12,False
3,0,1,0,11,False
2,0,1,0,11,False
2,0,3,0,15,False
2,0,1,0,11,False
2,0,1,0,14,False
2,0,1,0,13,False
1,0,2,0,11,False
6,0,1,0,12,False
4,0,1,0,12,False
3,0,0,0,12,False
5,0,1,0,18,False
5,0,1,0,36,False
4,0,1,0,15,False
3,0,1,2,10,False
2,0,1,1,9,False
3,0,1,0,13,False
3,0,1,0,22,False
2,0,0,0,19,False
3,0,1,0,13,False
2,0,1,0,12,True
