Talithia Williams,Nick Hanauer,Dan Pacholke,Eric Liu,Iraola,isPartial
0,0,0,29,15,False
0,0,0,0,44,False
0,0,0,36,18,False
0,0,0,42,42,False
0,0,0,24,30,False
0,0,0,0,42,False
0,0,0,13,25,False
0,0,0,12,58,False
0,0,0,21,32,False
0,0,0,44,11,False
0,0,0,16,11,False
0,10,0,0,36,False
0,0,0,44,22,False
0,0,0,19,23,False
0,0,0,12,12,False
0,0,0,9,18,False
0,0,0,15,23,False
0,0,0,8,16,False
0,0,0,16,20,False
0,0,0,8,8,False
0,0,0,17,28,False
0,7,0,10,39,False
0,6,0,16,39,False
0,0,0,6,22,False
0,0,0,17,14,False
0,0,0,6,20,False
0,0,0,10,40,False
0,0,0,11,19,False
0,0,0,12,32,False
0,0,0,8,21,False
0,0,0,5,28,False
0,0,0,17,21,False
0,0,0,14,18,False
0,0,0,12,16,False
0,0,0,10,24,False
0,0,0,10,39,False
0,4,0,11,29,False
0,0,0,8,38,False
3,0,0,8,35,False
0,3,0,10,17,False
0,0,0,7,24,False
0,0,3,5,25,False
0,3,0,3,12,False
0,0,0,7,23,False
0,0,0,10,28,False
0,5,0,13,33,False
0,0,0,15,17,False
0,0,0,8,29,False
0,2,0,8,22,False
0,5,0,5,30,False
0,0,0,13,23,False
0,0,0,25,36,False
2,2,0,15,26,False
0,7,2,16,18,False
0,3,0,8,22,False
0,2,0,14,41,False
0,4,0,5,35,False
0,5,2,12,33,False
0,2,0,8,31,False
0,4,0,10,31,False
0,0,0,5,29,False
0,0,0,9,30,False
0,2,0,11,29,False
0,3,0,7,31,False
2,0,0,9,32,False
0,2,2,6,23,False
0,2,0,6,27,False
0,0,0,14,29,False
0,1,0,6,39,False
0,0,0,10,36,False
0,1,0,5,33,False
0,0,0,10,33,False
0,1,0,7,39,False
0,0,0,8,24,False
0,0,0,4,21,False
0,1,0,10,28,False
0,0,0,13,30,False
0,1,0,4,28,False
0,0,0,7,18,False
0,1,0,8,26,False
0,1,0,6,31,False
0,2,0,9,32,False
0,1,0,4,41,False
0,1,0,5,31,False
0,1,0,10,26,False
0,1,0,6,31,False
0,2,0,7,36,False
0,0,1,5,28,False
0,1,0,5,33,False
0,0,0,7,28,False
0,2,1,6,25,False
0,1,0,5,33,False
0,1,0,5,32,False
0,0,0,6,25,False
1,2,0,8,28,False
0,13,0,9,25,False
0,3,0,3,22,False
1,3,0,9,27,False
0,1,0,5,52,False
0,4,1,7,28,False
0,78,0,9,37,False
0,13,0,10,26,False
0,17,0,8,24,False
0,7,0,7,23,False
1,10,0,5,23,False
0,5,0,5,23,False
0,13,0,9,21,False
0,9,0,5,24,False
0,6,0,4,28,False
0,6,0,5,29,False
0,16,0,6,20,False
0,5,0,5,24,False
0,10,0,3,23,False
1,8,0,5,24,False
0,6,0,7,22,False
0,7,0,3,23,False
0,8,0,8,24,False
1,6,0,7,24,False
0,7,0,5,25,False
1,5,0,3,26,False
0,11,0,4,22,False
0,11,0,6,24,False
1,5,0,6,27,False
0,7,0,3,20,False
0,3,0,6,20,False
0,22,0,5,21,False
1,57,0,7,22,False
2,33,1,14,30,False
1,15,0,8,33,False
1,14,0,10,28,False
1,15,0,7,29,False
0,19,1,11,19,False
0,17,0,7,22,False
0,12,1,5,27,False
0,18,1,9,33,False
0,8,0,7,36,False
0,12,0,5,100,False
1,12,0,8,40,False
0,12,0,5,49,False
0,5,0,6,35,False
1,7,0,5,28,False
0,9,0,8,23,False
0,5,0,8,19,False
0,6,0,7,19,False
0,13,0,6,24,False
1,13,1,5,19,False
0,10,0,6,22,False
0,7,0,9,20,False
0,7,0,5,24,False
0,34,0,5,25,False
0,6,0,5,27,False
0,6,0,6,16,False
1,5,0,7,22,False
0,4,0,9,24,False
0,6,1,7,29,False
0,6,0,6,19,False
0,7,0,6,19,False
1,8,0,7,21,False
0,6,0,7,21,False
0,8,0,9,19,False
0,10,0,8,17,False
0,5,0,7,19,False
0,9,0,5,17,False
1,15,0,7,14,False
1,5,0,6,15,False
1,10,0,5,14,False
0,20,0,4,15,False
0,15,0,4,12,False
1,7,0,5,16,False
1,7,0,9,20,False
1,3,0,5,17,False
1,4,0,5,14,False
2,4,0,4,18,False
1,4,0,4,16,False
1,4,0,4,17,False
0,3,0,5,17,False
1,4,0,7,17,False
1,4,0,5,19,False
1,3,0,6,16,False
0,2,0,5,17,False
1,9,0,4,15,False
1,9,0,5,17,False
1,4,0,5,15,False
1,3,0,6,15,False
1,3,0,8,21,False
0,8,0,5,15,False
1,8,0,5,19,False
0,5,0,7,18,False
1,9,0,5,16,False
1,14,0,6,16,False
1,15,0,6,17,False
0,5,0,5,17,False
0,6,0,6,25,False
0,7,0,7,50,False
0,4,0,4,21,False
0,7,0,5,13,False
1,6,0,4,12,False
0,8,0,6,18,False
1,3,0,7,31,False
1,5,0,6,26,False
0,4,0,6,19,False
0,2,0,6,16,True
