Katrina Spade,Sharon Terry, Sofi Tukker,Jim Yong Kim,Iraola,isPartial
0,12,0,0,6,False
0,12,0,0,18,False
0,15,0,0,7,False
0,9,0,0,17,False
0,10,0,0,12,False
0,5,0,5,17,False
0,5,0,0,11,False
0,0,0,0,24,False
0,9,0,0,13,False
0,5,0,0,5,False
0,11,0,5,5,False
0,4,0,0,15,False
0,4,0,0,9,False
0,4,0,0,10,False
0,3,0,0,5,False
0,5,0,0,7,False
0,6,0,0,10,False
0,7,0,0,7,False
0,3,0,0,8,False
0,6,0,3,3,False
3,7,0,0,12,False
0,3,0,0,16,False
0,3,0,0,16,False
0,3,0,3,9,False
0,6,0,0,6,False
2,2,0,0,8,False
0,2,0,2,17,False
0,4,0,2,8,False
0,3,0,6,13,False
0,4,0,2,9,False
0,7,0,2,12,False
0,7,0,4,9,False
0,6,0,2,8,False
0,6,0,2,7,False
0,3,0,4,10,False
0,6,0,0,16,False
0,5,0,2,12,False
2,6,0,4,16,False
0,2,0,0,15,False
0,3,0,1,7,False
0,2,0,1,10,False
0,5,0,0,10,False
0,4,0,3,5,False
0,8,0,0,10,False
0,4,0,2,12,False
0,6,0,1,14,False
0,2,0,2,7,False
0,2,0,2,12,False
0,5,0,0,9,False
0,2,0,0,12,False
0,3,0,2,10,False
0,5,0,1,15,False
1,4,0,2,11,False
0,4,0,1,7,False
0,3,0,1,9,False
0,3,0,0,17,False
0,4,0,1,15,False
0,3,0,0,14,False
0,4,0,1,13,False
1,2,0,2,13,False
1,3,0,0,12,False
0,3,0,2,13,False
0,3,0,13,12,False
1,2,0,4,13,False
0,4,0,2,13,False
1,2,0,1,10,False
0,4,0,1,11,False
0,3,0,1,12,False
0,5,0,4,16,False
0,3,0,2,15,False
1,3,0,1,14,False
0,2,0,1,14,False
0,5,0,1,16,False
1,1,0,1,10,False
0,3,0,2,9,False
0,2,0,1,12,False
0,2,0,1,12,False
0,4,0,1,12,False
0,4,0,1,8,False
0,4,0,0,11,False
0,3,0,2,13,False
0,2,0,1,13,False
0,3,0,1,17,False
0,2,0,1,13,False
0,2,0,1,11,False
0,3,0,0,13,False
0,2,0,1,15,False
0,1,0,1,12,False
0,2,0,1,14,False
0,3,0,2,12,False
0,2,0,1,10,False
0,2,0,1,14,False
1,3,0,1,13,False
0,3,0,1,10,False
1,2,0,1,12,False
0,2,0,2,10,False
0,2,0,0,9,False
0,1,0,0,11,False
0,2,0,51,22,False
0,3,0,44,12,False
0,3,0,5,16,False
0,2,0,5,11,False
0,2,0,7,10,False
0,2,0,3,9,False
0,3,0,6,9,False
0,3,0,4,10,False
0,3,0,3,9,False
0,1,0,3,10,False
0,1,0,4,12,False
1,2,0,3,12,False
0,1,0,3,8,False
0,2,0,8,10,False
0,1,0,5,10,False
0,1,0,3,10,False
0,2,0,3,9,False
0,3,0,2,10,False
0,2,0,4,10,False
0,3,0,8,10,False
0,2,0,4,11,False
0,2,0,3,11,False
0,2,0,3,9,False
0,2,0,4,10,False
0,1,0,4,11,False
0,3,0,6,8,False
0,1,0,5,8,False
0,2,0,4,9,False
0,2,0,5,9,False
0,2,0,4,13,False
0,1,0,5,14,False
1,2,0,7,12,False
0,1,0,4,12,False
0,1,0,3,8,False
0,2,0,5,9,False
0,2,0,5,11,False
1,2,0,4,14,False
1,1,0,5,15,False
0,2,0,5,42,False
0,2,1,4,17,False
0,2,0,3,21,False
0,2,0,2,15,False
0,2,0,3,12,False
0,2,2,4,10,False
0,1,3,3,8,False
0,1,2,3,8,False
0,2,10,4,10,False
0,2,13,3,8,False
0,2,15,4,9,False
0,2,16,4,8,False
0,2,18,3,10,False
0,2,18,3,10,False
0,2,29,4,11,False
1,1,28,3,7,False
1,1,27,6,9,False
0,3,27,3,10,False
0,3,28,5,12,False
0,4,26,4,8,False
0,2,29,2,8,False
0,1,31,4,9,False
0,3,26,3,9,False
0,2,25,4,8,False
0,3,18,3,7,False
1,1,19,3,8,False
1,2,18,4,7,False
0,1,19,5,6,False
0,1,30,3,6,False
0,1,36,4,6,False
0,2,66,2,6,False
0,1,82,4,5,False
1,1,100,3,7,False
1,2,81,4,8,False
0,2,65,4,7,False
0,2,91,3,6,False
0,2,96,3,8,False
0,1,58,2,7,False
0,2,62,3,7,False
0,2,50,2,7,False
1,2,52,4,7,False
0,1,35,5,8,False
0,2,64,3,7,False
0,1,32,2,7,False
0,2,35,20,6,False
0,2,30,3,7,False
0,1,34,2,6,False
1,1,35,4,6,False
1,2,32,2,9,False
1,1,32,1,6,False
1,3,36,1,8,False
0,4,41,2,7,False
0,2,49,2,7,False
0,1,56,1,7,False
0,2,55,1,7,False
0,2,51,1,7,False
0,2,61,1,11,False
0,1,59,2,21,False
0,2,42,1,9,False
1,3,73,5,6,False
0,2,45,2,5,False
0,2,37,1,7,False
0,2,40,1,13,False
0,1,39,1,11,False
0,2,32,1,8,False
1,1,32,1,7,True
