Sethembile Msezane,Jun Wang,Olúfẹ́mi Táíwò,Duarte Geraldino,Iraola,isPartial
0,15,0,0,15,False
0,22,0,0,44,False
0,27,0,0,18,False
0,14,0,0,42,False
0,36,0,0,30,False
0,18,0,0,42,False
0,13,0,0,25,False
0,12,0,12,58,False
0,32,0,0,32,False
0,38,0,0,11,False
0,11,0,0,11,False
0,25,0,0,36,False
0,13,0,0,22,False
0,33,0,0,23,False
0,20,0,0,12,False
0,18,0,0,18,False
0,31,0,0,23,False
0,31,0,0,16,False
0,24,0,0,20,False
0,31,0,0,8,False
0,17,0,0,28,False
0,23,0,0,39,False
0,26,0,0,39,False
0,22,0,0,22,False
0,28,0,0,14,False
0,20,0,0,20,False
0,22,0,0,40,False
0,16,0,0,19,False
0,27,0,0,32,False
0,18,0,0,21,False
0,23,0,5,28,False
0,17,0,0,21,False
0,16,0,0,18,False
0,18,0,0,16,False
0,16,0,0,24,False
0,17,0,4,39,False
0,27,0,0,29,False
0,23,0,0,38,False
0,15,0,0,35,False
0,24,0,0,17,False
0,16,0,0,24,False
0,22,0,0,25,False
0,17,0,0,12,False
0,12,0,0,23,False
0,13,0,0,28,False
0,14,0,0,33,False
0,15,0,0,17,False
0,22,0,0,29,False
0,13,0,0,22,False
0,12,0,0,30,False
0,28,0,0,23,False
0,12,0,0,36,False
0,19,0,0,26,False
0,14,0,0,18,False
0,12,0,0,22,False
0,22,0,0,41,False
0,10,0,2,35,False
0,14,0,0,33,False
0,20,0,0,31,False
0,18,0,0,31,False
0,15,0,0,29,False
0,11,0,2,30,False
0,10,0,0,29,False
0,14,0,0,31,False
0,14,0,0,32,False
0,11,0,0,23,False
0,22,0,0,27,False
0,16,0,0,29,False
0,10,0,1,39,False
0,14,0,0,36,False
0,15,0,0,33,False
0,12,0,0,33,False
0,11,0,0,39,False
0,10,0,0,24,False
0,15,0,0,21,False
0,12,0,0,28,False
0,11,0,0,30,False
0,12,0,0,28,False
0,14,0,0,18,False
0,15,0,0,26,False
0,8,0,1,31,False
0,11,0,0,32,False
0,10,0,0,41,False
0,12,0,0,31,False
0,13,0,0,26,False
0,7,0,0,31,False
0,12,0,0,36,False
0,16,0,0,28,False
0,11,0,1,33,False
0,11,0,1,28,False
0,13,0,0,25,False
0,15,0,0,33,False
0,9,0,1,32,False
0,13,0,0,25,False
0,7,0,0,28,False
0,12,0,1,25,False
1,12,0,1,22,False
0,50,0,0,27,False
0,22,0,0,52,False
0,13,0,1,28,False
0,12,0,0,37,False
0,13,0,0,26,False
0,10,0,0,24,False
0,12,0,0,23,False
0,12,0,0,23,False
0,6,0,1,23,False
0,10,0,1,21,False
0,9,0,1,24,False
0,9,0,0,28,False
0,12,0,0,29,False
0,11,0,0,20,False
0,11,0,0,24,False
0,8,0,0,23,False
0,10,0,0,24,False
0,14,0,0,22,False
0,9,0,1,23,False
0,12,0,0,24,False
0,10,0,0,24,False
0,13,0,0,25,False
0,6,0,1,26,False
0,11,0,0,22,False
0,10,0,0,24,False
0,11,0,0,27,False
0,14,0,0,20,False
0,12,0,1,20,False
0,13,0,0,21,False
0,13,0,0,22,False
0,12,0,0,30,False
0,12,0,0,33,False
0,11,0,1,28,False
0,13,0,1,29,False
0,12,0,0,19,False
0,11,0,0,22,False
0,10,0,1,27,False
0,11,0,0,33,False
0,9,0,0,36,False
0,13,0,0,100,False
0,13,0,0,40,False
0,13,0,0,49,False
0,17,0,0,35,False
0,15,0,0,28,False
0,9,0,0,23,False
0,12,0,0,19,False
0,12,0,0,19,False
0,12,0,0,24,False
0,14,0,0,19,False
0,12,0,0,22,False
0,15,0,0,20,False
0,14,0,0,24,False
0,14,0,0,25,False
0,17,0,0,27,False
0,18,0,0,16,False
0,14,0,0,22,False
0,14,0,0,24,False
0,15,0,0,29,False
0,17,0,0,19,False
0,17,0,0,19,False
0,15,0,0,21,False
0,14,0,0,21,False
0,12,0,0,19,False
0,13,0,0,17,False
1,13,0,0,19,False
0,14,0,0,17,False
0,13,0,0,14,False
1,16,0,0,15,False
0,12,0,1,14,False
1,13,0,0,15,False
0,13,0,0,12,False
1,13,0,1,16,False
0,7,0,0,20,False
0,13,0,1,17,False
0,11,0,0,14,False
0,12,0,1,18,False
1,12,0,1,16,False
0,12,0,0,17,False
0,11,0,1,17,False
0,12,0,0,17,False
0,12,0,0,19,False
0,11,0,0,16,False
0,14,0,0,17,False
0,12,0,0,15,False
0,9,0,0,17,False
0,11,0,0,15,False
0,11,0,0,15,False
0,11,0,1,21,False
0,9,0,0,15,False
0,8,0,0,19,False
0,12,0,0,18,False
0,15,0,0,16,False
0,16,0,0,16,False
0,13,0,0,17,False
0,13,0,0,17,False
0,12,0,0,25,False
0,10,0,0,50,False
0,14,0,0,21,False
0,19,0,0,13,False
0,20,0,0,12,False
0,17,0,0,18,False
0,16,0,1,31,False
0,13,0,0,26,False
0,14,0,0,19,False
0,10,0,0,16,True
