Alexis Ohanian,Charles Anderson,James Geary,Shaffi Mather,Iraola,isPartial
0,3,0,0,2,False
0,12,1,0,3,False
0,5,1,0,1,False
0,6,2,0,2,False
0,6,0,0,1,False
0,3,0,0,1,False
0,5,0,0,2,False
0,4,0,0,2,False
0,4,0,0,2,False
0,6,0,0,2,False
0,4,0,0,1,False
1,5,1,0,2,False
0,5,1,0,1,False
0,5,1,0,2,False
0,5,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,6,0,0,1,False
0,4,0,0,1,False
0,4,0,0,2,False
0,4,0,0,2,False
0,5,1,0,2,False
0,3,0,0,2,False
0,6,1,0,1,False
0,6,0,0,1,False
0,5,0,0,2,False
0,4,0,0,1,False
0,4,0,0,1,False
0,2,0,0,2,False
0,3,0,0,2,False
0,3,1,0,2,False
0,4,0,0,1,False
0,4,0,0,1,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,1,False
0,2,0,0,2,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,1,False
0,3,0,0,2,False
0,4,0,0,1,False
0,3,0,0,1,False
0,3,0,0,2,False
0,3,0,0,1,False
0,2,0,0,1,False
0,2,0,0,2,False
0,5,0,0,1,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,2,False
0,2,0,0,2,False
0,2,0,0,1,False
0,3,0,0,1,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,2,False
0,3,0,0,1,False
0,3,0,0,2,False
0,2,0,0,2,False
0,1,0,0,1,False
0,3,0,0,2,False
0,3,0,0,2,False
0,2,0,0,2,False
0,3,0,0,2,False
0,2,0,0,2,False
0,2,0,0,2,False
0,2,0,0,2,False
0,3,0,0,1,False
0,3,0,0,2,False
0,3,0,0,1,False
0,3,0,0,1,False
0,2,0,0,2,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,2,False
0,2,0,0,2,False
0,3,0,0,3,False
0,3,0,0,2,False
0,2,0,0,2,False
0,3,0,0,2,False
0,3,0,0,3,False
0,3,0,0,2,False
0,2,0,0,2,False
0,2,0,0,2,False
0,2,0,0,1,False
0,2,0,0,2,False
0,2,0,0,2,False
0,2,0,0,1,False
0,2,0,0,2,False
0,2,0,0,1,False
1,2,0,0,1,False
0,2,0,0,2,False
0,2,0,0,4,False
0,2,0,0,1,False
1,3,0,0,3,False
0,2,0,0,2,False
1,2,0,0,2,False
1,2,0,0,2,False
0,2,0,0,2,False
0,2,0,0,2,False
0,2,0,0,1,False
1,2,0,0,1,False
1,2,0,0,1,False
0,2,0,0,1,False
1,2,0,0,1,False
1,2,0,0,2,False
0,11,0,0,1,False
0,2,0,0,1,False
0,3,0,0,1,False
1,2,0,0,1,False
1,2,0,0,2,False
2,2,0,0,2,False
3,2,0,0,2,False
1,2,0,0,1,False
1,2,0,0,2,False
1,2,0,0,1,False
1,2,0,0,2,False
2,2,0,0,1,False
1,2,0,0,1,False
0,2,0,0,1,False
1,2,0,0,1,False
0,2,0,0,2,False
1,2,0,0,2,False
1,2,0,0,2,False
1,2,0,0,2,False
1,2,0,0,1,False
1,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,2,False
1,2,0,0,2,False
0,2,0,0,6,False
1,2,0,0,3,False
4,2,0,0,3,False
0,2,0,0,2,False
0,2,0,0,2,False
2,2,0,0,1,False
1,2,0,0,1,False
1,2,0,0,1,False
1,2,0,0,1,False
1,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,2,False
1,2,0,0,2,False
2,1,0,0,2,False
1,2,0,0,1,False
1,2,0,0,1,False
1,2,0,0,1,False
0,2,0,0,2,False
100,2,0,0,1,False
27,2,0,0,1,False
4,2,0,0,1,False
3,2,0,0,1,False
60,2,0,0,1,False
9,1,0,0,1,False
12,1,0,0,1,False
8,2,0,0,1,False
7,2,0,0,1,False
24,2,0,0,1,False
4,2,0,0,1,False
26,2,0,0,1,False
5,2,0,0,1,False
9,1,0,0,1,False
5,2,0,0,1,False
5,2,0,0,1,False
4,1,0,0,1,False
13,2,0,0,1,False
7,2,0,0,1,False
14,1,0,0,1,False
7,2,0,0,1,False
16,1,0,0,1,False
3,2,0,0,1,False
3,1,0,0,1,False
3,1,0,0,1,False
6,1,0,0,1,False
4,2,0,0,1,False
3,2,0,0,1,False
3,2,0,0,1,False
3,2,0,0,1,False
3,1,0,0,1,False
9,1,0,0,1,False
5,2,0,0,1,False
8,2,0,0,1,False
3,1,0,0,1,False
2,2,0,0,1,False
2,1,0,0,1,False
3,1,0,0,1,False
2,1,0,0,3,False
2,1,0,0,1,False
2,1,0,0,1,False
2,1,0,0,1,False
14,1,0,0,1,False
3,1,0,0,2,False
2,1,0,0,2,False
7,1,0,0,1,False
2,1,0,0,1,True
