Jonathan Drori,Irwin Redlener,Brewster Kahle,Carmen Agra Deedy,Iraola,isPartial
16,0,31,0,24,False
16,0,23,16,47,False
0,0,0,0,29,False
0,0,0,15,30,False
0,0,26,0,30,False
0,0,26,0,26,False
0,0,20,0,27,False
0,12,13,0,50,False
0,0,12,0,27,False
0,24,35,0,24,False
0,0,12,0,12,False
11,0,16,0,17,False
0,0,24,0,23,False
0,0,20,0,31,False
0,0,11,0,23,False
0,10,14,0,29,False
0,0,8,0,20,False
8,0,17,0,28,False
0,0,9,0,26,False
0,0,0,0,17,False
0,19,11,0,30,False
7,14,16,0,28,False
7,0,7,0,21,False
0,0,7,7,28,False
6,0,6,6,18,False
0,0,6,13,21,False
0,0,5,11,36,False
6,6,14,0,21,False
0,5,5,0,35,False
0,0,6,6,35,False
0,6,11,0,34,False
5,5,10,0,22,False
0,10,5,0,25,False
0,5,5,0,22,False
0,0,9,0,26,False
0,0,5,5,26,False
6,0,6,4,22,False
0,0,4,4,26,False
0,0,5,4,28,False
4,4,8,0,25,False
0,0,5,0,31,False
0,3,5,0,26,False
0,0,0,3,29,False
0,0,0,3,25,False
0,0,5,5,33,False
3,6,6,3,21,False
3,3,4,5,27,False
0,3,4,0,27,False
0,0,3,0,24,False
3,3,3,3,21,False
0,5,2,2,27,False
0,2,2,4,27,False
0,2,6,0,30,False
0,2,2,2,19,False
0,0,3,0,16,False
0,0,2,2,35,False
3,7,12,2,36,False
4,3,3,3,32,False
2,2,2,3,36,False
2,2,3,2,32,False
3,2,4,2,28,False
0,2,3,2,28,False
2,3,5,0,27,False
0,2,3,4,35,False
3,3,5,3,30,False
0,0,4,2,33,False
2,2,3,2,30,False
0,3,2,2,35,False
2,2,3,3,40,False
3,2,3,2,33,False
2,0,4,2,39,False
2,2,2,2,36,False
1,1,2,0,36,False
0,0,1,3,24,False
0,0,2,0,31,False
1,1,1,3,27,False
0,1,3,1,26,False
0,3,2,1,32,False
0,1,0,3,21,False
1,3,2,1,25,False
0,1,2,2,28,False
0,0,1,2,34,False
1,3,1,1,46,False
0,0,2,1,37,False
0,0,3,2,33,False
0,1,1,2,45,False
0,1,2,1,43,False
0,1,1,1,36,False
1,1,2,1,40,False
0,2,1,2,34,False
2,2,1,2,26,False
1,0,7,1,38,False
0,1,2,3,38,False
2,1,4,3,31,False
0,1,2,1,27,False
1,1,3,2,24,False
1,0,2,1,29,False
0,1,1,2,35,False
1,1,2,1,52,False
0,1,4,1,33,False
1,1,3,2,52,False
1,0,2,0,24,False
1,1,1,0,25,False
0,0,1,2,27,False
1,2,3,2,28,False
0,0,1,1,23,False
0,1,2,1,26,False
0,1,1,0,27,False
1,1,1,1,26,False
1,1,2,1,25,False
0,1,1,1,21,False
0,0,1,3,23,False
1,1,1,1,24,False
0,1,1,1,24,False
1,2,2,1,24,False
0,1,1,1,29,False
1,1,1,1,29,False
0,1,1,1,25,False
1,1,1,1,27,False
1,0,1,0,26,False
0,1,1,1,26,False
1,0,1,1,29,False
0,0,1,1,28,False
0,1,1,1,24,False
0,1,1,1,27,False
1,1,1,1,25,False
0,1,1,1,26,False
0,0,2,1,34,False
1,0,1,1,38,False
1,2,1,1,29,False
1,1,1,1,29,False
1,1,1,1,23,False
0,1,2,1,26,False
1,1,2,1,27,False
0,1,2,1,36,False
0,1,1,1,46,False
1,1,1,2,100,False
0,1,1,1,47,False
1,1,1,1,50,False
0,0,2,1,39,False
1,1,1,1,27,False
0,0,2,1,25,False
1,1,2,1,25,False
0,0,1,1,23,False
0,0,1,1,25,False
0,1,1,1,19,False
0,1,0,0,24,False
1,0,1,1,20,False
1,0,1,1,29,False
1,1,1,1,29,False
0,1,1,1,29,False
1,0,1,1,20,False
1,1,1,1,21,False
1,1,1,1,30,False
0,0,1,0,32,False
1,0,2,0,27,False
0,1,0,1,17,False
1,0,2,1,20,False
1,0,1,0,19,False
0,0,1,1,19,False
0,1,1,1,22,False
0,1,1,1,19,False
0,0,0,1,18,False
0,0,0,1,19,False
0,0,1,1,17,False
0,1,1,1,19,False
0,1,2,1,17,False
0,0,3,0,12,False
1,1,1,1,18,False
0,0,1,1,19,False
1,1,1,1,17,False
1,0,1,1,15,False
2,1,1,1,20,False
2,0,0,0,18,False
1,0,1,1,17,False
1,1,1,1,20,False
1,1,1,1,21,False
1,0,1,1,21,False
0,0,1,1,20,False
0,0,4,0,20,False
0,1,0,0,17,False
1,0,1,1,19,False
0,1,1,1,16,False
1,1,1,1,18,False
1,1,1,1,17,False
0,1,1,1,18,False
0,1,1,1,23,False
0,0,1,1,20,False
0,0,0,1,20,False
0,0,1,1,17,False
0,0,1,1,18,False
0,1,3,0,17,False
1,0,1,1,29,False
0,1,0,1,53,False
0,8,0,1,21,False
0,4,1,0,16,False
0,2,1,1,17,False
0,2,1,1,15,False
0,2,1,0,34,False
0,1,1,0,29,False
0,2,0,1,22,False
0,7,1,1,19,True
