Aomawa Shields,David Sedlak,James Veitch,Melvin Russell,Iraola,isPartial
0,0,0,0,28,False
0,0,0,14,37,False
0,0,0,0,17,False
0,0,0,13,31,False
0,0,12,0,27,False
0,0,0,12,35,False
0,0,12,12,28,False
0,0,11,0,39,False
0,0,0,0,31,False
0,11,0,0,21,False
0,11,0,0,14,False
0,0,0,0,33,False
0,0,9,0,26,False
0,0,9,0,23,False
0,0,0,8,18,False
0,0,0,17,17,False
0,11,7,7,17,False
0,0,0,8,15,False
0,8,0,0,15,False
0,0,0,7,15,False
0,0,7,0,29,False
0,0,0,6,31,False
0,0,0,6,27,False
0,6,6,12,23,False
0,5,0,0,16,False
0,0,0,0,20,False
0,5,5,5,38,False
0,5,5,5,19,False
0,0,0,0,25,False
0,0,0,0,26,False
0,5,0,0,29,False
0,0,5,5,24,False
0,0,0,4,20,False
0,4,0,4,20,False
0,4,4,6,21,False
0,0,8,0,32,False
0,3,7,0,23,False
0,0,0,4,30,False
0,0,3,0,34,False
0,0,3,4,21,False
0,3,0,3,22,False
0,0,3,3,28,False
0,4,3,6,16,False
0,0,3,3,21,False
0,0,3,5,30,False
0,2,2,0,27,False
0,2,4,0,16,False
0,5,3,3,26,False
0,2,3,2,22,False
2,0,2,5,27,False
0,2,0,2,26,False
0,2,2,3,32,False
0,0,0,2,29,False
0,2,2,2,18,False
0,2,2,0,21,False
0,3,4,2,34,False
2,0,2,0,33,False
0,2,0,3,29,False
0,2,0,2,28,False
0,2,2,2,27,False
0,2,2,3,28,False
0,2,0,0,29,False
0,2,2,2,23,False
0,2,2,3,29,False
0,0,2,2,28,False
0,2,0,2,23,False
0,0,3,3,25,False
2,2,2,3,26,False
0,1,0,1,37,False
0,1,1,4,32,False
0,2,1,1,32,False
0,2,0,3,32,False
0,2,2,1,35,False
0,1,1,3,23,False
0,1,4,2,25,False
0,1,2,2,26,False
0,1,0,2,26,False
0,0,1,2,27,False
0,0,1,2,18,False
0,1,1,1,23,False
0,0,1,3,33,False
0,1,0,1,33,False
0,1,2,0,41,False
0,1,1,2,29,False
0,1,1,1,26,False
0,1,1,1,31,False
0,1,0,1,39,False
0,1,2,1,29,False
0,1,1,3,31,False
0,0,1,1,28,False
0,1,0,3,24,False
0,1,2,2,34,False
0,1,1,1,32,False
0,1,1,2,25,False
0,0,2,2,27,False
0,1,1,2,23,False
1,1,0,1,24,False
0,0,1,1,25,False
0,2,1,1,55,False
0,2,1,1,27,False
0,1,1,1,39,False
0,0,0,1,26,False
0,1,0,1,24,False
0,1,1,2,24,False
0,1,1,2,25,False
1,1,1,1,25,False
0,1,1,1,20,False
0,0,1,1,24,False
0,0,1,2,25,False
0,0,1,1,25,False
0,1,2,1,21,False
0,1,1,3,25,False
0,1,1,1,21,False
0,1,1,1,22,False
0,1,1,1,23,False
0,1,2,1,23,False
0,1,2,1,25,False
0,1,1,1,24,False
1,1,1,1,24,False
1,1,1,1,24,False
0,1,1,2,24,False
0,2,1,1,23,False
0,0,1,1,26,False
0,0,1,1,18,False
0,1,1,1,21,False
0,1,1,1,19,False
0,1,1,1,20,False
0,0,1,1,29,False
0,1,1,1,30,False
0,1,1,1,26,False
0,1,1,2,26,False
0,1,0,1,19,False
0,1,1,2,22,False
1,1,2,2,25,False
0,1,1,2,31,False
0,0,0,2,36,False
0,1,1,1,100,False
0,0,1,2,40,False
0,1,2,1,48,False
0,0,5,2,33,False
0,1,4,5,27,False
0,1,1,2,22,False
0,0,1,1,20,False
0,0,1,2,22,False
2,1,27,1,24,False
1,1,20,1,18,False
0,1,15,2,21,False
1,0,11,1,20,False
0,0,11,1,26,False
1,0,14,1,24,False
0,1,8,1,27,False
0,0,9,1,16,False
0,1,16,2,22,False
1,1,11,3,22,False
0,0,15,1,27,False
0,1,14,3,20,False
0,1,22,1,17,False
1,0,45,1,19,False
0,1,20,1,18,False
0,1,20,1,17,False
0,1,19,1,19,False
0,1,14,1,18,False
0,0,12,0,17,False
0,1,14,2,15,False
0,0,23,2,14,False
0,1,96,1,14,False
0,1,45,2,15,False
0,0,32,2,11,False
1,1,34,2,16,False
0,1,32,1,18,False
1,1,51,1,17,False
0,1,46,1,12,False
0,0,59,1,16,False
0,0,56,2,17,False
0,1,51,1,15,False
0,1,51,2,16,False
0,0,51,2,17,False
1,1,57,2,19,False
0,1,48,3,15,False
0,0,29,3,15,False
0,1,32,2,15,False
0,0,39,2,18,False
1,1,42,1,15,False
0,0,29,2,16,False
0,1,30,2,19,False
1,1,23,0,15,False
0,0,24,2,19,False
0,0,30,3,19,False
1,1,27,3,15,False
0,0,27,2,16,False
0,1,25,1,17,False
1,0,32,1,15,False
0,1,28,1,25,False
0,0,22,2,46,False
0,0,17,1,20,False
0,1,19,1,13,False
0,1,32,1,13,False
0,1,26,1,16,False
0,0,21,1,28,False
0,0,33,2,26,False
0,0,60,3,19,False
0,1,14,1,16,True
