Malcolm McLaren,Aaron O'Connell,Jessi Arrington,Damon Horowitz,Iraola,isPartial
4,0,0,0,2,False
4,0,0,0,3,False
4,0,0,0,1,False
11,0,0,0,2,False
7,0,0,0,2,False
7,0,0,0,3,False
5,0,0,0,2,False
7,0,0,0,3,False
4,0,0,0,2,False
5,0,0,0,2,False
4,0,0,1,1,False
4,0,0,0,3,False
6,0,0,0,2,False
5,0,0,0,2,False
3,0,0,0,1,False
6,0,0,0,1,False
4,0,0,0,1,False
2,0,0,0,1,False
3,0,0,0,1,False
3,0,0,0,1,False
4,0,0,0,2,False
3,0,0,1,3,False
4,0,0,1,2,False
3,0,0,0,2,False
3,0,0,0,1,False
3,0,0,0,2,False
5,0,0,0,3,False
2,0,0,0,2,False
4,0,0,0,2,False
3,0,0,0,2,False
3,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,2,False
3,0,0,1,2,False
2,0,0,0,2,False
3,0,0,0,3,False
4,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,3,False
3,0,0,0,2,False
3,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,1,False
3,0,0,0,2,False
3,0,0,0,2,False
3,0,0,0,2,False
8,0,0,0,1,False
4,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,3,False
3,0,0,0,2,False
3,0,0,0,1,False
3,0,0,0,2,False
3,0,0,0,3,False
1,0,0,0,3,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,2,False
3,0,0,0,2,False
3,0,0,0,2,False
3,0,0,0,3,False
2,0,0,0,3,False
3,0,0,0,3,False
2,0,0,0,3,False
2,0,0,0,3,False
3,0,0,0,2,False
2,0,0,0,2,False
100,0,0,0,2,False
5,0,0,0,2,False
4,0,0,0,2,False
4,0,0,0,1,False
3,0,0,0,2,False
3,0,0,0,3,False
2,0,0,0,3,False
3,0,0,0,3,False
3,0,0,0,2,False
2,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,3,False
3,0,0,0,2,False
2,0,0,0,3,False
3,0,1,0,2,False
2,0,0,0,2,False
2,0,0,0,3,False
3,0,0,0,3,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,4,False
2,0,0,0,2,False
3,0,0,0,3,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,2,False
3,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,1,False
2,0,0,0,2,False
2,0,0,0,2,False
1,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
1,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,3,False
1,0,0,0,8,False
2,0,0,0,3,False
1,0,0,0,4,False
1,0,0,0,3,False
2,0,0,0,2,False
1,0,0,0,2,False
2,0,0,0,2,False
1,0,0,0,2,False
6,0,0,0,2,False
2,0,0,0,1,False
2,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
1,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,1,False
1,0,0,0,2,False
1,0,0,0,2,False
2,0,0,0,2,False
2,0,0,0,2,False
1,0,0,0,1,False
2,0,0,0,2,False
2,0,0,0,1,False
2,0,0,0,1,False
1,0,0,0,2,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,2,False
1,0,0,0,1,False
1,0,0,0,1,False
2,0,0,0,2,False
1,0,0,0,1,False
2,0,0,0,1,False
2,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,2,False
1,0,0,0,4,False
1,0,0,0,2,False
2,0,0,0,1,False
2,0,0,0,1,False
2,0,0,0,1,False
2,0,0,0,2,False
1,0,0,0,2,False
1,0,0,0,1,False
1,0,0,0,1,True
