Anant Agarwal,Anne Milgram,McKenna Pope,Nicolas Perony,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
17,0,0,0,17,False
0,0,13,0,31,False
11,0,0,0,27,False
0,0,0,0,35,False
24,0,0,0,28,False
11,0,0,0,39,False
31,0,0,0,31,False
0,0,0,0,21,False
21,0,0,0,14,False
0,10,0,0,33,False
0,0,0,0,26,False
0,0,0,0,23,False
8,0,0,0,18,False
17,0,17,0,17,False
0,7,0,0,17,False
7,0,0,0,15,False
8,0,0,0,15,False
0,0,0,0,15,False
10,0,0,0,29,False
6,0,0,0,31,False
6,0,0,0,27,False
8,0,0,0,23,False
5,5,0,0,16,False
6,6,0,0,20,False
0,5,0,0,38,False
8,5,0,0,19,False
0,0,0,0,25,False
5,0,0,0,26,False
5,0,0,0,29,False
5,0,0,5,24,False
4,0,0,0,20,False
4,0,0,0,20,False
4,0,0,0,21,False
4,4,4,0,32,False
6,0,0,0,23,False
4,0,0,0,30,False
5,3,3,0,34,False
3,0,0,0,21,False
3,3,0,0,22,False
4,10,3,0,28,False
4,4,0,0,16,False
5,5,0,0,21,False
3,3,0,0,30,False
5,3,0,0,27,False
5,5,0,0,16,False
3,8,0,0,26,False
2,4,0,2,22,False
2,2,2,0,27,False
3,7,0,0,26,False
4,4,0,0,32,False
5,4,0,0,29,False
2,5,0,0,18,False
2,0,0,0,21,False
2,4,0,0,34,False
4,6,0,0,33,False
3,2,0,0,29,False
3,4,2,0,28,False
2,2,0,0,27,False
2,2,0,0,28,False
3,4,2,0,29,False
0,4,2,0,23,False
2,3,0,0,29,False
2,3,2,0,28,False
2,4,2,0,23,False
2,9,2,2,25,False
3,3,0,0,26,False
4,2,0,0,37,False
3,4,0,0,32,False
2,5,0,0,32,False
1,3,0,0,32,False
2,1,0,0,35,False
2,3,0,0,23,False
2,1,1,0,25,False
4,3,1,0,26,False
2,1,0,0,26,False
2,1,0,0,27,False
2,0,0,0,18,False
2,1,0,0,23,False
1,1,0,0,33,False
3,1,0,0,33,False
2,1,0,0,41,False
3,1,1,0,29,False
2,0,0,1,26,False
2,1,0,0,31,False
2,1,1,0,39,False
3,1,0,0,29,False
2,1,0,0,31,False
5,1,0,1,28,False
2,0,0,0,24,False
5,1,1,0,34,False
3,0,0,0,32,False
4,1,0,0,25,False
3,2,0,0,27,False
3,0,0,0,23,False
4,1,1,0,24,False
8,1,1,0,25,False
7,0,0,0,55,False
6,1,0,0,27,False
10,1,0,0,39,False
4,0,1,0,26,False
4,0,0,0,24,False
6,1,0,0,24,False
5,0,1,0,25,False
3,1,0,0,25,False
6,1,1,1,20,False
4,0,5,0,24,False
2,1,1,0,25,False
2,1,1,0,25,False
3,1,1,0,21,False
3,1,1,0,25,False
3,1,1,1,21,False
3,1,0,0,22,False
9,1,1,1,23,False
4,1,1,1,23,False
4,1,0,0,25,False
3,1,0,0,24,False
2,1,1,1,24,False
3,1,1,0,24,False
4,3,2,1,24,False
4,3,1,2,23,False
4,1,0,0,26,False
2,0,1,1,18,False
3,1,1,0,21,False
2,2,1,0,19,False
3,1,0,0,20,False
3,1,1,1,29,False
2,1,0,1,30,False
2,0,1,0,26,False
3,1,1,0,26,False
3,1,0,0,19,False
2,1,1,0,22,False
3,1,0,1,25,False
2,0,1,0,31,False
2,1,0,0,36,False
2,0,0,0,100,False
2,0,0,0,40,False
1,1,1,0,48,False
2,0,0,0,33,False
3,1,1,0,27,False
3,1,0,0,22,False
2,1,1,0,20,False
2,0,1,0,22,False
3,1,1,0,24,False
1,1,1,0,18,False
3,1,1,0,21,False
3,1,2,0,20,False
2,0,1,0,26,False
1,0,1,0,24,False
2,0,0,0,27,False
1,0,0,0,16,False
2,1,0,0,22,False
1,1,2,0,22,False
1,1,1,0,27,False
3,1,1,0,20,False
3,1,1,0,17,False
2,0,1,0,19,False
2,1,1,0,18,False
2,1,1,0,17,False
3,1,2,0,19,False
2,1,1,0,18,False
1,1,0,0,17,False
1,1,0,0,15,False
1,1,2,0,14,False
2,1,2,0,14,False
2,4,2,0,15,False
3,2,0,0,11,False
3,4,2,0,16,False
2,7,1,0,18,False
2,2,1,0,17,False
1,5,1,0,12,False
2,2,1,0,16,False
1,3,1,0,17,False
1,1,0,0,15,False
2,2,1,0,16,False
1,3,1,0,17,False
1,2,0,0,19,False
1,4,1,0,15,False
2,4,1,0,15,False
2,4,1,0,15,False
1,3,0,0,18,False
1,3,1,0,15,False
2,3,0,0,16,False
1,2,0,0,19,False
1,2,1,0,15,False
1,4,0,0,19,False
1,2,0,0,19,False
1,2,0,0,15,False
1,4,1,0,16,False
0,3,1,0,17,False
1,2,0,0,15,False
2,3,0,0,25,False
2,2,0,0,46,False
1,1,1,0,20,False
2,0,0,0,13,False
2,0,0,0,13,False
2,3,0,0,16,False
1,2,1,0,28,False
1,1,0,0,26,False
2,1,0,0,19,False
2,1,1,0,16,True
