Andrew Mwenda,Theo Jansen,Steven Pinker,Deborah Scranton,Iraola,isPartial
0,7,34,0,11,False
0,7,47,0,22,False
0,13,48,0,14,False
0,14,47,0,14,False
0,10,45,0,14,False
0,12,24,0,12,False
0,6,28,0,13,False
0,14,16,6,23,False
5,5,34,0,13,False
0,9,48,0,11,False
0,11,35,0,6,False
5,10,27,0,8,False
0,11,38,0,11,False
0,10,41,5,14,False
4,8,29,0,11,False
0,7,28,0,13,False
0,8,22,0,9,False
0,9,26,0,13,False
5,11,20,0,12,False
16,9,27,4,8,False
4,17,22,0,14,False
3,20,29,3,13,False
0,15,30,0,10,False
0,5,27,0,13,False
0,12,27,0,9,False
0,8,24,3,10,False
3,13,26,0,17,False
3,6,36,3,10,False
0,14,16,4,16,False
3,14,22,5,17,False
3,12,17,0,16,False
5,20,15,0,10,False
2,16,26,0,11,False
2,15,17,2,10,False
2,19,23,2,12,False
2,17,25,0,12,False
2,14,32,4,10,False
0,10,28,2,12,False
2,17,20,2,13,False
0,38,18,2,12,False
2,21,20,2,15,False
2,37,23,2,12,False
2,30,16,0,13,False
3,16,20,0,12,False
1,38,33,1,15,False
4,55,48,1,10,False
2,35,30,1,12,False
2,24,32,1,12,False
2,30,40,1,11,False
2,27,25,0,10,False
2,42,31,1,12,False
1,24,24,1,13,False
3,30,22,0,14,False
3,23,21,0,9,False
2,25,17,1,8,False
2,28,24,2,16,False
2,24,22,0,17,False
2,25,27,1,15,False
1,24,38,0,17,False
1,23,23,0,15,False
1,27,29,1,13,False
2,21,33,1,13,False
2,27,23,0,13,False
1,25,20,0,16,False
1,23,22,0,14,False
2,21,22,0,15,False
2,16,19,0,14,False
1,19,18,1,16,False
1,22,23,1,19,False
1,21,24,0,15,False
2,32,34,1,18,False
1,19,22,0,17,False
1,21,18,1,17,False
1,21,19,1,11,False
1,19,20,1,14,False
3,27,21,1,13,False
1,23,23,0,12,False
1,21,16,0,15,False
1,15,14,0,10,False
2,19,18,0,12,False
1,30,20,1,13,False
1,21,19,0,16,False
2,31,26,0,22,False
1,18,16,0,17,False
1,23,16,0,15,False
2,28,18,0,21,False
1,22,21,0,20,False
1,30,18,0,17,False
1,44,18,1,19,False
1,24,15,0,16,False
1,20,13,0,12,False
1,18,16,0,18,False
2,36,23,0,18,False
1,30,50,0,15,False
1,27,41,0,13,False
1,18,34,0,11,False
1,23,30,0,14,False
1,19,23,1,16,False
2,21,32,0,24,False
1,15,25,0,15,False
2,13,22,0,24,False
1,12,19,0,11,False
1,11,17,1,12,False
0,18,18,0,12,False
2,14,21,0,13,False
1,14,27,1,11,False
1,15,24,0,12,False
1,13,24,0,13,False
1,22,22,0,12,False
1,12,21,0,12,False
1,10,22,0,10,False
1,12,21,0,11,False
1,9,23,0,11,False
1,11,21,0,11,False
0,11,22,0,11,False
1,10,26,0,13,False
1,12,24,0,13,False
1,12,24,0,12,False
1,19,23,0,12,False
1,21,20,0,12,False
2,11,19,0,12,False
2,9,25,1,14,False
1,18,23,0,13,False
1,15,22,0,11,False
1,16,19,0,13,False
1,13,17,0,11,False
1,13,16,1,12,False
1,15,19,0,16,False
1,11,30,0,18,False
1,11,29,0,13,False
1,12,26,0,14,False
1,13,24,0,11,False
1,9,24,0,12,False
1,14,24,0,13,False
1,10,23,0,17,False
1,12,21,0,22,False
1,9,22,0,47,False
1,9,18,0,22,False
2,8,15,0,24,False
2,13,18,0,18,False
1,11,21,0,13,False
1,24,21,0,12,False
1,16,22,0,12,False
1,12,25,0,11,False
0,16,21,0,12,False
2,11,21,0,9,False
1,12,18,0,11,False
1,18,18,0,9,False
1,10,17,0,14,False
1,9,14,0,13,False
0,6,15,0,13,False
1,10,15,0,9,False
0,9,16,0,10,False
0,7,15,0,14,False
1,9,19,0,15,False
1,8,19,0,13,False
0,9,19,0,8,False
1,8,19,0,9,False
1,5,17,0,9,False
1,7,18,0,9,False
0,11,34,0,10,False
0,8,18,0,9,False
0,7,17,0,8,False
1,8,20,0,9,False
1,7,21,0,8,False
1,9,24,0,9,False
1,8,18,0,8,False
1,6,21,0,6,False
0,7,37,0,8,False
1,6,100,0,9,False
1,8,65,0,8,False
1,17,44,0,7,False
1,14,42,0,9,False
1,12,32,0,8,False
1,7,30,0,8,False
1,18,39,0,9,False
1,9,35,0,10,False
1,7,39,0,10,False
1,7,44,0,10,False
1,5,41,0,9,False
1,8,39,0,8,False
0,12,32,0,9,False
1,8,32,0,7,False
0,9,27,0,8,False
0,7,28,0,8,False
1,5,24,0,8,False
1,7,24,0,11,False
1,5,32,0,9,False
1,6,34,0,9,False
1,6,34,0,8,False
1,6,28,0,9,False
0,4,29,0,8,False
0,7,26,0,13,False
1,7,24,0,25,False
1,5,23,0,10,False
1,5,27,0,8,False
1,7,24,0,8,False
1,4,26,0,7,False
1,13,61,0,16,False
3,9,26,0,14,False
1,8,25,0,10,False
0,7,18,0,9,True
