Jeremy Howard,Carol Dweck,Bruno Torturra,Mundano,Iraola,isPartial
29,0,0,0,15,False
43,0,0,0,44,False
18,0,0,18,18,False
28,14,0,14,42,False
48,12,0,0,30,False
42,0,0,36,42,False
13,38,0,19,25,False
23,12,0,12,58,False
11,0,11,11,32,False
22,0,0,0,11,False
11,11,0,0,11,False
20,10,0,15,36,False
9,0,0,9,22,False
23,0,9,9,23,False
28,0,0,8,12,False
35,0,0,18,18,False
12,8,0,8,23,False
27,0,8,16,16,False
24,0,0,32,20,False
15,8,0,8,8,False
14,0,0,10,28,False
23,10,0,13,39,False
10,13,0,26,39,False
29,0,0,6,22,False
14,6,6,22,14,False
12,0,0,11,20,False
17,5,0,15,40,False
5,0,0,11,19,False
15,10,0,15,32,False
20,0,0,0,21,False
15,0,0,5,28,False
24,5,0,9,21,False
9,9,0,18,18,False
8,0,0,21,16,False
20,0,4,10,24,False
8,4,0,15,39,False
11,7,4,7,29,False
15,17,0,13,38,False
18,10,0,5,35,False
7,14,3,14,17,False
10,12,3,10,24,False
15,8,3,14,25,False
12,9,0,9,12,False
14,6,0,14,23,False
14,11,0,14,28,False
14,5,0,20,33,False
6,9,0,22,17,False
8,11,0,24,29,False
18,6,0,10,22,False
11,8,0,14,30,False
14,8,2,14,23,False
13,9,0,29,36,False
12,12,2,24,26,False
16,7,0,16,18,False
18,4,0,19,22,False
10,7,3,24,41,False
9,8,0,22,35,False
7,9,0,23,33,False
10,7,2,18,31,False
16,6,2,20,31,False
8,9,0,20,29,False
10,9,2,12,30,False
12,10,0,19,29,False
7,9,0,21,31,False
14,6,2,30,32,False
13,6,0,19,23,False
15,6,0,20,27,False
13,3,0,17,29,False
10,11,0,22,39,False
16,13,0,21,36,False
10,8,0,18,33,False
10,9,0,14,33,False
15,8,1,12,39,False
6,10,0,16,24,False
9,14,0,22,21,False
19,8,0,15,28,False
11,19,0,22,30,False
6,13,0,25,28,False
10,6,0,22,18,False
8,10,0,27,26,False
11,9,0,26,31,False
9,12,0,29,32,False
9,9,0,23,41,False
9,11,0,17,31,False
11,11,1,22,26,False
9,13,2,17,31,False
9,16,0,21,36,False
8,14,1,28,28,False
11,14,1,23,33,False
16,11,2,22,28,False
9,10,0,19,25,False
14,11,1,28,33,False
8,13,1,23,32,False
6,15,0,35,25,False
10,15,2,20,28,False
13,11,0,20,25,False
12,12,0,22,22,False
31,14,0,23,27,False
29,17,0,23,52,False
19,10,0,21,28,False
19,13,0,23,37,False
16,11,0,23,26,False
91,15,0,23,24,False
24,17,1,17,23,False
14,18,1,25,23,False
13,19,0,18,23,False
15,18,1,22,21,False
18,17,2,20,24,False
19,16,0,18,28,False
9,19,2,22,29,False
41,20,0,26,20,False
31,18,0,24,24,False
28,20,0,22,23,False
22,12,4,23,24,False
58,17,0,29,22,False
20,22,10,29,23,False
19,26,2,32,24,False
21,25,1,24,24,False
22,26,2,30,25,False
23,15,2,25,26,False
23,25,1,24,22,False
26,27,1,30,24,False
29,25,1,30,27,False
27,27,1,28,20,False
23,26,1,27,20,False
18,30,1,25,21,False
27,27,0,23,22,False
35,29,2,25,30,False
16,41,1,22,33,False
23,36,2,24,28,False
22,31,1,24,29,False
41,34,1,22,19,False
31,48,2,24,22,False
26,36,1,24,27,False
20,40,1,26,33,False
20,36,1,26,36,False
19,38,0,21,100,False
18,37,0,26,40,False
17,41,0,28,49,False
13,38,2,28,35,False
20,56,1,30,28,False
13,50,0,25,23,False
12,41,2,24,19,False
20,42,0,25,19,False
13,51,0,21,24,False
13,48,1,26,19,False
16,40,0,28,22,False
16,37,2,29,20,False
13,46,1,23,24,False
21,41,0,24,25,False
19,33,1,21,27,False
10,42,0,25,16,False
31,62,1,24,22,False
24,48,0,22,24,False
18,45,0,22,29,False
14,31,1,24,19,False
22,42,0,24,19,False
13,43,0,21,21,False
10,43,0,25,21,False
13,40,0,28,19,False
14,38,0,24,17,False
15,39,0,22,19,False
15,33,0,22,17,False
17,49,0,21,14,False
15,51,0,24,15,False
12,57,0,21,14,False
11,48,0,20,15,False
14,37,0,17,12,False
13,51,0,19,16,False
13,45,0,22,20,False
10,46,1,20,17,False
10,41,0,23,14,False
10,43,0,27,18,False
13,39,0,23,16,False
11,31,0,20,17,False
9,39,0,24,17,False
9,49,0,23,17,False
10,48,2,25,19,False
14,45,1,22,16,False
10,34,0,20,17,False
12,39,1,21,15,False
10,45,0,20,17,False
12,47,1,25,15,False
9,45,1,21,15,False
9,40,0,21,21,False
10,41,1,21,15,False
12,37,0,21,19,False
13,45,0,23,18,False
12,48,1,20,16,False
11,46,0,20,16,False
11,37,1,22,17,False
11,31,1,21,17,False
9,44,0,20,25,False
9,48,1,24,50,False
12,35,1,25,21,False
17,37,2,26,13,False
10,38,2,28,12,False
9,34,2,24,18,False
11,36,2,24,31,False
11,42,2,27,26,False
12,48,2,23,19,False
8,39,0,23,16,True
