Nadia Al-Sakkaf,Mikko Hypponen,Thandie Newton,Kevin Slavin,Iraola,isPartial
0,3,47,0,3,False
0,0,50,0,8,False
0,0,40,0,3,False
0,3,35,0,8,False
0,0,67,0,5,False
0,0,81,0,8,False
0,2,41,0,5,False
0,0,57,2,11,False
0,2,53,2,6,False
0,0,43,0,2,False
0,0,41,0,2,False
0,2,47,0,6,False
0,0,44,2,4,False
0,0,19,0,4,False
0,0,38,0,2,False
0,2,44,0,3,False
0,0,60,1,4,False
0,0,28,1,3,False
0,0,28,0,4,False
0,0,56,0,1,False
0,0,44,0,5,False
0,1,34,0,7,False
0,1,38,0,7,False
0,0,57,0,4,False
0,0,100,0,3,False
0,1,80,0,4,False
0,0,50,0,7,False
0,0,57,0,3,False
0,0,63,0,6,False
0,0,26,1,4,False
0,0,41,0,5,False
0,0,28,0,4,False
0,1,23,1,3,False
0,1,31,0,3,False
0,0,21,0,4,False
0,1,39,1,7,False
0,0,45,0,5,False
0,0,54,0,7,False
0,0,79,1,6,False
0,0,30,1,3,False
0,0,25,1,4,False
0,1,55,0,4,False
0,1,42,1,2,False
0,0,43,1,4,False
0,1,46,0,5,False
0,0,34,1,6,False
0,0,33,1,3,False
0,0,25,0,5,False
0,0,33,0,4,False
0,0,37,0,5,False
0,0,49,0,4,False
0,0,49,1,7,False
0,0,38,1,5,False
0,0,34,0,3,False
0,0,31,0,4,False
0,0,38,0,8,False
0,0,58,1,6,False
0,0,59,0,6,False
0,0,47,1,6,False
0,0,49,0,6,False
0,0,55,0,5,False
0,0,42,0,5,False
0,0,33,0,5,False
0,0,44,0,6,False
0,0,38,1,6,False
0,0,38,0,4,False
0,0,38,0,5,False
0,0,34,0,5,False
0,0,24,1,7,False
0,0,26,0,7,False
0,0,66,1,6,False
0,0,50,1,6,False
0,0,42,0,7,False
0,0,39,0,4,False
0,0,39,0,4,False
0,0,42,0,5,False
0,0,41,0,5,False
0,0,44,0,5,False
0,0,35,0,3,False
0,0,39,0,5,False
0,0,30,0,6,False
0,0,32,0,6,False
0,0,43,0,7,False
0,0,36,0,6,False
0,0,43,0,5,False
0,0,29,0,6,False
0,0,31,0,6,False
0,0,26,0,5,False
0,0,29,0,6,False
0,0,32,1,5,False
0,2,47,4,4,False
0,1,34,4,6,False
0,1,31,2,6,False
0,1,34,1,4,False
0,0,30,1,5,False
0,0,52,1,5,False
0,1,45,1,4,False
0,1,42,1,5,False
0,1,35,1,9,False
0,1,29,1,5,False
0,1,29,0,7,False
0,1,40,1,5,False
0,1,32,1,4,False
0,0,33,0,4,False
0,0,25,1,4,False
0,0,25,0,4,False
0,0,25,0,4,False
0,0,33,1,4,False
0,0,28,0,5,False
0,0,49,1,5,False
0,0,34,1,4,False
0,1,59,0,4,False
0,1,42,1,4,False
0,0,31,0,4,False
0,0,30,0,4,False
0,0,31,0,4,False
0,0,36,1,4,False
0,0,22,0,4,False
0,2,24,0,5,False
0,1,32,0,5,False
0,1,32,0,4,False
0,1,23,1,4,False
0,1,28,0,5,False
0,1,29,0,4,False
0,1,36,0,4,False
0,1,26,0,4,False
0,0,27,0,4,False
0,0,28,0,5,False
0,1,25,0,6,False
0,0,20,0,5,False
0,0,22,0,5,False
0,1,29,0,4,False
0,0,26,0,4,False
0,0,29,0,5,False
0,0,24,0,6,False
0,0,21,0,7,False
0,0,25,0,18,False
0,0,22,0,7,False
0,1,32,0,9,False
0,0,39,0,6,False
0,0,22,0,5,False
0,0,18,0,4,False
0,0,18,0,4,False
0,0,21,0,3,False
0,0,28,0,4,False
0,0,18,0,3,False
0,0,17,0,4,False
0,0,15,0,4,False
0,0,16,0,4,False
0,1,19,0,5,False
0,0,28,0,5,False
0,0,20,0,3,False
0,0,17,0,4,False
0,0,55,0,4,False
0,0,94,0,5,False
0,0,65,0,3,False
0,0,44,0,4,False
0,0,37,0,4,False
0,0,39,0,4,False
0,0,54,0,3,False
0,0,31,0,3,False
0,0,24,0,4,False
0,0,27,0,3,False
0,0,24,0,3,False
0,0,24,0,3,False
0,0,19,0,3,False
0,1,24,0,3,False
0,0,21,0,2,False
0,0,22,0,3,False
0,0,24,0,4,False
0,0,24,0,3,False
0,0,51,0,3,False
0,0,84,0,3,False
0,0,54,0,3,False
0,0,44,0,3,False
0,0,31,0,3,False
0,0,59,0,3,False
0,0,24,0,3,False
0,0,19,0,3,False
0,0,26,0,3,False
0,0,29,0,3,False
0,0,22,0,3,False
0,0,34,0,3,False
0,0,31,0,3,False
0,0,26,0,4,False
0,0,22,0,3,False
0,0,22,0,4,False
0,0,20,0,3,False
0,0,15,0,3,False
0,0,20,0,3,False
0,0,18,0,3,False
0,0,17,0,3,False
0,0,19,0,5,False
0,0,18,0,9,False
0,0,47,0,4,False
0,0,46,0,2,False
0,0,47,0,2,False
0,0,25,0,3,False
0,0,86,0,6,False
0,0,29,0,5,False
0,0,21,0,3,False
0,0,18,0,3,True
