Ken Robinson,Al Gore,David Pogue,Majora Carter,Iraola,isPartial
1,17,1,0,1,False
1,16,0,0,1,False
0,10,0,0,1,False
1,12,1,0,1,False
0,32,0,0,0,False
1,24,1,0,1,False
0,15,0,0,1,False
1,13,0,0,1,False
0,17,1,0,1,False
1,24,1,0,1,False
0,22,1,0,0,False
1,9,1,0,0,False
0,7,0,0,1,False
1,6,1,0,1,False
0,6,0,0,0,False
0,9,1,0,0,False
1,8,1,0,1,False
1,7,1,0,1,False
1,7,1,0,1,False
1,13,1,0,0,False
1,10,1,1,1,False
1,12,1,0,1,False
1,8,1,0,1,False
0,7,1,0,1,False
0,22,1,0,1,False
0,18,0,0,1,False
1,10,1,0,1,False
0,21,1,0,1,False
0,42,0,0,1,False
0,57,1,0,1,False
1,37,1,0,1,False
1,29,1,0,1,False
1,40,1,0,0,False
0,46,1,0,0,False
1,46,1,0,1,False
1,50,2,0,1,False
1,58,2,0,1,False
1,97,2,0,1,False
1,87,1,0,1,False
1,60,1,0,1,False
1,60,1,0,1,False
1,47,3,0,1,False
1,67,2,0,1,False
1,30,2,0,1,False
1,35,2,0,1,False
1,100,2,0,1,False
1,45,1,0,1,False
1,43,2,0,1,False
1,37,1,0,1,False
1,33,1,0,1,False
1,35,1,0,1,False
1,38,1,1,1,False
1,30,1,0,1,False
1,30,1,0,0,False
1,26,2,0,0,False
1,22,1,0,1,False
1,23,1,0,1,False
1,27,1,0,1,False
2,28,1,0,1,False
1,19,2,0,1,False
2,20,1,0,1,False
2,18,1,0,1,False
2,18,1,1,1,False
2,18,1,1,1,False
2,17,1,0,1,False
2,14,1,0,1,False
2,12,1,0,1,False
2,13,2,0,1,False
2,15,2,0,1,False
2,22,1,0,1,False
2,28,1,0,1,False
2,27,1,0,1,False
2,17,1,0,1,False
2,17,1,1,1,False
2,15,1,0,1,False
2,14,2,0,1,False
3,13,0,0,1,False
3,76,1,0,1,False
2,22,1,0,0,False
2,9,1,0,1,False
3,11,1,0,1,False
4,12,1,0,1,False
5,12,1,0,1,False
4,10,1,0,1,False
4,10,1,0,1,False
4,12,1,0,1,False
5,10,1,0,1,False
4,9,1,0,1,False
4,12,1,0,1,False
3,10,1,0,1,False
3,7,1,0,1,False
3,12,0,0,1,False
4,14,1,0,1,False
4,10,1,0,1,False
5,9,1,0,1,False
3,8,1,0,1,False
4,9,0,0,1,False
4,8,1,0,1,False
4,9,1,0,1,False
4,8,1,0,1,False
4,9,0,0,1,False
3,7,1,0,1,False
3,8,1,0,1,False
3,8,1,0,1,False
4,10,1,0,1,False
3,14,1,0,1,False
3,15,1,0,1,False
3,6,1,0,1,False
3,16,0,0,1,False
4,11,0,0,1,False
4,8,0,0,0,False
3,7,0,0,1,False
5,8,1,0,1,False
4,6,1,0,1,False
3,4,0,0,0,False
3,6,1,0,1,False
4,7,1,0,1,False
4,8,1,0,1,False
5,8,1,0,1,False
3,6,1,0,1,False
4,7,1,0,1,False
3,6,0,0,1,False
4,13,0,0,1,False
4,9,0,0,1,False
3,7,0,0,1,False
3,7,0,0,1,False
2,6,0,0,1,False
3,6,0,0,1,False
3,7,1,0,1,False
4,6,0,0,1,False
3,6,0,0,1,False
2,5,0,0,1,False
3,6,0,0,1,False
3,7,0,0,1,False
3,7,0,0,1,False
3,7,0,0,1,False
3,6,0,0,3,False
2,5,0,0,1,False
2,5,0,0,1,False
2,9,0,0,1,False
3,6,0,0,1,False
3,7,0,0,1,False
2,7,0,0,1,False
2,7,0,0,0,False
2,8,0,0,1,False
2,7,0,0,0,False
2,7,0,0,1,False
4,7,0,0,0,False
2,6,0,0,1,False
2,5,0,0,1,False
2,7,0,0,1,False
1,5,0,0,1,False
2,7,0,0,0,False
2,16,0,0,1,False
2,18,0,0,1,False
1,10,0,0,1,False
2,7,0,0,0,False
2,6,0,0,1,False
2,6,0,0,0,False
2,6,0,0,1,False
2,6,0,0,1,False
1,9,0,0,0,False
1,10,0,0,0,False
1,18,0,0,0,False
2,8,0,0,0,False
2,7,0,0,0,False
2,7,0,0,0,False
1,5,0,0,0,False
1,6,0,0,0,False
2,5,0,0,0,False
2,5,0,0,0,False
2,6,0,0,0,False
2,5,0,0,0,False
1,4,0,0,0,False
1,4,0,0,0,False
1,5,0,0,0,False
1,6,0,0,1,False
1,5,0,0,0,False
1,10,0,0,1,False
1,8,0,0,0,False
1,6,0,0,0,False
1,6,0,0,0,False
1,6,0,0,0,False
1,5,0,0,0,False
1,5,0,0,0,False
1,5,0,0,0,False
1,4,0,0,1,False
1,5,0,0,0,False
1,7,0,0,0,False
1,5,0,0,0,False
1,5,0,0,0,False
1,5,0,0,0,False
1,5,0,0,1,False
1,5,0,0,1,False
1,5,0,0,1,False
1,7,0,0,0,False
1,6,0,0,0,False
1,4,0,0,0,False
1,4,0,0,1,False
6,7,0,0,1,False
2,6,0,0,1,False
1,8,0,0,0,True
