Caroline Phillips,Christien Meindertsma,Mitchell Besser,Annie Lennox,Iraola,isPartial
1,0,1,35,1,False
1,0,0,36,2,False
2,0,0,52,1,False
1,0,0,25,2,False
1,0,0,23,1,False
1,0,0,27,2,False
1,1,0,32,1,False
1,0,0,24,2,False
0,0,0,31,1,False
0,0,0,27,1,False
1,0,0,17,1,False
0,0,0,21,2,False
0,0,0,23,1,False
1,0,0,19,1,False
0,0,0,16,1,False
0,0,0,18,1,False
1,0,0,14,1,False
1,0,0,16,1,False
0,0,0,33,1,False
0,0,0,18,1,False
0,0,0,19,1,False
0,0,0,19,2,False
1,0,0,27,1,False
1,0,0,23,1,False
0,0,0,19,1,False
0,0,0,17,1,False
0,0,0,16,2,False
0,0,0,13,1,False
0,0,0,13,1,False
1,0,0,12,1,False
0,0,0,16,1,False
0,0,0,16,1,False
0,0,0,15,1,False
0,0,0,15,1,False
0,0,0,14,1,False
0,0,0,15,2,False
0,0,0,15,1,False
0,0,0,14,1,False
0,0,0,13,2,False
0,0,0,22,1,False
0,0,0,15,1,False
0,0,0,14,1,False
0,0,0,16,1,False
0,0,0,19,1,False
0,0,0,33,1,False
0,0,0,45,1,False
0,0,0,27,1,False
0,0,0,20,1,False
0,0,0,17,1,False
0,0,0,14,1,False
0,0,0,15,1,False
0,0,0,24,2,False
0,0,0,14,1,False
1,0,0,14,1,False
0,0,0,14,1,False
0,0,0,17,2,False
0,0,0,14,2,False
0,0,0,11,1,False
0,0,0,20,1,False
0,0,0,15,1,False
0,0,0,17,1,False
0,0,0,29,1,False
0,0,0,34,1,False
0,0,0,20,1,False
0,0,0,20,1,False
0,0,0,14,1,False
0,0,0,14,1,False
0,0,0,15,1,False
0,0,0,14,2,False
0,0,0,15,2,False
0,0,0,21,2,False
0,0,0,18,2,False
0,0,0,14,2,False
0,0,0,13,1,False
0,0,0,15,1,False
0,0,0,25,1,False
0,0,0,14,1,False
0,0,0,15,1,False
0,0,0,15,1,False
0,0,0,16,1,False
0,0,0,13,2,False
0,0,0,15,2,False
0,0,0,32,2,False
0,0,0,42,1,False
0,0,0,17,1,False
0,0,0,16,2,False
0,0,0,18,2,False
0,0,0,13,1,False
0,0,0,11,2,False
0,0,0,13,1,False
0,0,0,12,1,False
0,0,0,14,2,False
0,0,0,13,2,False
0,0,0,13,1,False
0,0,0,14,1,False
0,0,0,16,1,False
0,0,0,12,1,False
0,0,0,12,1,False
0,0,0,13,3,False
0,0,0,11,1,False
0,0,0,10,2,False
0,0,0,25,1,False
0,0,0,13,1,False
0,0,0,42,1,False
0,0,0,18,1,False
0,0,0,11,1,False
0,0,0,11,1,False
0,0,0,13,1,False
0,0,0,11,1,False
0,0,0,11,1,False
0,0,0,11,1,False
0,0,0,10,1,False
0,0,0,10,1,False
0,0,0,11,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,10,1,False
0,0,0,11,1,False
0,0,0,12,1,False
0,0,0,12,1,False
0,0,0,11,1,False
0,0,0,23,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,12,1,False
0,0,0,22,1,False
0,0,0,30,1,False
0,0,0,16,1,False
0,0,0,11,1,False
0,0,0,100,1,False
0,0,0,21,1,False
0,0,0,18,2,False
0,0,0,12,5,False
0,0,0,12,2,False
0,0,0,11,2,False
0,0,0,20,2,False
0,0,0,10,1,False
0,0,0,11,1,False
0,0,0,10,1,False
0,0,0,13,1,False
0,0,0,15,1,False
0,0,0,15,1,False
0,0,0,10,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,11,1,False
0,0,0,10,1,False
0,0,0,8,1,False
0,0,0,10,1,False
0,0,0,11,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,13,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,7,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,14,1,False
0,0,0,9,1,False
0,0,0,9,2,False
0,0,0,8,1,False
0,0,0,14,1,False
0,0,0,11,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,10,1,False
0,0,0,8,1,False
0,0,0,8,1,True
