Jody Williams,Amber Case,Thomas Thwaites,Elizabeth Lesser,Iraola,isPartial
22,0,0,0,15,False
44,29,0,0,44,False
18,18,18,18,18,False
14,14,0,14,42,False
54,12,0,12,30,False
24,12,0,0,42,False
31,0,0,0,25,False
23,17,0,0,58,False
32,11,0,0,32,False
22,11,0,0,11,False
60,0,0,0,11,False
15,15,0,10,36,False
18,9,0,9,22,False
23,9,9,0,23,False
24,31,8,0,12,False
26,9,0,0,18,False
27,8,0,8,23,False
16,8,0,0,16,False
8,8,0,8,20,False
11,8,0,8,8,False
21,7,0,0,28,False
16,20,0,0,39,False
19,13,0,0,39,False
22,0,0,6,22,False
17,0,0,0,14,False
11,6,0,0,20,False
17,10,0,5,40,False
13,5,0,0,19,False
15,7,0,10,32,False
10,5,0,0,21,False
10,10,0,5,28,False
5,9,0,0,21,False
18,13,0,0,18,False
6,6,0,0,16,False
18,4,0,4,24,False
8,12,0,0,39,False
20,11,0,0,29,False
21,4,0,4,38,False
33,5,0,3,35,False
5,5,0,3,17,False
7,4,0,3,24,False
20,6,0,0,25,False
9,0,3,5,12,False
9,3,0,0,23,False
18,11,3,0,28,False
24,8,3,5,33,False
21,4,0,2,17,False
41,5,0,3,29,False
24,5,2,2,22,False
20,4,0,4,30,False
18,3,0,7,23,False
15,9,2,14,36,False
22,9,0,5,26,False
18,11,0,9,18,False
14,3,0,8,22,False
12,4,2,4,41,False
23,7,0,4,35,False
25,6,2,7,33,False
19,9,0,5,31,False
16,9,0,8,31,False
18,9,0,42,29,False
17,10,2,11,30,False
13,10,0,14,29,False
17,8,0,10,31,False
14,7,0,6,32,False
10,8,2,8,23,False
10,9,3,9,27,False
10,6,0,6,29,False
13,13,0,4,39,False
15,6,0,10,36,False
6,13,0,7,33,False
18,8,0,6,33,False
9,8,0,4,39,False
10,7,0,4,24,False
12,15,0,2,21,False
12,4,1,2,28,False
9,9,0,3,30,False
8,5,1,4,28,False
14,9,1,4,18,False
18,9,1,4,26,False
5,9,0,3,31,False
12,13,0,3,32,False
11,10,2,4,41,False
13,9,1,4,31,False
15,14,4,5,26,False
13,11,4,7,31,False
19,8,2,5,36,False
10,9,2,4,28,False
8,11,1,2,33,False
8,8,1,2,28,False
10,10,1,1,25,False
8,6,2,4,33,False
10,14,1,3,32,False
12,21,2,2,25,False
13,13,7,4,28,False
7,16,1,3,25,False
9,10,1,2,22,False
12,12,0,5,27,False
12,18,3,2,52,False
8,14,1,4,28,False
8,8,1,3,37,False
8,14,1,3,26,False
12,10,1,3,24,False
9,10,1,3,23,False
9,12,1,4,23,False
10,15,2,3,23,False
5,9,0,2,21,False
7,15,1,4,24,False
8,18,1,2,28,False
8,18,0,2,29,False
16,13,1,4,20,False
10,12,0,4,24,False
9,11,0,4,23,False
7,9,1,4,24,False
6,11,1,2,22,False
11,18,1,3,23,False
5,11,2,3,24,False
7,11,1,3,24,False
8,10,2,5,25,False
9,12,1,2,26,False
8,14,1,2,22,False
7,15,1,2,24,False
7,9,1,2,27,False
9,10,2,9,20,False
7,7,1,2,20,False
7,11,1,3,21,False
12,10,1,5,22,False
8,10,3,2,30,False
8,9,2,3,33,False
11,18,1,2,28,False
12,8,1,3,29,False
6,10,1,2,19,False
6,8,2,4,22,False
14,13,2,3,27,False
11,9,1,5,33,False
10,9,1,3,36,False
6,10,1,5,100,False
4,11,3,2,40,False
6,7,1,2,49,False
7,7,6,1,35,False
7,14,7,3,28,False
5,7,4,3,23,False
6,7,2,2,19,False
4,15,1,1,19,False
7,11,1,2,24,False
6,10,4,3,19,False
7,10,3,2,22,False
9,13,2,2,20,False
4,11,7,3,24,False
5,12,4,1,25,False
8,8,2,3,27,False
5,8,4,1,16,False
8,11,8,5,22,False
7,9,3,9,24,False
3,16,1,3,29,False
6,10,2,4,19,False
7,10,3,4,19,False
6,12,1,3,21,False
6,11,2,2,21,False
6,13,1,1,19,False
5,12,1,2,17,False
4,12,3,1,19,False
5,11,1,2,17,False
4,10,3,4,14,False
6,10,1,3,15,False
4,10,3,1,14,False
5,14,1,2,15,False
5,17,1,2,12,False
4,11,1,2,16,False
3,11,1,2,20,False
7,7,1,3,17,False
7,9,1,3,14,False
4,8,1,1,18,False
5,10,1,2,16,False
4,9,3,5,17,False
4,6,2,2,17,False
7,12,1,2,17,False
4,10,2,2,19,False
4,9,2,2,16,False
3,10,1,2,17,False
4,9,1,4,15,False
4,9,1,4,17,False
6,14,1,1,15,False
12,11,0,2,15,False
6,12,1,2,21,False
8,8,2,1,15,False
4,15,1,2,19,False
3,14,1,2,18,False
5,31,2,3,16,False
3,83,1,2,16,False
4,15,1,3,17,False
4,14,1,1,17,False
4,13,1,1,25,False
6,21,2,2,50,False
3,12,1,1,21,False
4,16,2,2,13,False
3,15,0,2,12,False
2,17,1,1,18,False
2,36,2,1,31,False
3,30,0,2,26,False
4,25,1,2,19,False
3,21,1,3,16,True
