Rupal Patel,Yann Dall'Aglio,Molly Stevens,Roselinde Torres,Iraola,isPartial
14,0,14,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
13,0,27,0,31,False
12,0,0,0,27,False
11,0,12,0,35,False
0,0,24,0,28,False
11,0,17,0,39,False
21,0,10,0,31,False
0,0,14,0,21,False
11,0,11,0,14,False
0,0,0,0,33,False
13,0,9,0,26,False
9,0,9,0,23,False
11,0,8,0,18,False
0,0,9,0,17,False
7,0,22,0,17,False
8,0,7,0,15,False
12,0,0,0,15,False
7,0,15,0,15,False
7,0,0,0,29,False
6,0,6,0,31,False
0,0,13,0,27,False
6,0,6,0,23,False
11,0,16,0,16,False
6,0,11,0,20,False
5,0,10,0,38,False
8,0,5,0,19,False
5,0,5,0,25,False
0,0,5,0,26,False
5,0,5,0,29,False
0,0,9,0,24,False
0,0,7,0,20,False
4,0,10,0,20,False
4,0,4,0,21,False
12,0,10,0,32,False
0,0,5,0,23,False
4,0,9,0,30,False
5,0,6,0,34,False
3,0,3,0,21,False
5,0,5,0,22,False
3,0,4,0,28,False
3,0,4,0,16,False
6,0,0,0,21,False
5,0,7,0,30,False
0,0,4,0,27,False
2,0,3,0,16,False
5,0,4,0,26,False
2,0,10,0,22,False
2,0,5,0,27,False
2,0,4,0,26,False
2,0,4,0,32,False
5,0,4,0,29,False
2,0,3,0,18,False
2,0,6,0,21,False
2,0,4,0,34,False
3,0,5,0,33,False
3,0,5,0,29,False
2,0,6,0,28,False
4,0,5,0,27,False
3,0,5,0,28,False
2,0,6,0,29,False
3,0,5,0,23,False
3,0,7,0,29,False
2,0,5,0,28,False
2,0,4,0,23,False
3,0,4,2,25,False
5,0,4,0,26,False
2,0,3,0,37,False
1,0,5,0,32,False
1,0,4,0,32,False
3,0,9,0,32,False
2,0,5,0,35,False
3,0,3,0,23,False
1,0,4,0,25,False
2,0,3,0,26,False
5,0,2,0,26,False
1,0,3,0,27,False
3,0,5,0,18,False
3,0,3,0,23,False
5,0,5,0,33,False
3,0,4,0,33,False
2,0,5,0,41,False
2,0,2,0,29,False
3,0,3,0,26,False
3,0,4,0,31,False
3,0,5,0,39,False
4,0,4,0,29,False
6,0,2,1,31,False
5,0,3,0,28,False
4,0,2,0,24,False
5,0,2,0,34,False
3,0,4,0,32,False
3,0,5,1,25,False
4,0,19,0,27,False
4,0,8,0,23,False
5,0,6,0,24,False
3,0,6,0,25,False
6,0,6,0,55,False
4,0,8,1,27,False
8,0,7,0,39,False
9,0,4,0,26,False
5,0,4,0,24,False
5,0,5,0,24,False
3,0,5,0,25,False
3,0,6,0,25,False
4,0,7,0,20,False
6,0,7,0,24,False
3,0,6,0,25,False
3,0,5,0,25,False
3,0,4,0,21,False
8,0,5,0,25,False
3,0,5,0,21,False
4,0,8,0,22,False
4,0,4,0,23,False
4,0,4,0,23,False
4,0,5,0,25,False
4,0,13,0,24,False
6,0,7,0,24,False
5,0,6,0,24,False
5,0,4,0,24,False
11,0,5,5,23,False
9,0,4,4,26,False
10,0,6,3,18,False
7,0,5,2,21,False
7,0,3,1,19,False
8,0,5,1,20,False
7,0,4,1,29,False
6,0,6,1,30,False
5,0,5,1,26,False
5,0,6,1,26,False
4,0,4,1,19,False
5,0,4,1,22,False
6,0,4,1,25,False
7,0,6,1,31,False
7,0,5,1,36,False
7,0,5,1,100,False
9,0,5,1,40,False
8,0,5,1,48,False
5,0,3,1,33,False
7,0,4,1,27,False
11,0,4,1,22,False
6,0,5,1,20,False
5,0,6,1,22,False
8,0,5,1,24,False
6,0,4,1,18,False
6,0,4,1,21,False
7,0,3,2,20,False
9,0,3,2,26,False
8,0,4,1,24,False
5,0,4,1,27,False
5,0,3,2,16,False
7,0,4,0,22,False
8,0,4,1,22,False
7,0,4,1,27,False
7,0,4,1,20,False
7,0,3,1,17,False
5,0,3,1,19,False
4,0,3,1,18,False
4,0,3,1,17,False
4,0,3,1,19,False
5,0,3,0,18,False
4,0,4,0,17,False
2,0,3,1,15,False
3,0,3,1,14,False
3,0,3,1,14,False
3,0,4,2,15,False
4,0,3,1,11,False
3,0,3,1,16,False
3,0,9,1,18,False
3,0,36,1,17,False
3,0,10,0,12,False
3,0,6,1,16,False
2,0,3,1,17,False
4,0,2,1,15,False
4,0,2,1,16,False
5,0,2,1,17,False
5,0,4,1,19,False
4,0,3,1,15,False
4,0,4,1,15,False
5,0,3,1,15,False
4,0,3,1,18,False
6,0,3,1,15,False
5,0,2,1,16,False
5,0,3,0,19,False
4,0,4,1,15,False
5,0,3,0,19,False
4,0,3,1,19,False
4,0,3,1,15,False
3,0,3,1,16,False
4,0,3,1,17,False
3,0,6,1,15,False
3,0,3,0,25,False
5,0,2,1,46,False
6,0,4,1,20,False
6,0,3,0,13,False
8,0,4,0,13,False
13,0,4,0,16,False
18,0,8,1,28,False
70,0,3,0,26,False
49,0,4,0,19,False
23,0,4,2,16,True
