Mary Bassett,Ivan Coyote,Thomas Peschak,Magda Sayeg,Iraola,isPartial
42,14,0,0,28,False
21,0,0,0,37,False
17,0,0,0,17,False
13,0,0,0,31,False
0,0,0,0,27,False
11,12,0,0,35,False
0,12,0,0,28,False
11,11,0,0,39,False
21,10,0,0,31,False
0,11,0,0,21,False
11,0,0,0,14,False
0,0,10,0,33,False
13,9,0,9,26,False
9,9,0,0,23,False
23,8,0,0,18,False
8,0,0,0,17,False
7,7,0,0,17,False
15,15,0,0,15,False
8,8,0,0,15,False
7,0,0,0,15,False
7,0,0,7,29,False
6,6,0,0,31,False
6,6,0,0,27,False
12,6,0,0,23,False
0,5,0,0,16,False
6,6,0,0,20,False
8,5,0,0,38,False
10,8,0,0,19,False
5,9,0,0,25,False
10,0,5,0,26,False
15,0,0,0,29,False
14,11,0,0,24,False
7,0,0,0,20,False
8,4,4,0,20,False
10,4,0,0,21,False
10,0,0,0,32,False
12,3,0,0,23,False
4,5,0,0,30,False
5,10,0,0,34,False
3,3,0,0,21,False
3,3,0,0,22,False
9,3,0,0,28,False
4,4,0,0,16,False
7,4,0,0,21,False
3,4,3,0,30,False
3,2,0,0,27,False
4,4,0,0,16,False
4,0,3,0,26,False
4,7,2,0,22,False
5,5,0,0,27,False
4,4,2,0,26,False
4,3,2,0,32,False
2,0,2,0,29,False
4,0,5,0,18,False
6,2,0,0,21,False
9,4,0,0,34,False
8,4,0,0,33,False
5,3,3,0,29,False
5,3,2,0,28,False
7,2,2,0,27,False
8,3,2,0,28,False
8,2,0,0,29,False
4,5,0,2,23,False
3,3,2,2,29,False
5,2,2,2,28,False
3,3,2,0,23,False
2,3,2,3,25,False
5,5,0,0,26,False
5,3,0,0,37,False
5,4,2,0,32,False
4,3,1,0,32,False
5,2,1,2,32,False
7,1,1,0,35,False
3,3,0,3,23,False
4,4,0,2,25,False
4,10,1,2,26,False
3,4,1,1,26,False
3,4,1,1,27,False
6,3,0,2,18,False
3,2,2,2,23,False
3,5,2,3,33,False
4,3,1,1,33,False
3,5,1,1,41,False
5,3,2,2,29,False
3,3,1,1,26,False
4,3,2,2,31,False
3,3,2,4,39,False
4,4,1,1,29,False
4,4,1,2,31,False
4,3,1,2,28,False
4,3,1,1,24,False
4,6,7,2,34,False
3,5,2,2,32,False
3,3,1,3,25,False
4,5,2,2,27,False
2,3,2,2,23,False
4,4,1,2,24,False
2,4,1,1,25,False
4,4,1,2,55,False
4,3,1,1,27,False
3,3,2,1,39,False
4,1,1,1,26,False
4,2,2,1,24,False
3,2,1,2,24,False
3,2,1,1,25,False
3,2,1,1,25,False
3,6,0,1,20,False
2,3,1,2,24,False
13,2,2,1,25,False
12,4,1,2,25,False
3,3,1,1,21,False
3,3,1,1,25,False
3,2,1,1,21,False
3,3,1,1,22,False
4,3,1,1,23,False
3,2,2,1,23,False
4,1,1,1,25,False
3,3,1,1,24,False
3,2,2,1,24,False
4,2,2,1,24,False
11,3,1,2,24,False
5,3,1,1,23,False
6,2,3,1,26,False
5,3,2,1,18,False
4,2,1,2,21,False
4,3,1,1,19,False
4,2,0,1,20,False
3,1,1,1,29,False
4,2,1,1,30,False
8,2,1,1,26,False
3,2,1,1,26,False
3,1,1,3,19,False
3,3,1,1,22,False
5,2,1,1,25,False
5,1,1,1,31,False
3,3,0,1,36,False
3,2,1,1,100,False
4,2,1,0,40,False
4,2,1,0,48,False
3,0,1,1,33,False
3,2,1,1,27,False
4,1,0,0,22,False
3,1,1,1,20,False
3,2,0,2,22,False
2,1,1,1,24,False
4,3,0,1,18,False
4,4,2,2,21,False
3,2,2,1,20,False
3,2,1,0,26,False
3,1,0,1,24,False
4,1,1,1,27,False
4,2,1,2,16,False
3,3,1,0,22,False
4,4,3,1,22,False
3,3,1,1,27,False
3,2,1,0,20,False
3,2,1,1,17,False
3,1,0,1,19,False
2,2,0,1,18,False
3,2,1,1,17,False
4,4,1,0,19,False
3,3,0,0,18,False
5,1,0,0,17,False
2,1,1,0,15,False
3,1,1,0,14,False
4,1,0,1,14,False
3,1,1,3,15,False
2,2,1,1,11,False
4,3,1,0,16,False
6,3,1,1,18,False
5,3,2,1,17,False
4,3,0,1,12,False
3,2,1,1,16,False
3,2,1,1,17,False
3,2,2,0,15,False
4,2,1,1,16,False
3,1,1,1,17,False
3,2,1,0,19,False
3,2,1,1,15,False
4,2,0,0,15,False
3,2,1,0,15,False
5,2,1,1,18,False
3,1,2,0,15,False
2,2,1,0,16,False
2,1,1,1,19,False
3,1,2,0,15,False
2,1,1,0,19,False
3,1,0,0,19,False
3,1,1,1,15,False
2,1,1,1,16,False
2,2,0,1,17,False
2,2,0,0,15,False
2,1,1,1,25,False
3,2,1,0,46,False
3,1,1,1,20,False
4,1,0,0,13,False
4,1,1,0,13,False
4,1,1,0,16,False
3,1,0,0,28,False
4,1,0,0,26,False
2,1,0,0,19,False
2,3,0,1,16,True
