Steven Strogatz,Jennifer 8. Lee,Kary Mullis,Paul Sereno,Iraola,isPartial
2,0,7,0,3,False
2,5,5,2,3,False
0,2,6,2,4,False
0,100,3,3,3,False
1,2,3,1,2,False
0,1,2,2,3,False
1,0,4,2,3,False
0,1,3,0,5,False
2,1,5,0,4,False
1,3,6,0,3,False
1,1,4,1,1,False
1,0,4,1,2,False
0,5,3,1,3,False
1,2,4,0,3,False
0,0,5,1,1,False
1,2,3,0,2,False
1,2,5,1,3,False
3,2,2,2,3,False
1,1,1,0,3,False
1,1,1,1,2,False
2,0,2,1,3,False
0,1,4,2,4,False
2,1,4,2,3,False
0,1,2,1,3,False
0,1,2,2,2,False
1,1,3,1,2,False
0,1,1,2,5,False
0,0,3,1,3,False
1,1,1,1,4,False
0,1,1,1,4,False
1,0,1,0,4,False
0,1,2,1,2,False
1,0,3,1,2,False
0,0,3,1,1,False
0,0,2,0,3,False
0,0,2,1,3,False
0,0,2,1,2,False
0,0,2,0,3,False
0,0,2,0,3,False
0,0,2,0,2,False
0,0,2,0,3,False
1,0,1,1,2,False
0,0,2,0,3,False
0,0,2,1,3,False
0,0,2,0,3,False
0,1,2,0,3,False
0,0,3,1,3,False
0,0,2,0,3,False
1,1,3,1,3,False
0,1,2,1,3,False
0,2,2,2,3,False
0,0,2,0,3,False
0,1,2,1,3,False
0,1,2,0,1,False
0,0,1,0,2,False
0,0,2,1,4,False
0,0,1,1,4,False
0,0,2,1,4,False
0,0,2,0,4,False
0,0,2,0,4,False
0,0,2,0,3,False
0,0,2,0,3,False
0,0,3,0,3,False
0,0,1,0,4,False
1,1,1,1,4,False
0,0,1,0,4,False
0,0,3,0,3,False
0,0,1,0,3,False
0,0,2,1,4,False
0,0,2,1,4,False
0,0,2,1,5,False
0,0,2,1,4,False
0,0,2,0,4,False
1,0,2,0,3,False
1,0,2,0,3,False
1,0,2,0,3,False
1,0,1,0,3,False
0,0,2,0,3,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,1,3,False
0,0,2,0,5,False
0,0,1,0,4,False
0,0,2,0,3,False
0,0,1,0,5,False
1,0,1,0,4,False
0,0,2,0,4,False
0,0,2,0,4,False
0,0,2,0,4,False
0,0,1,0,3,False
0,0,1,0,4,False
0,0,2,0,4,False
0,0,2,0,3,False
0,0,2,0,3,False
0,0,2,0,2,False
0,0,1,0,3,False
0,0,2,0,3,False
0,0,2,0,5,False
0,0,2,0,4,False
0,0,2,0,5,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,3,False
1,0,1,0,3,False
1,0,2,0,2,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,0,0,2,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,1,1,3,False
0,0,2,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,2,3,False
0,0,1,0,3,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,4,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,4,False
0,0,1,0,5,False
0,0,1,0,11,False
0,0,1,0,5,False
0,0,1,0,5,False
0,0,1,0,4,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,2,False
0,0,0,0,2,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,0,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,1,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,0,0,2,False
0,0,0,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,2,False
0,0,0,0,2,False
0,0,1,0,2,False
0,0,4,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,1,0,5,False
0,0,1,0,2,False
0,0,3,0,2,False
0,0,2,0,2,False
0,0,2,0,1,False
0,0,3,0,4,False
0,0,6,0,3,False
0,0,4,0,2,False
0,0,7,0,2,True
