Julie Burstein,Arunachalam Muruganantham,Hannah Brencher,Leah Buechley,Iraola,isPartial
0,0,0,0,20,False
0,0,0,0,11,False
0,0,0,0,8,False
0,0,0,0,13,False
0,0,0,0,9,False
0,0,0,0,11,False
0,0,0,0,15,False
0,0,0,0,16,False
0,0,0,0,13,False
0,0,0,0,16,False
0,0,0,0,13,False
0,0,0,0,14,False
0,0,0,0,11,False
0,0,0,0,10,False
0,0,0,0,12,False
0,0,0,0,19,False
0,0,0,0,8,False
0,0,0,0,13,False
0,0,0,0,12,False
0,0,0,0,8,False
0,0,0,0,13,False
0,0,0,0,11,False
0,0,0,0,15,False
0,0,0,0,8,False
0,0,0,0,6,False
0,0,0,0,13,False
0,0,0,2,16,False
0,0,0,0,11,False
0,0,0,0,15,False
0,0,0,2,14,False
0,0,0,0,15,False
0,0,0,2,11,False
0,0,0,0,11,False
0,0,0,2,10,False
0,0,0,2,7,False
0,0,0,2,13,False
0,0,0,0,13,False
0,0,0,0,16,False
4,0,0,0,14,False
2,0,0,0,8,False
0,0,0,0,7,False
0,0,0,0,10,False
1,0,0,0,11,False
0,0,0,1,11,False
0,0,0,3,14,False
0,0,0,1,10,False
0,0,0,0,10,False
0,0,0,0,13,False
0,0,0,2,10,False
0,0,0,0,11,False
0,0,0,0,13,False
0,0,0,4,12,False
0,0,0,1,14,False
0,0,0,1,12,False
2,0,0,2,8,False
0,0,0,2,14,False
0,0,0,1,15,False
0,0,0,1,15,False
0,0,0,2,14,False
1,0,0,1,16,False
1,0,0,0,16,False
1,0,0,1,15,False
0,0,0,1,11,False
1,0,0,1,12,False
0,0,0,1,12,False
0,0,0,1,15,False
0,0,0,0,11,False
0,0,0,1,11,False
0,0,0,1,16,False
0,0,0,1,15,False
0,0,0,1,16,False
0,0,0,1,13,False
1,0,0,2,18,False
0,0,0,1,12,False
1,0,0,1,10,False
1,0,0,1,12,False
0,0,1,1,11,False
0,0,0,1,13,False
0,0,0,1,12,False
0,0,0,1,12,False
0,0,0,1,15,False
0,0,0,0,13,False
0,0,0,1,19,False
0,0,0,0,15,False
0,0,0,1,12,False
0,0,0,1,15,False
0,0,0,1,20,False
0,0,0,0,12,False
0,0,0,0,17,False
0,0,0,2,16,False
1,0,0,0,11,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,0,1,12,False
0,0,0,1,12,False
0,1,0,1,10,False
0,0,0,1,12,False
0,0,0,0,12,False
0,0,0,1,24,False
0,0,0,1,13,False
0,0,0,1,18,False
0,1,0,0,13,False
1,1,1,0,10,False
0,1,0,0,12,False
0,1,0,0,14,False
0,1,0,1,11,False
1,3,3,1,9,False
0,1,1,0,12,False
1,1,1,1,11,False
1,1,1,0,11,False
1,1,1,0,10,False
0,1,0,0,10,False
0,1,1,0,9,False
0,0,1,0,10,False
0,1,1,0,11,False
0,1,1,1,11,False
0,1,1,0,11,False
1,5,2,0,11,False
0,1,1,0,11,False
0,2,1,0,9,False
0,1,1,0,11,False
0,0,1,1,11,False
0,4,1,0,13,False
0,2,1,0,8,False
0,1,1,0,9,False
0,5,1,0,9,False
0,3,1,0,11,False
0,2,1,1,14,False
0,2,1,0,15,False
0,1,1,0,11,False
0,1,2,0,12,False
0,1,1,0,9,False
0,1,1,0,11,False
0,1,2,0,11,False
0,1,1,0,17,False
0,1,2,0,19,False
0,1,2,0,42,False
0,1,1,0,19,False
0,1,1,0,22,False
1,1,1,0,15,False
0,1,1,1,13,False
0,1,2,0,9,False
0,0,1,0,11,False
0,1,1,1,10,False
0,1,1,0,11,False
0,1,1,0,9,False
0,4,1,0,10,False
0,2,1,0,9,False
0,1,1,0,14,False
0,1,1,0,12,False
0,1,1,0,12,False
0,1,1,0,8,False
0,1,1,0,10,False
0,1,1,0,11,False
0,1,1,1,13,False
1,1,1,0,10,False
0,6,1,0,7,False
0,2,1,0,9,False
0,3,1,0,9,False
0,3,0,1,9,False
0,2,1,0,11,False
0,3,1,0,8,False
0,2,0,0,8,False
0,3,1,0,8,False
0,1,1,0,7,False
0,4,0,0,8,False
0,3,1,0,7,False
0,28,1,0,6,False
0,20,1,0,8,False
0,100,0,0,7,False
0,12,1,0,8,False
0,6,1,0,7,False
0,17,2,0,7,False
0,9,2,0,7,False
0,7,1,0,7,False
0,16,1,1,8,False
0,13,0,0,9,False
0,6,0,0,9,False
0,6,1,0,8,False
0,5,1,0,8,False
0,5,1,0,6,False
0,7,1,0,8,False
0,4,1,0,7,False
0,4,1,0,8,False
0,6,0,0,9,False
0,3,1,0,7,False
0,4,1,0,8,False
0,4,0,0,8,False
0,3,0,0,8,False
0,3,0,0,7,False
0,3,1,0,7,False
0,3,0,0,7,False
0,2,0,0,12,False
0,3,1,0,23,False
0,2,0,0,10,False
0,4,0,0,7,False
0,3,0,0,6,False
0,3,1,0,7,False
0,3,0,0,15,False
0,2,1,0,11,False
0,3,0,0,9,False
0,2,0,0,8,True
