Jim Toomey,Lisa Margonelli,Dan Cobley,Nic Marks,Iraola,isPartial
14,0,0,0,28,False
0,0,0,0,37,False
34,0,0,0,17,False
18,13,0,0,31,False
11,0,0,0,27,False
0,0,0,0,35,False
12,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,10,21,False
0,0,0,0,14,False
0,0,0,10,33,False
9,0,0,9,26,False
0,0,0,9,23,False
8,8,0,8,18,False
8,9,0,8,17,False
7,0,0,0,17,False
0,0,0,0,15,False
8,0,0,0,15,False
15,0,0,7,15,False
0,0,0,7,29,False
0,0,0,6,31,False
6,0,0,0,27,False
6,0,0,6,23,False
0,0,0,0,16,False
0,0,0,6,20,False
0,0,0,7,38,False
0,0,0,0,19,False
5,0,5,0,25,False
5,0,0,0,26,False
0,5,0,5,29,False
0,0,0,0,24,False
4,0,4,4,20,False
8,4,0,0,20,False
6,0,4,4,21,False
4,4,4,0,32,False
3,17,0,0,23,False
0,7,0,0,30,False
6,3,0,0,34,False
0,3,0,0,21,False
3,4,0,3,22,False
6,3,3,0,28,False
3,0,3,3,16,False
0,3,0,7,21,False
4,0,3,3,30,False
2,0,0,2,27,False
2,0,0,4,16,False
0,0,3,3,26,False
4,0,2,2,22,False
0,2,2,6,27,False
2,0,0,0,26,False
2,2,2,3,32,False
0,0,0,2,29,False
0,0,0,2,18,False
0,2,0,2,21,False
0,0,0,3,34,False
2,3,0,3,33,False
2,0,2,3,29,False
2,0,0,2,28,False
2,0,0,4,27,False
2,0,0,2,28,False
2,0,0,4,29,False
2,2,0,0,23,False
2,2,0,0,29,False
0,2,0,2,28,False
2,2,0,3,23,False
2,2,2,3,25,False
4,2,0,4,26,False
1,1,1,0,37,False
3,2,0,4,32,False
2,0,0,1,32,False
2,0,0,1,32,False
2,1,0,2,35,False
4,0,2,2,23,False
2,0,1,2,25,False
2,1,0,3,26,False
3,2,0,5,26,False
1,1,0,4,27,False
3,1,0,3,18,False
2,1,3,4,23,False
2,1,3,6,33,False
2,0,2,3,33,False
2,1,1,3,41,False
2,0,1,3,29,False
2,1,1,5,26,False
2,0,0,4,31,False
2,2,3,3,39,False
3,0,1,6,29,False
1,1,1,6,31,False
2,1,1,4,28,False
2,1,0,3,24,False
3,0,1,1,34,False
2,1,1,2,32,False
1,1,1,2,25,False
2,1,1,2,27,False
1,0,2,2,23,False
1,1,1,2,24,False
2,1,1,2,25,False
1,1,0,5,55,False
1,1,1,1,27,False
1,1,1,4,39,False
2,0,0,5,26,False
1,1,1,4,24,False
1,1,0,1,24,False
2,1,1,1,25,False
1,1,1,1,25,False
1,1,1,2,20,False
1,1,2,3,24,False
1,0,1,3,25,False
1,0,1,1,25,False
1,0,1,3,21,False
1,1,1,2,25,False
1,1,1,3,21,False
1,0,1,4,22,False
1,0,1,3,23,False
1,0,1,3,23,False
1,1,1,3,25,False
1,1,2,2,24,False
1,0,1,1,24,False
1,1,1,3,24,False
2,0,1,2,24,False
1,0,1,3,23,False
1,0,1,2,26,False
1,0,1,2,18,False
0,0,2,7,21,False
1,1,1,4,19,False
1,1,1,2,20,False
1,0,1,5,29,False
1,0,0,2,30,False
0,0,1,3,26,False
1,0,1,2,26,False
1,1,1,1,19,False
0,0,1,2,22,False
1,0,2,2,25,False
1,0,2,3,31,False
1,0,0,4,36,False
1,0,1,3,100,False
1,0,1,2,40,False
2,0,1,2,48,False
0,0,1,2,33,False
0,0,1,1,27,False
0,0,1,5,22,False
1,0,0,2,20,False
1,0,1,2,22,False
1,0,1,2,24,False
0,0,1,2,18,False
1,0,1,3,21,False
1,0,0,2,20,False
1,0,0,6,26,False
1,0,0,4,24,False
1,0,0,1,27,False
1,0,1,3,16,False
1,0,0,2,22,False
1,0,0,3,22,False
2,0,0,5,27,False
0,0,0,2,20,False
1,0,0,2,17,False
1,0,0,2,19,False
1,0,1,3,18,False
1,0,1,4,17,False
1,0,0,11,19,False
1,0,0,14,18,False
0,0,0,2,17,False
1,0,0,2,15,False
0,0,0,2,14,False
1,0,0,3,14,False
1,0,0,3,15,False
2,0,0,2,11,False
1,1,1,2,16,False
0,0,1,3,18,False
1,0,1,2,17,False
1,0,1,7,12,False
1,1,0,12,16,False
1,0,1,11,17,False
1,0,0,3,15,False
1,1,0,2,16,False
1,1,1,2,17,False
1,0,0,1,19,False
1,0,1,1,15,False
1,0,0,2,15,False
1,0,0,3,15,False
2,0,1,3,18,False
0,0,0,3,15,False
0,0,0,3,16,False
1,0,0,10,19,False
1,0,0,7,15,False
0,1,0,8,19,False
0,0,0,3,19,False
0,0,0,2,15,False
0,0,0,3,16,False
0,0,1,3,17,False
1,0,0,2,15,False
1,0,0,3,25,False
1,0,1,2,46,False
0,0,0,2,20,False
1,0,0,1,13,False
0,0,0,2,13,False
1,0,1,2,16,False
0,0,0,6,28,False
0,0,0,3,26,False
1,0,0,5,19,False
1,0,1,5,16,True
