Lesley Hazleton,Charles Limb,Deborah Rhodes,Neil Pasricha,Iraola,isPartial
0,0,14,0,28,False
0,0,0,0,37,False
0,0,17,0,17,False
0,13,0,0,31,False
0,12,0,0,27,False
0,0,11,0,35,False
12,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,10,0,0,21,False
0,0,0,0,14,False
0,0,10,10,33,False
0,9,9,9,26,False
0,0,0,0,23,False
0,8,8,0,18,False
0,0,0,0,17,False
0,0,0,0,17,False
0,0,15,0,15,False
0,0,8,0,15,False
0,0,15,0,15,False
0,0,7,0,29,False
0,0,0,0,31,False
6,6,6,0,27,False
0,0,9,0,23,False
0,5,0,0,16,False
6,6,6,0,20,False
0,0,5,0,38,False
0,15,5,0,19,False
0,0,5,0,25,False
0,0,5,0,26,False
0,0,5,0,29,False
5,0,5,0,24,False
0,0,4,0,20,False
0,0,6,0,20,False
0,4,6,0,21,False
0,0,8,0,32,False
0,0,0,0,23,False
0,0,0,0,30,False
0,0,3,0,34,False
0,0,5,0,21,False
0,3,3,0,22,False
3,0,4,0,28,False
0,3,3,0,16,False
0,3,11,0,21,False
0,5,5,0,30,False
0,2,2,0,27,False
2,0,5,0,16,False
3,3,3,0,26,False
0,2,0,0,22,False
0,2,5,0,27,False
0,4,6,0,26,False
0,0,2,0,32,False
0,0,6,0,29,False
2,2,3,0,18,False
2,4,2,0,21,False
0,2,2,0,34,False
0,2,2,0,33,False
0,2,5,0,29,False
0,2,2,0,28,False
0,2,4,0,27,False
0,2,2,0,28,False
0,2,4,0,29,False
0,2,2,0,23,False
2,5,3,2,29,False
0,0,2,2,28,False
2,2,2,0,23,False
0,2,2,0,25,False
2,2,2,2,26,False
1,1,1,0,37,False
1,4,2,0,32,False
0,1,0,0,32,False
0,3,4,0,32,False
3,1,4,2,35,False
0,0,2,1,23,False
1,1,2,2,25,False
0,0,2,10,26,False
1,1,2,8,26,False
0,1,3,7,27,False
0,1,2,5,18,False
1,0,1,3,23,False
1,2,3,3,33,False
1,0,2,2,33,False
1,1,3,2,41,False
14,1,2,2,29,False
15,6,8,19,26,False
4,3,2,11,31,False
7,1,2,8,39,False
9,3,4,7,29,False
4,2,1,13,31,False
6,2,2,8,28,False
2,2,3,7,24,False
3,1,2,5,34,False
2,1,2,6,32,False
1,2,3,4,25,False
3,2,3,5,27,False
4,4,3,4,23,False
3,1,2,4,24,False
1,1,2,4,25,False
3,3,3,2,55,False
2,1,2,10,27,False
3,2,3,5,39,False
4,1,3,3,26,False
4,2,2,2,24,False
5,1,2,2,24,False
3,1,2,2,25,False
2,2,1,2,25,False
4,1,1,2,20,False
5,2,1,3,24,False
4,1,2,2,25,False
3,3,2,3,25,False
3,2,2,3,21,False
5,1,1,2,25,False
2,2,2,2,21,False
7,3,2,2,22,False
8,1,1,2,23,False
7,1,2,1,23,False
4,2,1,1,25,False
5,2,1,2,24,False
5,2,2,2,24,False
4,2,2,1,24,False
5,1,3,2,24,False
2,2,1,2,23,False
6,2,2,2,26,False
4,1,1,1,18,False
3,1,1,3,21,False
2,1,2,1,19,False
8,1,3,1,20,False
4,1,1,2,29,False
3,1,1,2,30,False
6,1,1,1,26,False
4,1,2,1,26,False
3,1,1,1,19,False
6,1,2,2,22,False
6,1,2,2,25,False
5,1,1,1,31,False
4,1,2,0,36,False
7,1,1,1,100,False
7,1,2,1,40,False
7,1,1,1,48,False
5,1,2,1,33,False
5,1,1,2,27,False
5,1,2,1,22,False
5,2,2,2,20,False
8,1,2,1,22,False
7,2,1,1,24,False
4,2,2,2,18,False
4,1,2,7,21,False
4,1,1,3,20,False
4,1,1,2,26,False
6,1,1,3,24,False
4,2,1,2,27,False
3,1,1,2,16,False
3,1,2,3,22,False
4,1,1,2,22,False
3,0,2,2,27,False
4,1,2,2,20,False
4,1,2,3,17,False
7,1,2,3,19,False
5,1,2,2,18,False
4,1,2,3,17,False
3,2,1,2,19,False
3,2,1,2,18,False
3,2,2,2,17,False
6,1,1,2,15,False
6,1,2,2,14,False
4,1,1,2,14,False
5,1,1,2,15,False
5,1,1,1,11,False
1,1,1,2,16,False
3,1,2,1,18,False
2,1,2,3,17,False
3,1,1,2,12,False
3,1,1,2,16,False
2,1,1,1,17,False
3,1,2,2,15,False
8,1,1,2,16,False
5,1,2,2,17,False
3,1,2,2,19,False
8,1,1,3,15,False
3,0,1,2,15,False
3,1,1,3,15,False
3,2,1,3,18,False
2,1,1,2,15,False
2,1,2,2,16,False
5,1,2,2,19,False
3,1,2,2,15,False
3,1,1,2,19,False
4,1,1,2,19,False
2,1,1,2,15,False
2,1,1,2,16,False
3,1,1,8,17,False
3,1,2,6,15,False
3,1,1,6,25,False
3,1,2,5,46,False
3,1,1,3,20,False
4,1,1,2,13,False
4,2,1,2,13,False
3,0,2,3,16,False
2,1,1,2,28,False
1,0,1,3,26,False
1,0,1,2,19,False
3,1,1,4,16,True
