David Eagleman,Joseph DeSimone,Monica Lewinsky,Fei-Fei Li,Iraola,isPartial
1,0,14,0,1,False
1,1,14,0,2,False
0,0,9,0,1,False
0,0,11,1,2,False
0,0,12,0,1,False
1,1,52,0,2,False
1,0,18,1,1,False
0,0,14,0,3,False
0,0,11,0,1,False
0,0,16,0,0,False
0,0,16,0,0,False
0,0,9,0,2,False
0,0,7,0,1,False
0,0,10,0,1,False
0,0,7,0,1,False
0,0,6,0,1,False
0,0,7,0,1,False
0,0,8,0,1,False
0,0,5,0,1,False
0,0,6,0,0,False
0,0,13,0,1,False
0,0,10,0,2,False
0,0,7,1,2,False
0,0,8,0,1,False
0,0,8,0,1,False
1,0,8,0,1,False
0,0,5,0,2,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,7,0,1,False
0,0,9,0,1,False
0,0,10,0,1,False
0,0,8,0,1,False
0,0,10,0,2,False
0,0,9,0,1,False
0,0,9,0,2,False
0,0,8,0,2,False
0,0,7,0,1,False
0,0,8,0,1,False
0,0,7,0,1,False
0,0,7,0,1,False
0,0,6,0,1,False
0,0,7,0,1,False
0,0,9,0,2,False
0,0,7,0,1,False
0,0,9,0,1,False
0,0,18,0,1,False
0,0,14,0,1,False
0,0,17,0,1,False
0,0,12,0,2,False
0,0,9,0,1,False
0,0,7,0,1,False
0,0,6,0,1,False
0,0,10,0,2,False
0,0,8,0,2,False
0,0,9,0,1,False
0,0,12,0,1,False
0,0,8,0,1,False
0,0,11,0,1,False
0,0,9,0,1,False
0,0,7,0,1,False
0,0,8,0,1,False
0,0,8,0,1,False
1,0,11,0,1,False
0,0,8,0,1,False
0,0,10,0,1,False
1,0,10,0,2,False
0,0,10,0,2,False
0,0,9,0,2,False
1,0,15,0,2,False
0,0,10,0,2,False
0,0,13,0,1,False
0,0,10,0,1,False
1,0,10,0,1,False
1,0,9,0,1,False
0,0,9,0,1,False
0,0,10,0,1,False
0,0,11,0,1,False
0,0,10,0,1,False
0,0,11,0,1,False
0,0,10,0,2,False
0,0,11,0,1,False
0,0,11,0,1,False
1,0,9,0,1,False
1,0,11,0,2,False
1,0,9,0,1,False
1,0,15,0,1,False
2,0,14,0,1,False
3,0,10,0,1,False
1,0,12,0,2,False
1,0,16,0,1,False
0,0,14,0,1,False
1,0,13,0,1,False
1,0,12,0,1,False
0,0,12,0,1,False
1,0,31,0,1,False
1,0,10,0,2,False
0,0,11,0,1,False
1,0,12,0,2,False
1,0,12,0,1,False
1,0,13,0,1,False
1,0,10,0,1,False
1,0,34,0,1,False
1,0,15,0,1,False
1,0,18,0,1,False
1,0,11,0,1,False
0,0,14,0,1,False
0,0,11,0,1,False
0,0,10,0,1,False
1,0,11,0,1,False
0,0,12,0,1,False
0,0,19,0,1,False
0,0,15,0,1,False
1,0,20,0,1,False
0,0,11,0,1,False
0,0,15,0,1,False
0,0,13,0,1,False
0,0,14,0,1,False
0,0,17,0,1,False
0,0,31,0,1,False
0,0,14,0,1,False
0,0,13,0,1,False
0,0,100,0,1,False
0,0,20,0,1,False
0,0,22,0,1,False
0,0,13,0,1,False
0,0,13,0,1,False
0,0,42,0,1,False
0,0,15,0,1,False
0,0,13,0,1,False
0,0,14,0,1,False
0,0,17,0,1,False
1,1,57,0,1,False
1,0,30,0,2,False
0,0,18,0,5,False
0,0,16,0,2,False
0,0,14,0,2,False
0,0,16,0,2,False
0,0,15,0,1,False
2,0,17,0,1,False
3,0,14,0,1,False
1,0,16,0,1,False
1,0,22,0,1,False
2,0,21,0,1,False
1,0,27,0,1,False
1,0,29,0,1,False
1,0,24,0,1,False
1,0,19,0,1,False
0,0,31,0,1,False
1,0,19,0,1,False
1,0,24,0,1,False
1,0,62,0,1,False
1,0,58,0,1,False
1,0,11,0,1,False
1,0,18,0,1,False
0,0,11,0,1,False
1,0,9,0,1,False
1,0,9,0,1,False
1,0,15,0,1,False
1,0,13,0,1,False
1,0,12,0,1,False
1,0,11,0,1,False
1,0,10,0,1,False
1,0,15,0,1,False
1,0,17,0,1,False
1,0,12,0,1,False
1,0,13,0,1,False
1,0,24,0,1,False
1,0,13,0,1,False
1,0,11,0,1,False
1,0,17,0,1,False
1,0,19,0,1,False
1,0,9,0,1,False
1,0,9,0,1,False
1,0,25,0,1,False
1,0,17,0,1,False
1,0,41,0,1,False
0,0,15,0,1,False
1,0,17,0,1,False
1,0,12,0,1,False
1,0,21,0,1,False
1,0,9,0,1,False
1,0,7,0,1,False
1,0,7,0,1,False
1,0,12,0,1,False
1,0,19,0,1,False
1,0,9,0,1,False
1,0,19,0,1,False
1,0,11,0,1,False
1,0,12,0,1,False
1,0,13,0,1,False
1,0,10,0,2,False
0,0,19,0,1,False
1,0,14,0,1,False
1,0,8,0,1,False
0,0,10,0,1,False
0,0,13,0,1,False
1,0,10,0,1,False
1,0,9,0,1,False
1,0,9,0,1,True
