Richard Baraniuk,Ze Frank,Mena Trott,Helen Fisher,Iraola,isPartial
0,0,22,22,16,False
0,11,0,25,32,False
0,13,26,26,20,False
0,10,10,26,21,False
0,9,9,24,21,False
0,0,9,31,18,False
0,0,9,12,18,False
0,9,9,20,34,False
0,0,8,21,18,False
0,11,8,35,16,False
16,20,16,16,8,False
0,15,7,20,11,False
0,20,11,31,15,False
0,14,12,19,21,False
0,12,9,21,16,False
0,17,7,18,20,False
0,21,6,17,13,False
0,11,6,19,19,False
6,14,6,20,18,False
0,8,58,13,11,False
5,9,13,7,21,False
0,17,5,16,19,False
0,13,13,18,14,False
0,11,12,21,19,False
0,4,4,14,12,False
0,16,6,27,14,False
4,17,6,24,24,False
0,13,4,21,15,False
0,36,9,11,24,False
0,59,0,18,24,False
4,57,6,11,23,False
0,60,5,17,15,False
3,75,8,21,17,False
6,70,6,7,15,False
0,75,4,12,18,False
0,74,5,9,18,False
0,59,0,12,15,False
3,57,0,22,18,False
5,100,5,16,19,False
3,57,3,12,17,False
4,30,2,19,22,False
2,33,2,19,18,False
2,23,4,14,20,False
0,36,2,15,17,False
2,30,2,20,22,False
3,34,4,18,14,False
2,39,2,22,18,False
2,25,4,15,18,False
2,34,0,18,17,False
2,35,3,25,15,False
3,22,2,23,18,False
3,26,2,12,18,False
2,19,3,20,20,False
2,19,2,17,13,False
2,18,0,26,11,False
2,11,2,13,24,False
3,18,3,20,24,False
1,21,1,20,22,False
3,16,4,16,24,False
0,22,0,16,22,False
0,20,2,41,19,False
3,22,1,71,19,False
2,20,1,32,18,False
2,27,0,21,24,False
1,27,1,39,20,False
1,24,1,24,22,False
1,25,1,26,21,False
1,22,2,23,24,False
2,23,3,23,28,False
2,27,1,24,22,False
1,19,0,27,27,False
1,24,1,22,25,False
2,26,1,24,24,False
2,26,2,36,16,False
1,20,1,22,21,False
1,26,0,18,19,False
1,16,1,20,18,False
1,12,0,19,22,False
1,18,1,21,14,False
1,14,2,20,17,False
1,15,2,22,19,False
0,45,1,25,23,False
1,20,1,23,32,False
2,17,1,18,25,False
2,16,0,19,23,False
1,18,1,29,31,False
1,16,1,18,29,False
1,16,0,18,25,False
1,16,1,18,27,False
0,15,1,17,23,False
1,15,1,19,18,False
1,16,1,19,26,False
1,10,0,15,26,False
1,12,1,21,21,False
1,10,1,22,18,False
1,10,1,19,17,False
1,11,1,22,20,False
1,13,1,22,24,False
1,19,1,21,36,False
1,80,1,21,23,False
1,40,1,19,35,False
1,32,1,19,16,False
1,26,1,20,17,False
1,27,1,20,18,False
1,25,1,22,19,False
0,23,0,21,16,False
1,24,1,25,18,False
0,19,1,28,18,False
0,32,1,20,18,False
1,30,0,31,17,False
0,30,0,24,14,False
0,34,1,21,16,False
0,38,0,20,16,False
0,42,1,20,16,False
1,37,1,24,16,False
1,35,0,19,20,False
1,23,0,22,20,False
0,20,1,27,17,False
1,23,0,28,18,False
1,24,0,29,18,False
0,22,0,24,18,False
0,19,0,26,20,False
1,20,1,25,19,False
1,27,0,25,17,False
1,17,0,24,19,False
1,34,0,20,17,False
0,35,0,20,18,False
0,26,0,17,23,False
1,22,0,21,26,False
1,25,0,20,20,False
0,21,0,22,20,False
0,20,0,21,16,False
1,17,0,17,18,False
0,20,0,35,18,False
0,20,0,25,25,False
0,20,0,27,32,False
0,19,0,25,68,False
0,17,0,21,32,False
0,13,0,20,35,False
1,15,0,19,27,False
1,14,0,17,18,False
0,13,0,19,17,False
0,12,0,18,17,False
0,14,1,23,16,False
0,12,0,17,17,False
0,9,1,23,13,False
0,11,0,19,16,False
0,12,1,17,14,False
0,8,0,14,20,False
1,12,0,16,20,False
1,11,0,15,20,False
1,7,0,16,14,False
0,9,0,16,15,False
0,7,0,21,20,False
1,10,0,16,22,False
0,9,0,23,19,False
0,10,1,15,12,False
1,7,1,21,14,False
0,7,0,18,13,False
0,11,0,23,13,False
0,8,0,17,15,False
0,6,0,17,13,False
0,6,0,15,12,False
0,6,0,16,13,False
0,5,0,14,12,False
0,6,0,17,13,False
0,7,0,16,12,False
1,4,0,18,8,False
1,6,0,14,12,False
0,6,1,18,13,False
0,6,0,14,11,False
0,7,0,24,10,False
1,11,0,12,13,False
0,9,0,17,12,False
0,9,1,12,12,False
0,8,0,13,14,False
1,4,0,15,14,False
0,5,0,13,14,False
1,7,0,16,14,False
0,4,0,19,13,False
0,4,0,14,11,False
1,6,0,15,13,False
0,4,0,15,11,False
0,5,0,15,12,False
0,4,0,14,12,False
0,4,0,17,12,False
0,4,0,14,16,False
0,4,0,11,13,False
0,5,0,15,14,False
0,5,0,15,11,False
0,5,0,15,13,False
0,4,0,15,12,False
0,6,0,13,20,False
0,5,0,14,36,False
0,6,0,10,15,False
0,7,0,12,11,False
0,7,0,13,11,False
0,7,0,11,10,False
0,4,0,12,23,False
0,6,0,9,20,False
0,4,0,11,15,False
0,3,0,8,13,True
