Aaron Huey,Auret van Heerden,Eric Berlow,Conrad Wolfram,Iraola,isPartial
14,0,0,0,28,False
0,0,0,0,37,False
17,0,17,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
11,0,0,0,35,False
0,12,12,0,28,False
11,0,0,0,39,False
0,0,10,0,31,False
0,0,0,0,21,False
16,0,0,10,14,False
19,0,0,0,33,False
0,0,9,0,26,False
0,0,9,0,23,False
0,0,0,0,18,False
0,0,0,0,17,False
7,0,7,0,17,False
0,0,8,0,15,False
0,0,0,0,15,False
7,0,0,0,15,False
7,7,0,0,29,False
0,0,0,0,31,False
6,6,6,0,27,False
6,0,0,0,23,False
0,0,0,5,16,False
6,0,6,6,20,False
0,0,0,0,38,False
5,0,0,0,19,False
5,0,0,0,25,False
0,0,0,0,26,False
0,0,0,0,29,False
9,0,0,5,24,False
4,0,0,4,20,False
0,0,0,4,20,False
4,4,0,0,21,False
4,0,4,0,32,False
3,0,0,3,23,False
4,4,0,0,30,False
0,0,0,3,34,False
3,0,0,3,21,False
0,0,0,3,22,False
3,0,0,0,28,False
4,0,3,0,16,False
3,0,0,0,21,False
0,0,0,0,30,False
4,0,0,2,27,False
2,0,0,0,16,False
3,3,0,0,26,False
6,2,0,2,22,False
5,0,0,2,27,False
6,0,2,2,26,False
2,2,0,3,32,False
2,0,0,2,29,False
4,2,0,0,18,False
2,0,0,2,21,False
3,0,0,0,34,False
0,0,0,2,33,False
4,0,0,2,29,False
2,2,2,2,28,False
2,0,0,0,27,False
0,0,0,0,28,False
2,0,0,0,29,False
2,0,0,2,23,False
3,0,2,3,29,False
2,0,0,3,28,False
2,0,2,5,23,False
2,0,0,2,25,False
2,2,0,2,26,False
2,0,0,1,37,False
3,1,0,0,32,False
3,0,0,1,32,False
1,0,0,1,32,False
2,0,0,1,35,False
2,1,1,1,23,False
2,0,1,2,25,False
1,1,0,2,26,False
3,0,1,0,26,False
4,1,0,2,27,False
3,0,1,1,18,False
1,0,0,1,23,False
1,1,0,1,33,False
3,0,1,1,33,False
7,4,4,11,41,False
2,0,3,4,29,False
3,1,2,2,26,False
4,0,2,2,31,False
3,0,0,2,39,False
2,0,1,2,29,False
4,1,2,2,31,False
4,1,1,2,28,False
1,0,1,3,24,False
2,1,0,2,34,False
3,0,1,3,32,False
2,1,1,1,25,False
2,1,1,2,27,False
2,1,1,2,23,False
2,1,1,2,24,False
5,1,1,1,25,False
2,3,1,1,55,False
2,1,1,2,27,False
2,1,0,2,39,False
1,1,1,1,26,False
3,0,1,1,24,False
5,0,1,2,24,False
5,1,1,2,25,False
3,1,1,1,25,False
3,1,1,2,20,False
2,2,1,1,24,False
3,0,1,1,25,False
2,1,1,1,25,False
4,1,1,1,21,False
3,2,1,2,25,False
3,1,1,1,21,False
2,1,0,2,22,False
5,0,1,1,23,False
6,1,1,1,23,False
4,1,2,1,25,False
4,0,1,1,24,False
5,1,1,3,24,False
2,1,1,2,24,False
1,0,1,1,24,False
4,1,1,2,23,False
4,0,0,2,26,False
4,0,0,1,18,False
3,1,1,1,21,False
3,1,1,2,19,False
3,0,1,1,20,False
4,1,1,1,29,False
4,1,1,1,30,False
3,0,0,1,26,False
6,1,0,2,26,False
2,0,0,1,19,False
2,0,0,2,22,False
3,1,1,1,25,False
2,0,0,2,31,False
2,0,0,1,36,False
1,0,0,1,100,False
2,1,1,2,40,False
2,0,0,1,48,False
2,0,0,1,33,False
3,0,0,1,27,False
3,0,0,2,22,False
2,0,0,1,20,False
2,0,1,2,22,False
2,0,0,1,24,False
2,0,0,1,18,False
2,1,0,1,21,False
2,1,0,2,20,False
1,1,0,1,26,False
1,0,0,1,24,False
1,0,0,1,27,False
2,0,0,1,16,False
3,0,1,1,22,False
2,0,0,1,22,False
3,0,0,1,27,False
2,0,0,0,20,False
2,0,0,1,17,False
2,0,1,1,19,False
3,0,0,1,18,False
3,0,1,1,17,False
1,0,0,0,19,False
1,0,1,1,18,False
1,0,0,1,17,False
1,0,0,1,15,False
1,0,0,2,14,False
1,1,1,1,14,False
2,0,0,4,15,False
2,0,1,1,11,False
3,0,1,1,16,False
2,0,0,1,18,False
2,0,0,1,17,False
1,0,1,1,12,False
1,0,0,1,16,False
1,0,0,1,17,False
1,0,0,1,15,False
1,0,1,1,16,False
1,0,1,1,17,False
1,1,0,0,19,False
2,0,0,0,15,False
1,0,0,0,15,False
1,0,0,1,15,False
1,0,1,0,18,False
1,0,0,1,15,False
2,0,0,1,16,False
1,0,0,1,19,False
2,0,0,0,15,False
1,0,0,0,19,False
2,0,0,1,19,False
1,0,0,0,15,False
2,0,0,1,16,False
1,0,0,0,17,False
1,0,0,0,15,False
2,0,0,0,25,False
2,0,0,1,46,False
1,0,1,0,20,False
1,0,0,1,13,False
1,0,0,0,13,False
1,0,0,1,16,False
1,0,0,0,28,False
1,0,1,0,26,False
1,0,0,1,19,False
1,0,0,1,16,True
