Alison Killing,Daniel Kish,Kevin Rudd,Boniface Mwangi,Iraola,isPartial
0,0,1,0,3,False
0,0,3,0,3,False
0,2,3,0,2,False
0,0,1,0,3,False
2,0,1,0,3,False
0,0,3,0,3,False
0,0,2,0,3,False
0,0,1,0,4,False
0,0,2,0,3,False
0,0,3,0,2,False
0,0,1,0,1,False
0,0,2,0,3,False
0,0,3,0,2,False
1,0,2,0,2,False
0,1,1,0,2,False
0,1,1,0,2,False
0,0,1,0,2,False
0,1,1,0,1,False
1,0,2,0,1,False
0,0,1,0,1,False
1,1,1,0,3,False
1,1,1,0,3,False
0,0,1,0,3,False
0,1,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,4,False
0,0,2,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,2,0,3,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
0,0,2,0,2,False
0,0,21,0,3,False
0,0,7,0,2,False
0,1,12,0,3,False
0,0,11,0,3,False
0,0,13,0,2,False
0,0,13,0,2,False
0,0,7,0,3,False
0,0,14,0,1,False
0,0,22,0,2,False
0,0,24,0,3,False
0,0,29,0,3,False
0,0,88,0,1,False
1,0,27,0,2,False
1,0,15,0,2,False
1,0,38,0,3,False
1,0,24,0,2,False
0,0,27,0,3,False
0,0,22,0,3,False
0,0,18,0,2,False
0,0,15,0,2,False
0,0,18,0,3,False
0,0,19,0,3,False
0,0,27,0,3,False
0,0,22,0,3,False
0,0,15,0,3,False
0,0,10,0,3,False
0,0,48,0,3,False
0,0,40,0,2,False
0,0,32,0,3,False
0,0,28,0,3,False
0,0,26,0,2,False
0,1,23,0,2,False
0,0,23,0,2,False
0,0,25,0,3,False
0,1,20,0,3,False
0,0,23,0,3,False
1,0,14,0,3,False
0,1,14,0,3,False
0,0,20,0,2,False
0,0,21,0,2,False
0,0,18,0,2,False
0,0,29,0,2,False
0,0,100,0,3,False
0,0,20,0,2,False
0,0,26,0,2,False
0,0,13,0,3,False
0,0,9,0,3,False
0,0,8,0,4,False
0,0,7,0,3,False
0,0,6,0,2,False
0,0,6,0,3,False
0,0,8,0,4,False
0,0,7,0,3,False
0,0,7,0,3,False
0,0,8,0,3,False
0,0,6,0,2,False
0,0,6,0,3,False
0,0,9,0,3,False
0,0,8,0,2,False
0,1,7,0,3,False
0,0,5,0,2,False
0,0,4,0,2,False
0,0,72,0,2,False
0,0,9,0,5,False
0,0,6,0,3,False
0,0,7,0,4,False
0,0,6,0,2,False
0,0,6,0,2,False
0,0,6,0,2,False
0,3,6,0,2,False
0,2,7,0,2,False
0,1,5,0,2,False
0,1,3,0,2,False
0,1,3,0,2,False
0,0,11,0,2,False
0,0,13,0,2,False
0,0,4,0,2,False
0,0,8,1,2,False
0,0,81,0,2,False
0,0,45,0,2,False
0,1,51,0,2,False
0,0,57,0,2,False
0,1,8,0,2,False
0,1,11,0,2,False
0,0,4,0,2,False
0,0,3,0,2,False
0,0,4,0,2,False
0,0,5,0,2,False
0,0,4,0,2,False
0,0,6,0,2,False
0,0,4,0,2,False
0,0,3,0,2,False
0,0,4,0,3,False
0,0,4,0,3,False
0,0,4,0,2,False
0,0,4,0,2,False
0,1,2,0,2,False
0,4,3,1,2,False
0,1,4,0,2,False
0,1,4,0,3,False
0,1,4,0,3,False
0,1,5,0,9,False
0,0,6,0,4,False
0,0,3,0,5,False
1,1,4,0,3,False
0,1,7,0,3,False
0,0,3,0,2,False
0,1,4,0,2,False
0,1,2,0,2,False
0,0,2,0,2,False
0,1,3,0,2,False
0,0,3,0,2,False
0,0,4,0,2,False
0,0,5,0,2,False
0,0,3,0,2,False
0,0,9,0,3,False
0,0,4,0,1,False
0,0,3,0,2,False
0,0,3,1,2,False
0,0,3,1,3,False
0,0,2,1,2,False
0,0,1,0,2,False
0,0,3,0,2,False
0,0,2,0,2,False
0,0,2,0,2,False
0,0,3,0,2,False
0,0,2,0,2,False
0,0,2,0,2,False
0,0,2,0,1,False
0,0,3,0,1,False
0,0,5,0,1,False
0,0,3,0,1,False
0,0,2,0,1,False
0,0,2,0,1,False
0,0,3,0,2,False
0,0,3,0,2,False
0,0,2,0,1,False
0,0,3,0,1,False
0,0,3,0,2,False
0,0,2,0,1,False
0,0,5,0,2,False
0,0,3,0,2,False
0,0,3,0,2,False
0,0,2,0,1,False
0,0,2,0,1,False
0,0,2,0,1,False
0,0,2,0,2,False
0,0,2,0,1,False
0,0,3,0,2,False
0,0,5,0,2,False
0,0,3,0,1,False
0,0,1,0,2,False
0,0,3,0,2,False
0,0,2,0,1,False
0,0,2,0,1,False
0,0,2,0,2,False
0,0,2,0,1,False
0,0,2,0,2,False
0,0,3,0,4,False
0,0,3,0,2,False
0,0,4,0,1,False
0,0,4,0,1,False
0,0,3,0,1,False
0,0,3,0,3,False
0,0,3,0,2,False
0,0,3,0,2,False
0,0,6,0,2,True
