Sebastian Thrun,AnnMarie Thomas,Stanley McChrystal,Chade-Meng Tan,Iraola,isPartial
0,2,0,0,2,False
2,0,0,0,6,False
2,2,0,0,2,False
4,0,0,0,6,False
0,2,0,0,4,False
2,0,0,0,6,False
2,0,0,0,3,False
2,0,0,0,8,False
2,0,0,0,4,False
0,0,0,0,2,False
0,0,0,0,2,False
3,0,0,0,5,False
1,0,0,0,3,False
2,0,0,0,3,False
2,0,0,0,2,False
1,0,0,0,2,False
1,1,0,0,3,False
2,1,0,0,2,False
2,0,0,0,3,False
0,0,0,0,1,False
2,0,0,0,4,False
6,0,1,0,5,False
2,0,0,0,5,False
1,0,0,0,3,False
2,0,0,0,2,False
1,1,1,0,3,False
1,0,0,0,5,False
2,1,0,0,3,False
1,0,0,0,4,False
2,0,2,0,3,False
1,0,1,0,4,False
1,0,0,0,3,False
2,0,1,0,2,False
1,0,0,0,2,False
1,1,0,0,3,False
1,0,0,0,5,False
1,0,0,0,4,False
1,1,0,0,5,False
1,0,1,0,5,False
0,0,0,0,2,False
2,0,0,0,3,False
0,0,0,0,3,False
2,0,0,0,2,False
1,0,1,0,3,False
1,0,0,1,4,False
1,0,0,0,5,False
1,0,0,0,2,False
1,1,0,0,4,False
1,0,0,0,3,False
0,0,1,0,4,False
1,1,0,0,3,False
0,0,0,0,5,False
0,0,0,0,4,False
1,0,0,0,2,False
0,0,0,0,3,False
0,0,0,0,6,False
1,1,0,0,5,False
0,0,0,0,4,False
1,0,0,0,4,False
0,0,0,0,4,False
0,0,0,0,4,False
0,0,0,0,4,False
0,0,0,0,4,False
0,0,0,0,4,False
0,0,13,0,4,False
0,0,5,0,3,False
0,0,2,0,4,False
0,0,2,0,4,False
0,0,9,0,5,False
1,0,11,0,5,False
0,0,4,0,5,False
0,0,8,0,5,False
0,0,2,0,5,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,4,0,4,False
0,0,3,0,4,False
1,1,100,0,4,False
0,0,12,0,2,False
0,0,5,0,4,False
1,0,3,0,4,False
2,0,2,0,4,False
0,0,2,0,6,False
0,0,2,0,4,False
1,0,2,0,4,False
0,0,1,0,4,False
0,0,2,0,5,False
1,0,4,0,4,False
0,0,3,1,5,False
1,0,1,0,4,False
0,0,2,0,3,False
1,0,1,0,5,False
1,0,1,0,4,False
2,0,1,0,3,False
2,0,2,0,4,False
2,0,1,0,3,False
2,0,1,1,3,False
3,0,2,0,4,False
2,0,1,0,7,False
4,0,1,0,4,False
3,0,2,0,5,False
3,0,1,0,4,False
2,0,2,0,3,False
2,0,1,0,3,False
1,0,1,0,3,False
2,0,1,0,3,False
1,0,5,0,3,False
2,0,1,0,3,False
1,0,10,0,4,False
1,0,2,0,4,False
1,0,2,0,3,False
1,0,1,0,3,False
1,0,1,0,3,False
1,0,5,0,3,False
1,0,2,0,3,False
1,0,2,0,3,False
1,0,1,0,3,False
1,0,1,0,3,False
1,0,1,0,3,False
1,0,1,0,4,False
1,0,2,0,3,False
1,0,1,0,3,False
1,0,1,0,4,False
1,0,2,0,3,False
1,0,2,0,3,False
1,0,2,0,3,False
0,0,1,0,3,False
0,0,1,0,4,False
1,0,2,0,4,False
1,0,1,0,4,False
1,0,1,0,4,False
1,0,1,0,3,False
1,0,1,0,3,False
1,0,1,0,4,False
1,0,1,0,5,False
1,0,1,0,5,False
1,0,2,0,14,False
1,0,3,0,6,False
1,0,2,0,7,False
0,0,2,0,5,False
1,0,1,0,4,False
1,0,1,0,3,False
1,0,2,0,3,False
2,0,2,0,3,False
1,0,1,0,3,False
1,0,1,0,3,False
1,0,1,0,3,False
1,0,2,0,3,False
1,0,1,0,3,False
2,0,1,0,3,False
1,0,2,0,4,False
1,0,1,0,2,False
1,0,1,0,3,False
1,0,1,0,3,False
1,0,2,0,4,False
1,0,1,0,3,False
1,0,1,0,3,False
1,0,2,0,3,False
1,0,3,0,3,False
1,0,2,0,3,False
1,0,18,0,2,False
1,0,15,0,3,False
1,0,5,0,2,False
1,0,3,0,2,False
1,0,2,0,2,False
1,0,1,0,2,False
1,0,1,0,2,False
2,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,3,False
1,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,2,False
1,0,2,0,3,False
1,0,2,0,2,False
0,0,4,0,2,False
1,0,5,0,2,False
1,0,1,0,2,False
0,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,3,False
0,0,1,0,2,False
0,0,1,0,3,False
1,0,1,0,2,False
1,0,1,0,2,False
1,0,1,0,2,False
0,0,1,0,2,False
0,0,1,0,2,False
1,0,1,0,3,False
1,0,1,0,7,False
1,0,2,0,3,False
1,0,2,0,2,False
1,0,2,0,2,False
0,0,1,0,2,False
0,0,1,0,4,False
1,0,1,0,4,False
0,0,1,0,3,False
0,0,2,0,2,True
