Bill T. Jones,Tal Danino,Dawn Landes,Anand Varma,Iraola,isPartial
28,0,0,0,28,False
14,0,0,0,37,False
0,0,0,0,17,False
18,0,13,0,31,False
15,0,11,0,27,False
11,0,0,11,35,False
20,0,12,0,28,False
11,0,0,0,39,False
21,0,0,10,31,False
21,0,10,10,21,False
21,0,11,0,14,False
15,0,0,0,33,False
9,0,9,9,26,False
23,0,18,9,23,False
15,0,15,0,18,False
13,0,8,0,17,False
10,0,7,0,17,False
10,0,8,11,15,False
8,0,8,0,15,False
0,0,7,7,15,False
18,0,7,0,29,False
15,0,16,6,31,False
9,0,10,0,27,False
15,0,12,0,23,False
13,0,7,5,16,False
13,0,8,6,20,False
13,0,5,0,38,False
15,0,9,0,19,False
12,0,5,0,25,False
10,0,8,5,26,False
7,0,10,0,29,False
11,0,5,0,24,False
9,0,7,0,20,False
13,0,6,4,20,False
4,0,6,0,21,False
9,0,6,0,32,False
8,0,12,3,23,False
7,0,9,0,30,False
14,0,3,3,34,False
8,0,11,0,21,False
10,0,15,0,22,False
11,3,26,3,28,False
3,0,24,6,16,False
7,0,19,0,21,False
7,0,12,0,30,False
6,0,19,0,27,False
9,0,16,0,16,False
6,0,27,0,26,False
5,0,27,0,22,False
4,0,31,0,27,False
9,0,43,0,26,False
9,0,27,2,32,False
5,0,23,2,29,False
4,2,24,0,18,False
3,0,19,0,21,False
6,0,17,0,34,False
5,0,21,2,33,False
6,0,16,0,29,False
5,0,12,2,28,False
5,0,8,2,27,False
4,0,10,0,28,False
9,0,9,0,29,False
8,0,10,3,23,False
6,0,16,2,29,False
4,0,32,2,28,False
5,0,14,2,23,False
2,0,13,2,25,False
5,0,15,0,26,False
3,0,22,1,37,False
4,1,20,1,32,False
5,0,32,0,32,False
9,0,26,0,32,False
6,1,19,1,35,False
7,0,23,1,23,False
2,0,14,0,25,False
7,0,21,0,26,False
4,0,22,1,26,False
7,0,21,1,27,False
5,0,12,1,18,False
3,0,13,3,23,False
5,0,12,1,33,False
4,0,10,1,33,False
4,0,10,1,41,False
17,0,7,2,29,False
6,1,13,1,26,False
3,0,11,2,31,False
6,0,9,1,39,False
2,0,6,0,29,False
3,0,7,1,31,False
1,0,8,1,28,False
2,0,8,1,24,False
2,0,5,1,34,False
3,0,6,1,32,False
3,0,5,1,25,False
8,0,3,0,27,False
2,1,5,1,23,False
4,1,4,1,24,False
3,1,5,1,25,False
3,1,5,1,55,False
3,0,4,1,27,False
3,0,6,1,39,False
1,0,5,2,26,False
2,0,7,1,24,False
2,1,6,1,24,False
1,1,5,1,25,False
2,0,2,1,25,False
4,0,1,1,20,False
1,0,5,1,24,False
2,0,4,1,25,False
2,0,6,1,25,False
3,1,7,1,21,False
2,1,6,1,25,False
2,0,6,1,21,False
1,0,4,1,22,False
1,1,2,1,23,False
1,1,2,1,23,False
1,0,4,1,25,False
2,0,2,1,24,False
1,1,3,1,24,False
2,0,2,1,24,False
1,0,4,2,24,False
1,1,8,1,23,False
1,0,7,1,26,False
2,0,9,1,18,False
2,0,7,0,21,False
1,0,5,1,19,False
1,0,4,1,20,False
1,1,3,1,29,False
2,0,5,1,30,False
1,0,6,0,26,False
1,0,3,3,26,False
1,0,1,1,19,False
2,0,3,1,22,False
2,1,5,2,25,False
1,1,3,1,31,False
1,1,2,2,36,False
4,2,5,4,100,False
2,1,3,2,40,False
2,0,3,2,48,False
1,0,3,1,33,False
1,1,3,2,27,False
1,0,3,1,22,False
1,0,3,1,20,False
0,1,3,1,22,False
1,0,3,1,24,False
2,0,5,1,18,False
1,0,3,1,21,False
1,1,3,1,20,False
1,1,2,1,26,False
0,0,1,1,24,False
0,0,2,1,27,False
1,0,2,1,16,False
1,0,2,1,22,False
1,0,3,0,22,False
1,0,1,1,27,False
0,0,2,2,20,False
1,1,2,1,17,False
1,1,2,1,19,False
1,1,2,2,18,False
1,1,1,1,17,False
1,0,1,1,19,False
1,1,2,2,18,False
1,0,2,1,17,False
0,0,1,1,15,False
1,0,1,1,14,False
1,1,2,1,14,False
1,0,1,1,15,False
1,1,1,1,11,False
1,1,1,2,16,False
1,1,2,1,18,False
1,1,2,1,17,False
1,1,1,1,12,False
1,0,2,1,16,False
0,0,1,2,17,False
1,0,2,1,15,False
1,0,3,1,16,False
1,0,4,1,17,False
0,1,3,2,19,False
1,0,2,1,15,False
1,0,2,1,15,False
1,0,2,2,15,False
1,0,2,2,18,False
1,1,1,1,15,False
1,1,2,1,16,False
1,1,1,1,19,False
2,1,2,2,15,False
1,1,1,2,19,False
1,0,1,1,19,False
0,1,1,1,15,False
0,0,1,2,16,False
1,0,1,5,17,False
0,1,1,3,15,False
0,0,1,4,25,False
1,0,1,2,46,False
1,1,1,2,20,False
1,0,1,2,13,False
1,1,2,2,13,False
1,0,1,2,16,False
1,0,1,3,28,False
1,0,2,2,26,False
1,0,1,2,19,False
1,1,1,2,16,True
