Marian Bantjes,Aditi Shankardass,Hillel Cooperman,Ellen Dunham-Jones,Iraola,isPartial
0,15,15,0,15,False
0,0,0,0,44,False
0,0,0,0,18,False
0,0,0,0,42,False
0,0,0,0,30,False
0,0,0,0,42,False
0,0,0,0,25,False
0,0,0,0,58,False
0,11,0,0,32,False
0,0,0,0,11,False
0,0,0,0,11,False
0,0,10,0,36,False
0,0,0,0,22,False
0,0,0,0,23,False
8,0,0,0,12,False
0,0,9,0,18,False
8,0,0,0,23,False
0,0,0,0,16,False
0,0,0,0,20,False
8,0,0,0,8,False
7,7,0,7,28,False
0,6,0,0,39,False
0,0,6,0,39,False
6,0,0,0,22,False
6,0,6,0,14,False
6,0,0,0,20,False
5,0,0,0,40,False
11,0,0,0,19,False
5,0,5,0,32,False
5,0,0,0,21,False
10,0,0,0,28,False
5,0,0,0,21,False
5,0,0,0,18,False
4,0,0,0,16,False
4,0,0,0,24,False
4,4,0,0,39,False
4,0,0,0,29,False
8,0,4,0,38,False
7,0,0,0,35,False
10,0,0,0,17,False
4,0,3,0,24,False
3,0,3,0,25,False
3,3,3,0,12,False
4,0,0,0,23,False
6,0,3,0,28,False
3,0,3,3,33,False
13,0,5,2,17,False
5,0,0,0,29,False
5,0,0,2,22,False
6,0,0,0,30,False
8,0,0,0,23,False
8,0,0,0,36,False
5,0,0,0,26,False
12,0,0,0,18,False
10,0,2,0,22,False
3,0,2,0,41,False
13,0,0,0,35,False
10,0,0,0,33,False
6,0,2,0,31,False
5,0,0,2,31,False
12,0,0,0,29,False
14,0,0,2,30,False
5,0,0,0,29,False
7,0,0,0,31,False
4,0,0,2,32,False
6,0,0,0,23,False
6,2,0,2,27,False
6,0,0,0,29,False
5,0,0,0,39,False
9,0,0,0,36,False
5,0,1,0,33,False
4,0,0,0,33,False
2,0,0,0,39,False
11,0,0,0,24,False
6,0,0,0,21,False
7,0,0,1,28,False
6,0,0,1,30,False
14,6,5,1,28,False
5,8,1,2,18,False
2,2,1,1,26,False
10,4,0,1,31,False
12,2,0,3,32,False
9,1,0,1,41,False
10,1,1,0,31,False
5,2,0,1,26,False
8,2,2,0,31,False
8,1,1,0,36,False
9,2,0,1,28,False
5,2,0,0,33,False
3,0,0,1,28,False
3,1,0,0,25,False
6,2,1,0,33,False
8,1,2,1,32,False
13,1,0,1,25,False
9,1,0,1,28,False
6,1,0,0,25,False
7,1,0,0,22,False
8,2,0,1,27,False
7,3,0,1,52,False
5,1,0,2,28,False
7,2,1,0,37,False
4,1,0,1,26,False
3,1,0,1,24,False
3,1,0,0,23,False
6,1,0,1,23,False
5,1,0,0,23,False
6,3,0,1,21,False
6,1,0,0,24,False
4,1,1,0,28,False
6,1,0,1,29,False
5,1,0,1,20,False
9,1,0,1,24,False
2,1,0,1,23,False
4,2,0,0,24,False
3,1,1,0,22,False
2,1,1,1,23,False
3,2,1,1,24,False
5,1,1,0,24,False
7,0,1,0,25,False
4,1,0,0,26,False
4,1,0,1,22,False
4,1,0,0,24,False
4,0,0,0,27,False
3,0,1,0,20,False
2,1,1,1,20,False
3,1,0,1,21,False
3,1,0,1,22,False
3,0,0,0,30,False
6,1,0,1,33,False
3,1,1,1,28,False
3,1,1,1,29,False
2,1,0,0,19,False
1,1,0,0,22,False
4,1,1,1,27,False
3,0,0,0,33,False
3,0,0,0,36,False
3,0,0,1,100,False
1,0,0,0,40,False
2,0,0,0,49,False
2,0,0,0,35,False
4,1,0,0,28,False
2,1,0,1,23,False
3,0,0,0,19,False
1,0,0,0,19,False
2,0,0,0,24,False
1,0,0,0,19,False
4,1,0,0,22,False
2,0,0,0,20,False
1,0,0,0,24,False
0,0,0,0,25,False
0,0,0,1,27,False
1,0,0,0,16,False
3,1,0,0,22,False
3,1,0,0,24,False
3,0,0,0,29,False
1,0,0,0,19,False
2,1,0,0,19,False
1,0,0,0,21,False
2,0,1,0,21,False
1,1,0,0,19,False
2,0,0,0,17,False
1,0,0,0,19,False
1,0,0,0,17,False
0,0,0,0,14,False
2,1,0,0,15,False
2,0,0,1,14,False
2,0,0,0,15,False
1,0,0,0,12,False
1,0,0,0,16,False
1,0,0,1,20,False
1,0,0,1,17,False
1,0,0,0,14,False
1,0,0,0,18,False
0,0,0,0,16,False
1,0,0,0,17,False
2,0,0,0,17,False
2,0,0,0,17,False
1,0,0,0,19,False
1,0,0,0,16,False
2,0,0,0,17,False
1,0,0,0,15,False
1,0,0,0,17,False
1,0,0,0,15,False
1,0,0,0,15,False
1,0,0,0,21,False
0,0,0,0,15,False
1,0,0,0,19,False
1,0,0,0,18,False
1,1,0,0,16,False
1,1,0,0,16,False
1,0,0,0,17,False
2,0,0,0,17,False
1,0,0,0,25,False
2,1,0,1,50,False
0,0,0,0,21,False
1,0,0,0,13,False
1,0,0,0,12,False
0,0,0,0,18,False
1,0,0,0,31,False
0,0,0,0,26,False
1,0,0,0,19,False
1,0,0,0,16,True
