Lakshmi Pratury,Gever Tulley,Isabel Allende,Yossi Vardi,Iraola,isPartial
0,0,49,0,3,False
0,0,58,0,5,False
0,0,60,2,3,False
2,0,82,2,3,False
0,0,79,0,3,False
0,0,62,0,3,False
0,0,37,0,3,False
0,0,53,0,6,False
0,0,79,0,3,False
0,0,100,1,3,False
0,0,79,0,1,False
0,0,51,0,2,False
0,0,55,0,2,False
1,0,58,0,3,False
0,0,58,0,3,False
0,0,60,0,3,False
1,0,67,1,2,False
0,0,59,1,3,False
0,0,42,0,3,False
0,0,44,0,2,False
0,0,55,0,3,False
0,0,54,1,3,False
0,0,59,0,2,False
0,1,43,1,3,False
0,0,50,1,2,False
0,0,44,0,2,False
0,0,46,0,4,False
0,0,45,1,2,False
0,0,45,1,4,False
0,0,32,1,4,False
0,0,34,0,4,False
0,1,47,0,2,False
0,0,45,1,3,False
0,0,50,0,2,False
0,0,51,0,3,False
0,0,50,0,3,False
0,0,39,1,2,False
0,0,36,0,3,False
0,0,39,0,3,False
0,0,37,0,3,False
0,0,43,0,3,False
0,0,33,0,3,False
0,0,28,1,3,False
0,0,33,1,3,False
0,0,47,0,4,False
0,0,50,1,2,False
0,0,45,0,3,False
0,0,34,0,3,False
0,0,39,0,3,False
0,0,37,0,2,False
0,0,34,1,3,False
0,0,45,0,3,False
0,0,34,0,3,False
0,1,33,1,2,False
0,0,28,0,2,False
0,0,29,0,4,False
0,0,36,0,4,False
0,0,37,0,4,False
0,0,34,0,4,False
0,0,31,0,4,False
0,0,27,0,3,False
0,0,28,1,3,False
0,0,30,0,3,False
0,0,33,0,4,False
0,0,35,1,3,False
0,0,27,0,4,False
0,1,22,0,3,False
0,0,32,0,4,False
0,0,45,0,4,False
0,0,40,0,4,False
0,0,38,0,4,False
0,0,38,0,4,False
0,0,32,0,4,False
0,0,35,0,3,False
0,0,36,0,3,False
0,0,38,0,3,False
0,0,40,0,3,False
0,0,31,0,4,False
0,0,29,0,2,False
0,0,33,0,3,False
0,0,45,0,3,False
0,0,36,0,4,False
0,0,34,0,5,False
0,0,31,0,4,False
0,0,28,0,4,False
0,0,27,0,5,False
0,0,28,0,5,False
0,0,32,0,4,False
0,0,34,0,4,False
0,0,35,0,4,False
0,0,33,0,3,False
0,0,38,0,4,False
0,0,35,0,4,False
0,0,35,0,3,False
0,0,34,0,3,False
0,0,32,0,3,False
0,0,31,0,3,False
0,0,32,0,4,False
0,0,32,0,6,False
0,0,27,0,4,False
0,0,25,0,6,False
0,0,21,0,3,False
0,0,20,0,3,False
0,0,23,0,3,False
0,0,30,0,3,False
0,0,28,0,3,False
0,0,26,0,3,False
0,0,22,0,3,False
0,0,19,0,3,False
0,0,25,0,3,False
0,0,26,0,2,False
0,0,30,0,3,False
0,0,28,0,3,False
0,0,22,0,3,False
0,0,22,0,3,False
0,0,26,0,3,False
0,0,33,0,3,False
0,0,28,0,3,False
0,0,26,0,3,False
0,0,24,0,3,False
0,0,35,0,3,False
0,0,31,0,3,False
0,0,37,0,3,False
0,0,33,0,3,False
0,0,32,0,3,False
0,0,27,0,3,False
0,0,26,0,3,False
0,0,25,0,4,False
0,0,31,0,4,False
0,0,28,0,3,False
0,0,26,0,3,False
0,0,22,0,3,False
0,0,21,0,3,False
0,0,22,0,3,False
0,0,23,0,4,False
0,0,26,0,5,False
0,0,25,0,11,False
0,0,25,0,5,False
0,0,23,0,6,False
0,0,24,0,4,False
0,0,25,0,3,False
0,0,29,0,3,False
0,0,31,0,3,False
0,0,24,0,3,False
0,0,21,0,3,False
0,0,20,0,2,False
0,0,20,0,3,False
0,0,23,0,2,False
0,0,20,0,3,False
0,0,17,0,3,False
0,0,15,0,3,False
0,0,17,0,2,False
0,0,20,0,2,False
0,0,19,0,3,False
0,0,17,0,4,False
0,0,14,0,3,False
0,0,15,0,2,False
0,0,17,0,2,False
0,0,18,0,2,False
0,0,19,0,2,False
0,0,19,0,2,False
0,0,23,0,2,False
0,0,19,0,2,False
0,0,21,0,2,False
0,0,19,0,2,False
0,0,21,0,2,False
0,0,25,0,2,False
0,0,21,0,1,False
0,0,18,0,2,False
0,0,17,0,2,False
0,0,20,0,2,False
0,0,20,0,2,False
0,0,20,0,2,False
0,0,16,0,2,False
0,0,18,0,2,False
0,0,21,0,2,False
0,0,21,0,2,False
0,0,19,0,2,False
0,0,20,0,2,False
0,0,15,0,2,False
0,0,17,0,2,False
0,0,17,0,2,False
0,0,17,0,2,False
0,0,18,0,2,False
0,0,22,0,2,False
0,0,20,0,2,False
0,0,18,0,3,False
0,0,20,0,2,False
0,0,23,0,2,False
0,0,25,0,2,False
0,0,20,0,2,False
0,0,17,0,2,False
0,0,23,0,3,False
0,0,21,0,6,False
0,0,22,0,2,False
0,0,24,0,2,False
0,0,21,0,2,False
0,0,20,0,2,False
0,0,21,0,4,False
0,0,23,0,3,False
0,0,20,0,2,False
0,0,22,0,2,True
