Denis Dutton,Shimon Schocken,John Hardy,Kristina Gjerde,Iraola,isPartial
2,0,27,0,5,False
0,0,27,0,7,False
0,0,40,0,3,False
2,0,26,0,6,False
0,0,22,0,5,False
2,2,28,0,6,False
4,0,29,0,5,False
0,0,20,0,7,False
4,0,24,0,5,False
0,0,19,0,4,False
3,0,23,0,2,False
0,0,29,0,6,False
0,0,20,0,5,False
2,0,18,0,4,False
1,1,24,0,3,False
0,0,29,0,3,False
1,0,25,0,3,False
2,0,22,0,3,False
0,0,25,0,3,False
1,0,26,0,3,False
1,1,25,0,5,False
1,0,26,2,6,False
1,0,28,0,5,False
0,0,41,0,4,False
1,0,25,0,3,False
1,0,25,0,4,False
1,0,26,0,7,False
1,0,23,0,3,False
1,0,19,0,4,False
0,0,23,0,5,False
1,0,29,0,5,False
2,0,31,0,4,False
1,0,28,0,4,False
1,0,25,0,4,False
1,0,32,0,4,False
0,0,46,1,6,False
0,0,31,1,4,False
1,0,33,0,5,False
1,0,30,0,6,False
0,0,30,0,4,False
1,0,29,1,4,False
1,0,28,0,5,False
1,0,32,0,3,False
0,0,33,0,4,False
0,0,31,0,5,False
0,0,32,0,5,False
0,0,42,0,3,False
0,0,52,0,5,False
0,0,42,0,4,False
1,0,48,0,5,False
0,0,46,0,5,False
0,0,44,0,6,False
1,0,40,0,5,False
0,0,41,0,3,False
0,0,40,0,4,False
0,0,36,0,6,False
1,0,37,0,6,False
0,0,33,0,5,False
0,0,43,0,5,False
1,0,60,0,5,False
1,0,50,0,5,False
1,0,44,0,5,False
1,0,43,0,4,False
1,0,54,0,5,False
0,0,61,0,5,False
1,0,69,0,4,False
0,0,74,0,4,False
0,0,79,0,5,False
1,0,86,0,7,False
1,0,87,0,6,False
0,0,91,0,6,False
1,0,100,0,6,False
1,0,95,0,6,False
1,0,89,0,4,False
1,0,83,0,4,False
1,0,79,0,5,False
0,0,90,0,5,False
0,0,85,0,5,False
0,0,71,0,3,False
0,0,68,0,4,False
0,0,51,0,6,False
0,0,45,0,6,False
1,0,44,0,7,False
4,0,49,0,5,False
2,0,40,0,5,False
1,0,32,0,5,False
0,0,30,0,7,False
0,0,29,0,5,False
0,0,29,0,6,False
0,0,30,0,5,False
0,0,29,0,4,False
0,0,31,0,6,False
1,0,22,0,6,False
0,0,25,0,4,False
0,0,25,0,5,False
0,0,34,0,4,False
0,0,23,0,4,False
1,0,24,0,4,False
0,0,19,0,10,False
1,0,23,0,5,False
0,0,23,0,7,False
0,0,23,0,5,False
0,0,33,0,4,False
0,0,28,0,4,False
0,0,24,0,4,False
0,2,20,0,4,False
0,1,23,0,4,False
0,0,28,0,4,False
0,0,23,0,4,False
0,0,22,0,4,False
0,0,20,0,4,False
0,0,21,0,4,False
0,0,20,0,4,False
0,0,19,0,4,False
0,0,20,0,4,False
0,0,22,0,4,False
0,0,17,0,4,False
0,0,21,0,4,False
0,0,21,0,4,False
0,0,26,0,4,False
0,0,19,0,4,False
0,0,18,0,4,False
0,0,19,0,5,False
0,0,19,0,3,False
0,0,18,0,4,False
0,0,18,0,3,False
0,0,18,0,4,False
0,0,20,0,5,False
0,0,17,0,5,False
0,0,17,0,5,False
0,0,19,0,5,False
0,0,23,0,3,False
0,0,19,0,4,False
0,0,19,0,4,False
0,0,17,0,5,False
0,0,18,0,6,False
0,0,19,0,18,False
0,0,17,0,7,False
0,0,19,0,8,False
0,0,18,0,6,False
0,0,19,0,5,False
0,0,19,0,4,False
0,0,22,0,4,False
0,0,24,0,4,False
0,0,22,0,4,False
0,0,20,0,3,False
0,0,18,0,4,False
0,0,19,0,4,False
0,0,17,0,5,False
0,0,16,0,4,False
0,0,15,0,5,False
0,0,15,0,3,False
0,0,16,0,4,False
0,0,15,0,4,False
0,0,15,0,5,False
0,0,20,0,4,False
0,0,16,0,3,False
0,0,16,0,3,False
0,0,15,0,3,False
0,0,20,0,3,False
0,0,15,0,3,False
0,0,15,0,3,False
0,0,16,0,3,False
0,0,17,0,3,False
0,0,14,0,2,False
0,0,13,0,3,False
0,0,15,0,3,False
0,0,20,0,2,False
0,0,14,0,3,False
0,0,15,0,3,False
0,0,15,0,3,False
0,0,16,0,2,False
0,0,15,0,3,False
0,0,13,0,3,False
0,0,13,0,3,False
0,0,15,0,3,False
0,0,17,0,3,False
0,0,15,0,3,False
0,0,19,0,3,False
0,0,21,0,3,False
0,0,19,0,3,False
0,0,17,0,3,False
0,0,16,0,3,False
0,0,15,0,3,False
0,0,16,0,3,False
0,0,14,0,3,False
0,0,15,0,3,False
0,0,13,0,3,False
0,0,13,0,3,False
0,0,13,0,3,False
0,0,15,0,3,False
0,0,18,0,3,False
0,0,14,0,4,False
0,0,16,0,8,False
0,0,11,0,3,False
0,0,12,0,2,False
0,0,12,0,2,False
0,0,11,0,3,False
0,0,12,0,5,False
0,0,11,0,5,False
0,0,11,0,3,False
0,0,11,0,3,True
