Sharon Brous,James Beacham,Erika Gregory,Sam Kass,Iraola,isPartial
0,0,0,0,27,False
0,0,0,0,36,False
0,0,17,0,17,False
0,0,0,0,31,False
0,0,0,0,26,False
0,11,0,0,34,False
0,0,18,12,28,False
0,0,0,0,38,False
0,0,0,0,30,False
0,0,0,0,21,False
10,0,0,0,14,False
0,0,0,0,32,False
0,8,0,8,25,False
0,0,0,0,22,False
0,0,0,0,17,False
8,0,0,0,17,False
0,7,7,7,17,False
0,0,7,0,15,False
0,0,7,0,15,False
0,0,7,0,14,False
7,6,7,7,28,False
12,0,6,6,31,False
6,6,6,0,27,False
0,0,0,0,22,False
0,0,5,0,16,False
0,0,5,0,20,False
0,5,0,0,37,False
0,0,0,5,18,False
0,0,9,0,24,False
0,0,0,0,26,False
0,0,0,0,29,False
0,0,7,4,24,False
4,0,0,0,20,False
0,0,0,4,19,False
0,4,4,0,20,False
0,0,0,0,31,False
0,0,3,0,23,False
0,0,4,0,30,False
0,0,3,3,33,False
0,3,3,0,21,False
3,6,3,0,22,False
3,0,6,0,27,False
3,3,6,0,15,False
3,3,0,5,21,False
3,3,0,0,29,False
2,2,0,4,26,False
2,2,3,2,15,False
2,2,7,0,26,False
0,0,3,2,22,False
0,5,2,2,26,False
4,2,4,2,26,False
2,2,0,2,31,False
6,0,2,2,28,False
2,0,6,0,17,False
0,0,3,0,20,False
0,2,2,2,33,False
2,0,2,3,33,False
2,2,0,0,28,False
0,0,0,4,27,False
0,2,2,2,26,False
0,2,0,45,27,False
0,2,2,26,28,False
2,0,2,7,22,False
0,2,0,5,29,False
0,2,3,8,27,False
1,2,3,10,22,False
1,0,1,3,24,False
0,0,2,5,26,False
2,0,3,4,36,False
0,1,3,6,31,False
2,3,3,26,31,False
0,1,1,6,31,False
1,2,1,7,34,False
0,3,4,3,23,False
0,0,2,5,24,False
1,1,2,5,25,False
1,1,0,7,25,False
1,1,1,22,26,False
0,0,0,20,17,False
1,1,1,8,22,False
4,3,3,6,32,False
1,1,2,4,33,False
1,0,2,3,40,False
1,1,1,5,28,False
1,1,1,8,26,False
2,1,1,4,30,False
0,1,1,3,38,False
1,2,1,2,28,False
0,0,1,7,31,False
1,0,1,7,27,False
1,0,1,3,23,False
1,0,1,4,33,False
0,1,2,5,32,False
1,1,2,3,24,False
1,1,1,12,26,False
1,1,2,8,23,False
1,0,1,7,23,False
0,1,1,32,25,False
1,1,1,13,54,False
1,1,2,11,27,False
1,1,0,11,39,False
0,1,1,13,25,False
1,1,1,11,23,False
1,1,1,8,23,False
1,2,1,15,24,False
1,1,1,10,24,False
2,1,1,9,20,False
3,1,1,12,24,False
1,1,1,9,24,False
0,1,2,7,24,False
1,1,0,9,21,False
1,1,1,11,24,False
1,1,1,5,21,False
1,1,0,7,21,False
1,1,1,8,23,False
1,1,1,19,23,False
1,1,2,25,25,False
1,1,1,14,24,False
1,1,1,13,24,False
2,2,1,12,24,False
1,0,1,12,23,False
1,1,1,10,23,False
1,0,0,8,25,False
1,1,1,11,18,False
0,1,1,9,21,False
1,1,1,8,19,False
1,0,1,7,20,False
1,1,1,100,29,False
1,1,1,44,30,False
0,0,1,8,26,False
1,0,0,5,25,False
1,1,0,31,19,False
0,1,0,9,21,False
1,1,1,9,25,False
0,0,1,8,30,False
0,0,1,7,35,False
0,1,1,7,98,False
1,0,1,9,39,False
0,1,1,12,47,False
1,0,1,7,32,False
1,0,1,3,27,False
0,1,1,5,22,False
0,0,1,4,20,False
1,1,1,6,21,False
1,0,1,4,23,False
1,0,1,7,17,False
0,1,1,4,21,False
0,1,1,6,20,False
0,1,1,4,25,False
1,0,1,5,24,False
1,0,1,10,26,False
1,0,1,5,15,False
1,1,1,4,21,False
1,0,1,4,22,False
0,0,1,5,26,False
3,1,1,5,20,False
5,2,1,6,17,False
1,1,1,3,19,False
1,0,2,5,17,False
1,1,1,5,17,False
0,1,1,7,19,False
1,0,1,4,17,False
1,1,1,3,16,False
1,1,1,5,15,False
1,0,1,3,13,False
1,0,1,3,14,False
1,0,1,4,15,False
1,1,0,3,11,False
1,0,1,3,15,False
1,0,1,3,18,False
1,0,1,2,17,False
0,0,0,17,12,False
1,1,1,4,15,False
1,0,1,7,16,False
1,0,1,4,15,False
1,1,0,5,16,False
1,0,1,4,17,False
1,0,1,3,18,False
1,1,0,5,15,False
1,1,0,6,15,False
0,1,1,8,15,False
1,1,1,6,18,False
0,1,1,7,15,False
1,0,0,5,16,False
1,1,1,5,19,False
1,0,1,6,15,False
1,0,0,4,18,False
0,1,1,3,18,False
0,0,1,3,14,False
0,1,1,4,15,False
1,1,1,3,17,False
1,1,1,2,14,False
1,0,0,3,24,False
1,1,0,3,45,False
0,0,1,3,19,False
2,0,0,3,13,False
0,0,1,4,12,False
0,0,0,4,15,False
0,1,1,4,27,False
1,0,1,4,25,False
1,0,1,3,18,False
1,0,0,5,16,True
