Wes Moore,Sebastian Junger,Jon Mooallem,Kitra Cahana,Iraola,isPartial
14,23,0,0,28,False
14,42,0,0,37,False
34,17,34,0,17,False
13,13,13,0,31,False
0,35,0,0,27,False
23,15,11,0,35,False
12,28,0,0,28,False
11,15,11,0,39,False
0,10,0,0,31,False
0,10,0,0,21,False
11,21,0,0,14,False
10,13,0,0,33,False
9,17,0,0,26,False
9,9,0,0,23,False
8,30,0,0,18,False
0,14,0,9,17,False
0,35,0,7,17,False
15,22,0,0,15,False
8,15,0,0,15,False
0,15,0,7,15,False
10,27,7,7,29,False
6,23,6,6,31,False
19,13,6,0,27,False
6,18,6,0,23,False
5,11,5,5,16,False
6,9,8,6,20,False
5,16,5,5,38,False
0,77,0,0,19,False
5,25,0,5,25,False
8,10,0,5,26,False
5,10,0,5,29,False
5,11,0,0,24,False
7,13,4,7,20,False
8,10,4,4,20,False
4,15,0,0,21,False
8,10,0,0,32,False
7,21,0,0,23,False
4,12,5,0,30,False
3,12,0,3,34,False
3,19,0,3,21,False
4,11,0,3,22,False
4,11,0,3,28,False
3,9,0,3,16,False
6,7,0,0,21,False
4,11,0,3,30,False
6,6,2,2,27,False
5,7,5,2,16,False
4,9,0,0,26,False
3,8,2,0,22,False
2,8,0,0,27,False
4,6,0,0,26,False
3,6,0,2,32,False
3,8,2,0,29,False
3,3,2,2,18,False
3,6,0,0,21,False
6,8,2,2,34,False
3,10,0,0,33,False
3,4,0,0,29,False
3,8,2,0,28,False
2,9,0,0,27,False
4,4,0,0,28,False
5,7,3,0,29,False
5,5,2,2,23,False
2,6,2,0,29,False
4,7,0,0,28,False
2,3,3,2,23,False
5,5,2,2,25,False
5,9,0,2,26,False
5,5,1,0,37,False
5,9,0,2,32,False
2,4,3,0,32,False
10,8,0,0,32,False
9,7,0,1,35,False
5,7,0,5,23,False
6,4,1,0,25,False
51,14,8,2,26,False
68,98,1,2,26,False
44,55,4,1,27,False
22,58,1,1,18,False
35,34,1,1,23,False
22,37,1,1,33,False
20,23,0,1,33,False
13,34,1,0,41,False
18,33,0,2,29,False
18,25,1,1,26,False
18,23,0,2,31,False
21,18,0,0,39,False
14,49,1,1,29,False
12,41,0,1,31,False
18,28,0,2,28,False
20,18,0,2,24,False
46,24,0,0,34,False
34,16,0,1,32,False
28,13,0,1,25,False
26,16,0,1,27,False
15,13,0,1,23,False
22,12,1,1,24,False
38,18,0,1,25,False
21,13,1,1,55,False
21,12,0,1,27,False
16,10,0,1,39,False
25,9,1,1,26,False
28,6,0,1,24,False
61,11,1,1,24,False
47,14,0,1,25,False
40,13,1,1,25,False
34,10,1,1,20,False
15,12,1,1,24,False
19,10,1,1,25,False
23,8,1,1,25,False
21,12,1,1,21,False
28,38,1,1,25,False
26,9,3,1,21,False
15,10,1,2,22,False
22,11,1,1,23,False
47,11,2,2,23,False
42,12,1,1,25,False
30,12,2,1,24,False
31,13,1,1,24,False
21,7,2,1,24,False
22,10,1,1,24,False
23,7,1,1,23,False
23,7,1,1,26,False
30,11,0,1,18,False
35,17,1,4,21,False
25,27,3,3,19,False
28,10,1,2,20,False
52,10,2,1,29,False
50,9,1,1,30,False
49,9,1,4,26,False
35,18,1,3,26,False
27,8,1,2,19,False
51,11,2,2,22,False
66,10,1,2,25,False
33,9,1,1,31,False
32,7,2,1,36,False
25,9,1,0,100,False
26,8,1,1,40,False
26,7,1,2,48,False
47,7,0,1,33,False
57,6,1,1,27,False
53,8,1,1,22,False
41,21,0,2,20,False
27,6,2,1,22,False
19,8,0,2,24,False
26,7,1,1,18,False
32,6,1,1,21,False
33,8,1,2,20,False
29,33,1,1,26,False
22,35,1,1,24,False
20,19,1,0,27,False
66,18,0,1,16,False
85,14,1,1,22,False
56,10,0,1,22,False
46,14,0,1,27,False
31,12,1,0,20,False
30,13,3,0,17,False
34,10,1,0,19,False
35,10,1,1,18,False
35,14,1,1,17,False
37,9,1,1,19,False
18,74,0,0,18,False
27,20,2,1,17,False
44,13,1,0,15,False
61,14,0,0,14,False
52,18,1,1,14,False
44,62,0,0,15,False
32,22,0,1,11,False
32,16,1,0,16,False
31,15,0,0,18,False
29,13,0,0,17,False
32,14,0,0,12,False
39,14,0,1,16,False
25,12,0,0,17,False
23,12,0,0,15,False
40,11,0,1,16,False
50,10,1,0,17,False
42,13,1,0,19,False
37,11,0,0,15,False
26,13,0,0,15,False
25,11,0,1,15,False
33,10,0,0,18,False
30,14,2,1,15,False
30,10,0,1,16,False
36,11,0,0,19,False
23,11,0,0,15,False
18,6,1,0,19,False
30,12,1,1,19,False
42,10,1,0,15,False
43,10,1,1,16,False
33,8,0,0,17,False
26,6,0,0,15,False
31,9,0,0,25,False
28,7,1,1,46,False
24,10,1,0,20,False
26,8,1,1,13,False
21,7,1,0,13,False
63,8,1,0,16,False
17,8,1,0,28,False
28,8,1,0,26,False
43,7,1,0,19,False
29,7,1,1,16,True
