Carrie Nugent,Peggy Orenstein,Karina Galperin, Silk Road Ensemble,Iraola,isPartial
0,0,0,15,15,False
0,0,0,0,44,False
0,35,0,0,18,False
0,14,0,14,42,False
0,0,0,0,30,False
0,12,0,0,42,False
0,0,0,0,25,False
0,12,0,23,58,False
0,0,0,0,32,False
0,0,0,0,11,False
0,0,0,0,11,False
0,10,0,0,36,False
9,0,0,18,22,False
0,0,0,0,23,False
0,12,0,0,12,False
0,13,0,18,18,False
0,0,0,12,23,False
0,8,8,8,16,False
0,0,0,0,20,False
0,0,0,15,8,False
0,0,0,7,28,False
0,7,0,13,39,False
0,7,0,0,39,False
0,6,0,0,22,False
0,0,0,14,14,False
0,12,0,0,20,False
5,5,0,5,40,False
0,5,0,5,19,False
0,0,0,0,32,False
0,5,0,5,21,False
0,5,0,36,28,False
0,5,5,5,21,False
0,7,0,5,18,False
0,8,0,10,16,False
0,6,0,4,24,False
0,25,0,4,39,False
4,7,0,4,29,False
0,9,0,8,38,False
0,8,0,13,35,False
0,3,0,7,17,False
0,9,0,4,24,False
0,3,0,3,25,False
3,15,0,0,12,False
0,0,0,9,23,False
3,6,0,6,28,False
0,5,0,5,33,False
0,4,0,7,17,False
0,5,3,3,29,False
0,2,0,8,22,False
0,12,0,4,30,False
2,7,0,4,23,False
0,7,0,4,36,False
0,0,0,2,26,False
0,6,0,3,18,False
0,2,0,2,22,False
2,0,0,4,41,False
2,2,0,3,35,False
0,2,0,4,33,False
0,4,0,3,31,False
0,2,0,4,31,False
0,0,0,5,29,False
0,5,0,5,30,False
0,3,0,6,29,False
2,3,0,5,31,False
0,6,2,2,32,False
0,2,0,8,23,False
2,3,0,3,27,False
0,2,0,2,29,False
1,4,0,8,39,False
0,1,0,3,36,False
3,1,0,3,33,False
1,2,0,2,33,False
0,1,0,3,39,False
1,2,0,4,24,False
0,2,0,4,21,False
0,4,1,4,28,False
1,0,0,3,30,False
1,4,0,5,28,False
0,1,0,4,18,False
2,3,0,12,26,False
0,3,0,2,31,False
0,2,0,4,32,False
1,6,1,2,41,False
0,2,0,4,31,False
0,11,0,3,26,False
0,11,0,4,31,False
1,7,0,6,36,False
0,6,0,4,28,False
0,5,2,2,33,False
0,4,0,5,28,False
0,5,0,1,25,False
1,2,0,2,33,False
0,3,1,3,32,False
1,4,0,2,25,False
1,3,0,2,28,False
1,4,2,17,25,False
0,5,0,3,22,False
0,5,1,3,27,False
1,5,0,3,52,False
1,3,1,2,28,False
0,2,0,2,37,False
1,3,0,1,26,False
0,1,1,1,24,False
0,4,0,2,23,False
1,2,1,1,23,False
0,2,0,5,23,False
1,4,1,2,21,False
0,3,0,1,24,False
0,2,1,1,28,False
2,1,1,4,29,False
1,1,1,5,20,False
1,5,0,1,24,False
0,6,1,1,23,False
0,1,1,1,24,False
0,2,0,5,22,False
1,1,0,3,23,False
1,4,1,4,24,False
1,4,1,5,24,False
1,4,0,3,25,False
1,1,0,2,26,False
1,1,1,3,22,False
0,2,0,1,24,False
0,3,0,3,27,False
0,2,0,4,20,False
0,1,0,7,20,False
0,1,1,1,21,False
1,1,0,3,22,False
0,1,1,3,30,False
0,2,1,11,33,False
0,2,0,2,28,False
0,2,0,4,29,False
1,3,1,4,19,False
0,1,0,5,22,False
1,1,1,6,27,False
0,2,0,3,33,False
0,1,0,1,36,False
0,1,0,3,100,False
0,0,0,3,40,False
0,0,0,1,49,False
0,0,1,2,35,False
1,3,3,3,28,False
1,3,1,2,23,False
0,2,1,2,19,False
0,2,0,3,19,False
1,1,0,2,24,False
0,1,0,7,19,False
0,14,1,4,22,False
0,13,1,5,20,False
0,7,0,5,24,False
0,5,0,11,25,False
0,5,1,14,27,False
0,3,0,15,16,False
0,6,0,5,22,False
1,5,0,5,24,False
0,2,1,7,29,False
2,2,1,4,19,False
1,3,0,6,19,False
0,2,0,9,21,False
1,6,0,18,21,False
0,10,0,4,19,False
0,4,0,5,17,False
1,3,0,3,19,False
0,2,0,2,17,False
1,2,0,3,14,False
0,3,0,4,15,False
2,3,0,4,14,False
0,2,1,3,15,False
1,3,0,4,12,False
0,3,1,2,16,False
0,4,0,8,20,False
0,2,0,4,17,False
0,6,0,5,14,False
0,3,0,4,18,False
0,1,0,2,16,False
1,1,1,6,17,False
0,1,1,3,17,False
0,2,0,4,17,False
0,3,0,2,19,False
0,3,0,2,16,False
0,1,1,2,17,False
0,2,1,6,15,False
0,3,0,5,17,False
0,3,0,4,15,False
0,2,1,4,15,False
1,1,0,3,21,False
1,1,0,1,15,False
0,2,1,1,19,False
0,1,0,2,18,False
0,2,0,3,16,False
0,2,0,1,16,False
0,2,1,2,17,False
0,4,1,1,17,False
0,20,0,2,25,False
0,10,0,2,50,False
0,8,0,2,21,False
0,5,0,1,13,False
0,3,0,2,12,False
0,4,0,1,18,False
0,3,0,2,31,False
1,3,0,3,26,False
0,4,0,2,19,False
0,2,0,2,16,True
