Tania Simoncelli,Auke Ijspeert,Melati and Isabel Wijsen,Linda Liukas,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
12,0,0,0,27,False
0,0,0,0,35,False
0,0,0,0,28,False
0,11,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,0,0,33,False
0,9,0,0,26,False
0,0,0,0,23,False
0,0,0,0,18,False
8,0,0,0,17,False
0,0,0,0,17,False
7,0,0,0,15,False
0,8,0,0,15,False
0,0,0,0,15,False
7,0,0,0,29,False
0,0,0,0,31,False
0,0,0,0,27,False
6,6,0,0,23,False
0,0,0,0,16,False
0,6,0,0,20,False
0,0,0,0,38,False
0,0,0,0,19,False
0,5,0,0,25,False
0,0,0,0,26,False
0,0,0,0,29,False
0,0,0,5,24,False
0,0,0,0,20,False
0,0,0,0,20,False
0,0,0,0,21,False
0,0,0,0,32,False
0,0,0,0,23,False
0,0,0,0,30,False
0,3,0,0,34,False
0,3,0,0,21,False
0,3,0,3,22,False
0,0,0,0,28,False
3,0,0,0,16,False
0,0,0,0,21,False
0,3,0,0,30,False
0,0,0,0,27,False
0,0,0,0,16,False
0,0,0,0,26,False
2,2,0,2,22,False
0,0,0,0,27,False
0,0,0,0,26,False
0,0,0,2,32,False
0,2,0,0,29,False
0,2,0,0,18,False
0,2,0,0,21,False
2,0,0,2,34,False
2,2,0,0,33,False
2,0,0,0,29,False
0,2,0,0,28,False
0,0,0,0,27,False
0,2,0,0,28,False
0,2,0,2,29,False
0,0,0,0,23,False
2,0,0,2,29,False
2,2,0,0,28,False
0,2,0,0,23,False
0,2,0,0,25,False
0,0,0,0,26,False
1,0,0,0,37,False
0,0,0,0,32,False
0,0,0,0,32,False
0,0,0,1,32,False
3,0,0,1,35,False
0,1,0,0,23,False
1,1,0,0,25,False
0,0,0,0,26,False
0,0,0,0,26,False
0,1,0,1,27,False
0,0,0,1,18,False
0,0,0,0,23,False
0,1,0,0,33,False
0,0,0,0,33,False
0,0,0,1,41,False
0,0,0,0,29,False
1,1,0,0,26,False
1,1,0,0,31,False
1,0,0,0,39,False
0,1,0,1,29,False
1,1,0,0,31,False
0,0,0,1,28,False
0,1,0,0,24,False
0,0,0,1,34,False
0,0,0,2,32,False
2,1,0,1,25,False
0,0,0,1,27,False
1,0,0,1,23,False
0,0,0,3,24,False
1,0,0,0,25,False
0,1,0,0,55,False
0,0,0,1,27,False
0,1,0,0,39,False
0,1,0,1,26,False
1,1,0,1,24,False
0,0,0,1,24,False
0,1,0,2,25,False
0,1,0,0,25,False
0,0,0,1,20,False
1,0,0,1,24,False
1,1,0,2,25,False
0,1,0,1,25,False
0,0,0,1,21,False
1,1,0,2,25,False
0,0,0,1,21,False
0,0,0,1,22,False
0,1,0,1,23,False
0,1,0,1,23,False
0,1,0,1,25,False
1,0,0,2,24,False
1,1,0,1,24,False
1,1,0,1,24,False
1,0,0,9,24,False
0,1,0,7,23,False
0,0,0,2,26,False
0,0,0,3,18,False
0,0,0,2,21,False
1,1,0,3,19,False
1,0,0,2,20,False
0,0,0,1,29,False
1,0,0,1,30,False
0,0,0,4,26,False
0,0,0,7,26,False
0,0,0,2,19,False
0,0,0,3,22,False
1,0,0,2,25,False
0,0,0,4,31,False
0,0,0,4,36,False
0,1,0,2,100,False
0,0,0,2,40,False
0,0,0,2,48,False
0,0,0,17,33,False
0,0,0,9,27,False
0,1,0,5,22,False
0,0,0,4,20,False
0,0,0,13,22,False
1,1,0,3,24,False
1,1,1,9,18,False
1,1,0,13,21,False
1,0,0,4,20,False
0,1,1,3,26,False
0,0,0,2,24,False
0,1,0,2,27,False
0,1,0,4,16,False
0,0,0,5,22,False
0,0,0,3,22,False
1,0,1,5,27,False
0,0,0,3,20,False
0,0,1,3,17,False
0,0,0,3,19,False
0,0,0,5,18,False
0,1,0,2,17,False
1,0,0,3,19,False
0,1,1,1,18,False
0,1,0,2,17,False
0,0,0,7,15,False
0,0,1,3,14,False
0,0,0,5,14,False
0,0,1,2,15,False
0,0,0,2,11,False
0,0,1,2,16,False
0,0,1,3,18,False
0,1,1,1,17,False
1,0,1,1,12,False
0,0,1,3,16,False
0,0,0,2,17,False
0,0,0,1,15,False
0,1,0,11,16,False
0,0,0,4,17,False
0,1,0,10,19,False
0,0,1,4,15,False
0,1,0,23,15,False
0,0,1,6,15,False
0,1,1,3,18,False
0,1,1,5,15,False
1,0,1,2,16,False
0,0,1,2,19,False
0,0,1,2,15,False
0,1,0,1,19,False
0,0,0,2,19,False
0,1,1,2,15,False
0,0,1,2,16,False
0,0,1,2,17,False
0,0,1,2,15,False
0,0,1,2,25,False
0,0,2,2,46,False
0,1,1,1,20,False
0,0,0,2,13,False
0,0,0,1,13,False
0,0,1,1,16,False
0,0,1,1,28,False
0,0,0,1,26,False
0,0,0,1,19,False
0,0,1,1,16,True
