STATION,STATION_NAME,DATE,HPCP
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 00:00,0.05
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 01:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 02:00,0.03
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 03:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 04:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 05:00,0.19
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 06:00,0.31
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 07:00,0.25
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 08:00,0.08
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 09:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 11:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 12:00,0.08
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 13:00,0.07
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070101 14:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 06:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 07:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 08:00,0.03
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 09:00,0.04
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 10:00,0.04
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 11:00,0.17
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 12:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 13:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070105 19:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070106 02:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070106 03:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070106 04:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070107 17:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070107 18:00,0.03
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070107 19:00,0.06
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070107 20:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070107 21:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070107 22:00,0.10
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070107 23:00,0.06
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 00:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 01:00,0.03
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 02:00,0.08
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 03:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 04:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 05:00,0.05
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 06:00,0.10
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 07:00,0.09
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 08:00,0.06
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 09:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 10:00,0.07
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070108 11:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070109 16:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070109 17:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070109 20:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070109 21:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070110 03:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 07:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 14:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 15:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 16:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 17:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 18:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 19:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 21:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 22:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070112 23:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070113 01:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070113 02:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070113 09:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070113 15:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070113 16:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070113 17:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 01:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 02:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 03:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 04:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 06:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 07:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 08:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 12:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 17:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 18:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 19:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070114 20:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070115 20:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070115 21:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070118 22:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070118 23:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070119 00:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070120 06:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 15:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 16:00,0.03
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 17:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 18:00,0.04
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 19:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 20:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 21:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 22:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070121 23:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070122 00:00,0.02
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070122 01:00,0.00
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070122 02:00,0.01
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,20070122 03:00,0.00
